Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,932,32.25,25.55,32426,2,160,640,406.06,410.35,91.71,25.14,5.39,0.0432,0.0813, 435, 1,34.66,21.59,95435.74,433072.531250,0
2,932,32.20,25.57,32431,2,160,640,406.06,410.35,91.71,25.14,5.39,0.0432,0.0813, 435, 1,34.64,21.62,95435.27,433622.687500,0
3,932,32.20,25.57,32431,2,152,629,404.42,412.02,92.71,25.14,5.39,0.0417,0.0785, 434, 1,34.64,21.62,95435.27,433622.687500,0
4,932,32.20,25.57,32431,2,152,629,404.42,412.02,92.71,25.14,5.39,0.0417,0.0785, 434, 1,34.63,21.61,95436.01,432523.750000,0
5,931,32.16,25.57,32439,2,135,630,404.42,414.25,92.59,25.14,5.39,0.0417,0.0785, 434, 1,34.63,21.61,95436.01,432523.750000,0
6,931,32.16,25.57,32439,2,135,630,404.42,414.25,92.59,25.14,5.39,0.0402,0.0757, 433, 1,34.61,21.64,95437.29,434174.250000,0
7,930,32.10,25.67,32445,2,155,634,406.48,411.32,92.24,25.14,5.39,0.0402,0.0757, 433, 1,34.61,21.64,95437.29,434174.250000,0
8,930,32.10,25.67,32445,2,155,634,406.48,411.32,92.24,25.14,5.39,0.0387,0.0727, 432, 1,34.61,21.64,95437.29,434174.250000,0
9,931,32.04,25.71,32454,2,143,616,415.38,413.41,93.85,25.14,5.39,0.0387,0.0727, 432, 1,34.59,21.63,95437.91,437793.937500,0
10,931,32.04,25.71,32454,2,143,616,415.38,413.41,93.85,25.14,5.39,0.0371,0.0698, 431, 1,34.59,21.63,95437.91,437793.937500,0
11,931,32.04,25.71,32464,2,143,616,415.38,413.41,93.85,25.14,5.39,0.0371,0.0698, 431, 1,34.57,21.66,95438.30,435559.343750,0
12,931,32.04,25.71,32464,2,145,619,408.41,415.38,93.56,25.14,5.39,0.0359,0.0675, 430, 1,34.57,21.66,95438.30,435559.343750,0
13,931,32.04,25.71,32464,2,145,619,408.41,415.38,93.56,25.14,5.39,0.0359,0.0675, 430, 1,34.55,21.67,95438.25,433072.531250,0
14,931,32.00,25.73,32476,2,166,649,426.34,416.50,90.94,25.14,5.39,0.0359,0.0675, 430, 1,34.55,21.67,95438.25,433072.531250,0
15,931,32.00,25.73,32476,2,166,649,426.34,416.50,90.94,25.14,5.39,0.0346,0.0651, 429, 1,34.53,21.67,95439.34,433622.687500,0
16,930,31.95,25.73,32472,2,147,653,413.55,412.71,90.67,25.14,5.39,0.0346,0.0651, 429, 1,34.53,21.67,95439.34,433622.687500,0
17,930,31.95,25.73,32472,2,147,653,413.55,412.71,90.67,25.14,5.39,0.0335,0.0630, 428, 1,34.50,21.72,95439.19,435559.343750,0
18,930,31.91,25.80,32478,2,145,619,407.44,421.04,93.63,25.14,5.39,0.0335,0.0630, 428, 1,34.50,21.72,95439.19,435559.343750,0
19,930,31.91,25.80,32478,2,145,619,407.44,421.04,93.63,25.14,5.39,0.0325,0.0611, 427, 1,34.50,21.72,95439.19,435559.343750,0
20,929,31.88,25.84,32481,2,145,619,407.44,421.04,93.63,25.14,5.39,0.0325,0.0611, 427, 1,34.48,21.75,95438.76,436394.625000,0
21,929,31.88,25.84,32481,2,138,608,411.74,410.90,94.55,25.14,5.39,0.0315,0.0592, 426, 1,34.48,21.75,95438.76,436394.625000,0
22,928,31.83,25.89,32481,2,138,608,411.74,410.90,94.55,25.14,5.39,0.0315,0.0592, 426, 1,34.46,21.75,95438.48,440335.406250,0
23,928,31.83,25.89,32481,2,157,637,411.18,424.90,92.06,25.14,5.39,0.0315,0.0592, 426, 1,34.46,21.75,95438.48,440335.406250,0
24,928,31.83,25.89,32481,2,157,637,411.18,424.90,92.06,25.14,5.39,0.0308,0.0578, 426, 1,34.43,21.77,95438.37,438637.812500,0
25,929,31.79,25.90,32481,2,142,610,418.48,422.32,94.46,25.14,5.39,0.0308,0.0578, 426, 1,34.43,21.77,95438.37,438637.812500,0
26,929,31.79,25.90,32481,2,142,610,418.48,422.32,94.46,25.14,5.39,0.0300,0.0563, 425, 1,34.41,21.81,95437.80,438919.843750,0
27,929,31.77,25.91,32483,2,152,629,416.50,425.62,92.71,25.14,5.39,0.0300,0.0563, 425, 1,34.41,21.81,95437.80,438919.843750,0
28,929,31.77,25.91,32483,2,152,629,416.50,425.62,92.71,25.14,5.39,0.0288,0.0542, 424, 1,34.41,21.81,95437.80,438919.843750,0
29,928,31.75,25.93,32485,2,131,629,416.50,425.62,92.71,25.14,5.39,0.0288,0.0542, 424, 1,34.38,21.82,95436.76,436115.843750,0
30,928,31.75,25.93,32485,2,131,599,419.62,423.33,95.42,25.14,5.39,0.0280,0.0527, 423, 1,34.38,21.82,95436.76,436115.843750,0
31,929,31.73,25.93,32488,2,131,599,419.62,423.33,95.42,25.14,5.39,0.0280,0.0527, 423, 1,34.36,21.84,95436.50,439768.093750,0
32,929,31.73,25.93,32488,2,152,630,423.18,428.22,92.68,25.14,5.39,0.0280,0.0527, 423, 1,34.36,21.84,95436.50,439768.093750,0
33,929,31.73,25.93,32488,2,152,630,423.18,428.22,92.68,25.14,5.39,0.0273,0.0512, 422, 1,34.34,21.84,95437.02,440051.562500,0
34,929,31.68,25.94,32489,2,153,621,424.33,428.80,93.47,25.14,5.39,0.0273,0.0512, 422, 1,34.34,21.84,95437.02,440051.562500,0
35,929,31.68,25.94,32489,2,153,621,424.33,428.80,93.47,25.14,5.39,0.0263,0.0495, 422, 1,34.31,21.87,95436.69,438074.875000,0
36,929,31.68,25.98,32495,2,166,648,415.24,428.22,91.03,25.14,5.39,0.0263,0.0495, 422, 1,34.31,21.87,95436.69,438074.875000,0
37,929,31.68,25.98,32495,2,166,648,415.24,428.22,91.03,25.14,5.39,0.0255,0.0479, 421, 1,34.31,21.87,95436.69,438074.875000,0
38,929,31.68,25.98,32501,2,147,648,415.24,428.22,91.03,25.14,5.39,0.0255,0.0479, 421, 1,34.29,21.90,95436.70,439768.093750,0
39,929,31.68,25.98,32501,2,147,622,430.55,432.01,93.37,25.14,5.39,0.0250,0.0470, 420, 1,34.29,21.90,95436.70,439768.093750,0
40,928,31.64,25.96,32499,2,147,622,430.55,432.01,93.37,25.14,5.39,0.0250,0.0470, 420, 1,34.27,21.90,95437.09,442332.625000,0
41,928,31.64,25.96,32499,2,151,628,417.35,437.01,92.84,25.14,5.39,0.0250,0.0470, 420, 1,34.27,21.90,95437.09,442332.625000,0
42,928,31.64,25.96,32499,2,151,628,417.35,437.01,92.84,25.14,5.39,0.0244,0.0458, 419, 1,34.25,21.94,95436.63,438919.843750,0
43,928,31.64,26.00,32506,2,161,651,425.05,438.79,90.85,25.14,5.39,0.0244,0.0458, 419, 1,34.25,21.94,95436.63,438919.843750,0
44,928,31.64,26.00,32506,2,161,651,425.05,438.79,90.85,25.14,5.39,0.0237,0.0445, 419, 1,34.23,21.93,95436.48,440051.562500,0
45,928,31.62,26.05,32501,2,164,647,424.47,438.49,91.19,25.14,5.39,0.0237,0.0445, 419, 1,34.23,21.93,95436.48,440051.562500,0
46,928,31.62,26.05,32501,2,164,647,424.47,438.49,91.19,25.14,5.39,0.0230,0.0432, 418, 1,34.23,21.93,95436.48,440051.562500,0
47,928,31.60,26.05,32502,2,146,647,424.47,438.49,91.19,25.14,5.39,0.0230,0.0432, 418, 1,34.21,21.95,95436.60,441189.156250,0
48,928,31.60,26.05,32502,2,146,621,418.62,441.92,93.47,25.14,5.39,0.0225,0.0423, 417, 1,34.21,21.95,95436.60,441189.156250,0
49,928,31.59,26.07,32503,2,146,621,418.62,441.92,93.47,25.14,5.39,0.0225,0.0423, 417, 1,34.19,21.99,95436.59,439484.968750,0
50,928,31.59,26.07,32503,2,136,607,431.13,426.78,94.71,25.14,5.39,0.0225,0.0423, 417, 1,34.19,21.99,95436.59,439484.968750,0
51,928,31.59,26.07,32503,2,136,607,431.13,426.78,94.71,25.14,5.39,0.0220,0.0414, 417, 1,34.17,21.97,95435.82,441760.125000,0
52,927,31.56,26.08,32503,2,157,630,424.19,434.06,92.65,25.14,5.39,0.0220,0.0414, 417, 1,34.17,21.97,95435.82,441760.125000,0
53,927,31.56,26.08,32503,2,157,630,424.19,434.06,92.65,25.14,5.39,0.0216,0.0406, 416, 1,34.16,22.03,95436.41,441474.468750,0
54,928,31.56,26.06,32501,2,143,617,428.22,441.92,93.82,25.14,5.39,0.0216,0.0406, 416, 1,34.16,22.03,95436.41,441474.468750,0
55,928,31.56,26.06,32501,2,143,617,428.22,441.92,93.82,25.14,5.39,0.0210,0.0395, 416, 1,34.16,22.03,95436.41,441474.468750,0
56,928,31.54,26.12,32504,2,154,617,428.22,441.92,93.82,25.14,5.39,0.0210,0.0395, 416, 1,34.14,22.01,95437.53,439484.968750,0
57,928,31.54,26.12,32504,2,154,633,424.33,437.31,92.43,25.14,5.39,0.0203,0.0382, 415, 1,34.14,22.01,95437.53,439484.968750,0
58,929,31.52,26.13,32506,2,154,633,424.33,437.31,92.43,25.14,5.39,0.0203,0.0382, 415, 1,34.12,22.03,95438.13,446673.937500,0
59,929,31.52,26.13,32506,2,156,635,422.61,443.42,92.24,25.14,5.39,0.0203,0.0382, 415, 1,34.12,22.03,95438.13,446673.937500,0
60,929,31.52,26.13,32506,2,156,635,422.61,443.42,92.24,25.14,5.39,0.0198,0.0373, 414, 1,34.10,22.04,95437.52,440335.406250,1
61,928,31.52,26.16,32512,2,141,594,426.20,444.47,95.90,25.14,5.39,0.0198,0.0373, 414, 1,34.10,22.04,95437.52,440335.406250,1
62,928,31.52,26.16,32512,2,141,594,426.20,444.47,95.90,25.14,5.39,0.0197,0.0369, 414, 1,34.09,22.16,95437.38,443194.125000,1
63,927,31.48,26.19,32495,2,169,654,424.90,440.28,90.60,25.14,5.39,0.0197,0.0369, 414, 1,34.09,22.16,95437.38,443194.125000,1
64,927,31.48,26.19,32495,2,169,654,424.90,440.28,90.60,25.14,5.39,0.0197,0.0370, 413, 1,34.09,22.16,95437.38,443194.125000,1
65,925,31.49,26.32,32481,2,166,654,424.90,440.28,90.60,25.14,5.39,0.0197,0.0370, 413, 1,34.07,22.58,95437.50,438919.843750,1
66,925,31.49,26.32,32481,2,166,649,420.47,427.50,90.97,25.14,5.39,0.0203,0.0382, 413, 1,34.07,22.58,95437.50,438919.843750,1
67,925,31.49,26.32,32447,2,166,649,420.47,427.50,90.97,25.14,5.39,0.0203,0.0382, 413, 1,34.06,22.91,95437.91,438356.156250,1
68,925,31.49,26.32,32447,2,169,653,430.40,433.77,90.67,25.14,5.39,0.0203,0.0382, 413, 1,34.06,22.91,95437.91,438356.156250,1
69,925,31.49,26.32,32447,2,169,653,430.40,433.77,90.67,25.14,5.39,0.0212,0.0399, 412, 1,34.04,23.09,95438.52,435281.625000,1
70,926,31.51,26.50,32428,2,160,641,426.92,422.47,91.68,25.14,5.39,0.0212,0.0399, 412, 1,34.04,23.09,95438.52,435281.625000,1
71,926,31.51,26.50,32428,2,160,641,426.92,422.47,91.68,25.14,5.39,0.0222,0.0417, 412, 1,34.03,23.12,95439.80,431976.375000,1
72,926,31.55,26.66,32411,2,177,664,417.35,423.04,89.75,25.14,5.39,0.0222,0.0417, 412, 1,34.03,23.12,95439.80,431976.375000,1
73,926,31.55,26.66,32411,2,177,664,417.35,423.04,89.75,25.14,5.39,0.0236,0.0444, 412, 1,34.03,23.12,95439.80,431976.375000,1
74,927,31.60,26.71,32393,2,184,664,417.35,423.04,89.75,25.14,5.39,0.0236,0.0444, 412, 1,34.01,23.19,95439.62,435004.250000,1
75,927,31.60,26.71,32393,2,184,673,423.76,419.90,88.96,25.14,5.39,0.0251,0.0473, 411, 1,34.01,23.19,95439.62,435004.250000,1
76,927,31.63,26.77,32379,2,184,673,423.76,419.90,88.96,25.14,5.39,0.0251,0.0473, 411, 1,34.00,23.26,95438.87,433898.312500,1
77,927,31.63,26.77,32379,2,198,691,420.75,414.25,89.84,25.14,5.39,0.0251,0.0473, 411, 1,34.00,23.26,95438.87,433898.312500,1
78,927,31.63,26.77,32379,2,198,691,420.75,414.25,89.84,25.14,5.39,0.0268,0.0503, 411, 1,33.99,23.34,95438.37,430885.750000,1
79,927,31.68,26.79,32357,2,192,683,422.32,409.79,88.15,25.14,5.39,0.0268,0.0503, 411, 1,33.99,23.34,95438.37,430885.750000,1
80,927,31.68,26.79,32357,2,192,683,422.32,409.79,88.15,25.14,5.39,0.0288,0.0542, 411, 1,33.99,23.40,95437.92,431430.375000,1
81,927,31.73,26.84,32343,2,185,674,411.60,400.87,88.90,25.14,5.39,0.0288,0.0542, 411, 1,33.99,23.40,95437.92,431430.375000,1
82,927,31.73,26.84,32343,2,185,674,411.60,400.87,88.90,25.14,5.39,0.0308,0.0578, 411, 1,33.99,23.40,95437.92,431430.375000,1
83,926,31.77,26.84,32326,2,203,674,411.60,400.87,88.90,25.14,5.39,0.0308,0.0578, 411, 1,33.98,23.37,95438.61,430342.500000,1
84,926,31.77,26.84,32326,2,203,697,418.06,406.06,86.97,25.14,5.39,0.0328,0.0618, 411, 1,33.98,23.37,95438.61,430342.500000,1
