Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1929,33.51,25.33,31798,3,246,747,413.13,453.74,82.61,25.14,5.42,0.2065,0.3883, 448, 2,36.05,21.27,97754.09,478952.281250,0
2,1920,33.51,25.33,31801,3,246,747,413.13,453.74,82.61,25.14,5.42,0.2065,0.3883, 448, 2,36.02,21.27,97753.92,479962.500000,0
3,1920,33.51,25.33,31801,3,225,723,404.83,457.29,84.47,25.14,5.42,0.2065,0.3883, 448, 2,36.02,21.27,97753.92,479962.500000,0
4,1920,33.51,25.33,31801,3,225,723,404.83,457.29,84.47,25.14,5.42,0.1987,0.3735, 445, 2,35.99,21.31,97753.95,480638.343750,0
5,1920,33.51,25.33,31806,2,212,707,394.42,462.73,81.33,25.14,5.42,0.1987,0.3735, 445, 2,35.99,21.31,97753.95,480638.343750,0
6,1920,33.51,25.33,31806,2,212,707,394.42,462.73,81.33,25.14,5.42,0.1916,0.3602, 441, 2,35.96,21.32,97754.11,481995.750000,0
7,1902,33.45,25.39,31806,3,226,724,403.05,466.19,84.39,25.14,5.42,0.1916,0.3602, 441, 2,35.96,21.32,97754.11,481995.750000,0
8,1902,33.45,25.39,31806,3,226,724,403.05,466.19,84.39,25.14,5.42,0.1848,0.3474, 437, 2,35.96,21.32,97754.11,481995.750000,0
9,1890,33.44,25.41,31811,3,232,724,403.05,466.19,84.39,25.14,5.42,0.1848,0.3474, 437, 2,35.93,21.36,97754.35,481995.750000,0
10,1890,33.44,25.41,31811,3,232,731,399.25,459.92,83.85,25.14,5.42,0.1785,0.3355, 434, 2,35.93,21.36,97754.35,481995.750000,0
11,1857,33.37,25.40,31813,3,232,731,399.25,459.92,83.85,25.14,5.42,0.1785,0.3355, 434, 2,35.91,21.37,97754.90,482336.312500,0
12,1857,33.37,25.40,31813,3,226,725,395.48,462.73,84.36,25.14,5.42,0.1785,0.3355, 434, 2,35.91,21.37,97754.90,482336.312500,0
13,1857,33.37,25.40,31813,3,226,725,395.48,462.73,84.36,25.14,5.42,0.1716,0.3226, 430, 2,35.88,21.40,97755.52,483018.875000,0
14,1836,33.36,25.42,31821,3,250,734,409.51,471.27,83.65,25.14,5.42,0.1716,0.3226, 430, 2,35.88,21.40,97755.52,483018.875000,0
15,1836,33.36,25.42,31821,3,250,734,409.51,471.27,83.65,25.14,5.42,0.1655,0.3111, 426, 2,35.85,21.42,97756.19,484389.781250,0
16,1823,33.34,25.53,31823,3,257,759,405.51,478.50,81.66,25.14,5.42,0.1655,0.3111, 426, 2,35.85,21.42,97756.19,484389.781250,0
17,1823,33.34,25.53,31823,3,257,759,405.51,478.50,81.66,25.14,5.42,0.1600,0.3008, 422, 2,35.85,21.42,97756.19,484389.781250,0
18,1812,33.29,25.52,31828,3,230,759,405.51,478.50,81.66,25.14,5.42,0.1600,0.3008, 422, 2,35.83,21.45,97756.86,486460.812500,0
19,1812,33.29,25.52,31828,3,230,729,395.89,468.41,84.02,25.14,5.42,0.1542,0.2900, 418, 2,35.83,21.45,97756.86,486460.812500,0
20,1805,33.27,25.54,31826,3,230,729,395.89,468.41,84.02,25.14,5.42,0.1542,0.2900, 418, 2,35.80,21.46,97757.87,486114.406250,0
21,1805,33.27,25.54,31826,2,218,716,410.90,461.95,85.08,25.14,5.42,0.1542,0.2900, 418, 2,35.80,21.46,97757.87,486114.406250,0
22,1805,33.27,25.54,31826,2,218,716,410.90,461.95,85.08,25.14,5.42,0.1492,0.2805, 415, 2,35.78,21.46,97758.90,487502.968750,0
23,1794,33.24,25.61,31832,3,250,731,402.92,467.61,83.88,25.14,5.42,0.1492,0.2805, 415, 2,35.78,21.46,97758.90,487502.968750,0
24,1794,33.24,25.61,31832,3,250,731,402.92,467.61,83.88,25.14,5.42,0.1438,0.2703, 411, 2,35.75,21.48,97759.81,487502.968750,0
25,1790,33.22,25.54,31830,3,255,757,405.65,487.49,81.80,25.14,5.42,0.1438,0.2703, 411, 2,35.75,21.48,97759.81,487502.968750,0
26,1790,33.22,25.54,31830,3,255,757,405.65,487.49,81.80,25.14,5.42,0.1389,0.2611, 408, 2,35.75,21.48,97759.81,487502.968750,0
27,1787,33.22,25.60,31836,3,272,757,405.65,487.49,81.80,25.14,5.42,0.1389,0.2611, 408, 2,35.73,21.54,97760.77,487851.343750,0
28,1787,33.22,25.60,31836,3,272,775,397.09,473.99,80.46,25.14,5.42,0.1350,0.2538, 406, 2,35.73,21.54,97760.77,487851.343750,0
29,1784,33.21,25.63,31841,3,272,775,397.09,473.99,80.46,25.14,5.42,0.1350,0.2538, 406, 2,35.71,21.52,97761.72,489249.875000,0
30,1784,33.21,25.63,31841,3,244,744,411.88,479.64,82.80,25.14,5.42,0.1350,0.2538, 406, 2,35.71,21.52,97761.72,489249.875000,0
31,1784,33.21,25.63,31841,3,244,744,411.88,479.64,82.80,25.14,5.42,0.1307,0.2457, 405, 2,35.69,21.55,97762.80,489600.750000,0
32,1783,33.18,25.62,31845,3,235,760,407.72,478.50,81.61,25.14,5.42,0.1307,0.2457, 405, 2,35.69,21.55,97762.80,489600.750000,0
33,1783,33.18,25.62,31845,3,235,760,407.72,478.50,81.61,25.14,5.42,0.1266,0.2380, 403, 2,35.66,21.58,97763.38,492426.062500,0
34,1783,33.18,25.62,31837,3,246,747,404.01,483.88,82.61,25.14,5.42,0.1266,0.2380, 403, 2,35.66,21.58,97763.38,492426.062500,0
35,1783,33.18,25.62,31837,3,246,747,404.01,483.88,82.61,25.14,5.42,0.1227,0.2307, 403, 2,35.66,21.58,97763.38,492426.062500,0
36,1781,33.18,25.62,31837,3,232,747,404.01,483.88,82.61,25.14,5.42,0.1227,0.2307, 403, 2,35.64,21.59,97764.69,491362.750000,0
37,1781,33.18,25.62,31837,3,232,731,406.34,487.16,83.82,25.14,5.42,0.1193,0.2243, 402, 2,35.64,21.59,97764.69,491362.750000,0
38,1782,33.13,25.68,31834,3,232,731,406.34,487.16,83.82,25.14,5.42,0.1193,0.2243, 402, 2,35.62,21.61,97765.30,493137.500000,0
39,1782,33.13,25.68,31834,3,276,779,424.19,485.35,80.13,25.14,5.42,0.1193,0.2243, 402, 2,35.62,21.61,97765.30,493137.500000,0
40,1782,33.13,25.68,31834,3,276,779,424.19,485.35,80.13,25.14,5.42,0.1161,0.2184, 401, 2,35.61,21.64,97765.52,491716.687500,0
41,1782,33.17,25.71,31836,3,237,744,424.76,484.86,82.80,25.14,5.42,0.1161,0.2184, 401, 2,35.61,21.64,97765.52,491716.687500,0
42,1782,33.17,25.71,31836,3,237,744,424.76,484.86,82.80,25.14,5.42,0.1131,0.2126, 401, 2,35.59,21.64,97766.27,494208.500000,0
43,1782,33.14,25.72,31839,3,255,757,410.35,486.17,81.86,25.14,5.42,0.1131,0.2126, 401, 2,35.59,21.64,97766.27,494208.500000,0
44,1782,33.14,25.72,31839,3,255,757,410.35,486.17,81.86,25.14,5.42,0.1097,0.2063, 401, 2,35.59,21.64,97766.27,494208.500000,0
45,1782,33.13,25.73,31846,3,232,757,410.35,486.17,81.86,25.14,5.42,0.1097,0.2063, 401, 2,35.57,21.65,97766.93,493493.968750,0
46,1782,33.13,25.73,31846,3,232,732,427.65,492.13,83.79,25.14,5.42,0.1063,0.1999, 401, 2,35.57,21.65,97766.93,493493.968750,0
47,1783,33.11,25.74,31845,3,232,732,427.65,492.13,83.79,25.14,5.42,0.1063,0.1999, 401, 2,35.55,21.69,97767.35,492781.531250,0
48,1783,33.11,25.74,31845,3,233,733,407.72,497.16,83.73,25.14,5.42,0.1063,0.1999, 401, 2,35.55,21.69,97767.35,492781.531250,0
49,1783,33.11,25.74,31845,3,233,733,407.72,497.16,83.73,25.14,5.42,0.1034,0.1944, 400, 2,35.54,21.71,97767.62,493137.500000,0
50,1783,33.08,25.73,31845,3,248,764,417.35,500.87,81.28,25.14,5.42,0.1034,0.1944, 400, 2,35.54,21.71,97767.62,493137.500000,0
51,1783,33.08,25.73,31845,3,248,764,417.35,500.87,81.28,25.14,5.42,0.1010,0.1898, 400, 2,35.52,21.72,97768.00,494566.531250,0
52,1783,33.10,25.79,31848,3,247,748,411.60,486.01,82.52,25.14,5.42,0.1010,0.1898, 400, 2,35.52,21.72,97768.00,494566.531250,0
53,1783,33.10,25.79,31848,3,247,748,411.60,486.01,82.52,25.14,5.42,0.0989,0.1859, 400, 2,35.52,21.72,97768.00,494566.531250,0
54,1784,33.09,25.76,31847,3,247,748,411.60,486.01,82.52,25.14,5.42,0.0989,0.1859, 400, 2,35.51,21.73,97768.05,495643.750000,0
55,1784,33.09,25.76,31847,3,247,748,422.32,492.47,82.50,25.14,5.42,0.0967,0.1818, 400, 2,35.51,21.73,97768.05,495643.750000,0
56,1786,33.09,25.80,31851,3,247,748,422.32,492.47,82.50,25.14,5.42,0.0967,0.1818, 400, 2,35.49,21.73,97768.25,497087.375000,0
57,1786,33.09,25.80,31851,3,243,743,410.90,489.64,82.89,25.14,5.42,0.0967,0.1818, 400, 2,35.49,21.73,97768.25,497087.375000,0
58,1786,33.09,25.80,31851,3,243,743,410.90,489.64,82.89,25.14,5.42,0.0943,0.1772, 400, 2,35.48,21.77,97769.13,498539.437500,0
59,1787,33.06,25.78,31845,3,261,764,405.93,487.33,81.33,25.14,5.42,0.0943,0.1772, 400, 2,35.48,21.77,97769.13,498539.437500,0
60,1787,33.06,25.78,31845,3,261,764,405.93,487.33,81.33,25.14,5.42,0.0924,0.1736, 400, 2,35.47,21.76,97769.12,495643.750000,1
61,1787,33.06,25.78,31844,3,267,770,422.18,498.50,80.81,25.14,5.42,0.0924,0.1736, 400, 2,35.47,21.76,97769.12,495643.750000,1
62,1787,33.06,25.78,31844,3,267,770,422.18,498.50,80.81,25.14,5.42,0.0910,0.1710, 400, 2,35.47,21.76,97769.12,495643.750000,1
63,1787,33.04,25.87,31855,3,264,770,422.18,498.50,80.81,25.14,5.42,0.0910,0.1710, 400, 2,35.45,21.75,97769.20,496364.531250,1
64,1787,33.04,25.87,31855,3,264,767,419.19,489.97,81.06,25.14,5.42,0.0903,0.1697, 400, 2,35.45,21.75,97769.20,496364.531250,1
65,1787,33.05,25.85,31862,3,264,767,419.19,489.97,81.06,25.14,5.42,0.0903,0.1697, 400, 2,35.44,21.72,97768.52,497087.375000,1
66,1787,33.05,25.85,31862,3,245,746,414.53,480.45,82.66,25.14,5.42,0.0903,0.1697, 400, 2,35.44,21.72,97768.52,497087.375000,1
67,1787,33.05,25.85,31862,3,245,746,414.53,480.45,82.66,25.14,5.42,0.0924,0.1737, 400, 2,35.43,21.76,97768.31,495643.750000,1
68,1789,33.07,25.88,31853,3,287,791,409.51,462.26,79.29,25.14,5.42,0.0924,0.1737, 400, 2,35.43,21.76,97768.31,495643.750000,1
69,1789,33.07,25.88,31853,3,287,791,409.51,462.26,79.29,25.14,5.42,0.0973,0.1829, 400, 2,35.41,21.81,97768.43,497087.375000,1
70,1791,33.09,25.85,31842,3,277,780,411.60,469.20,80.07,25.14,5.42,0.0973,0.1829, 400, 2,35.41,21.81,97768.43,497087.375000,1
71,1791,33.09,25.85,31842,3,277,780,411.60,469.20,80.07,25.14,5.42,0.1034,0.1943, 400, 2,35.41,21.81,97768.43,497087.375000,1
72,1794,33.15,25.77,31822,3,273,780,411.60,469.20,80.07,25.14,5.42,0.1034,0.1943, 400, 2,35.40,21.84,97768.39,496364.531250,1
73,1794,33.15,25.77,31822,3,273,776,406.34,447.03,80.37,25.14,5.42,0.1111,0.2088, 400, 2,35.40,21.84,97768.39,496364.531250,1
