Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,2318,32.82,29.97,31747,3,388,832,456.20,518.29,73.13,25.14,5.42,0.1355,0.2547, 408, 2,35.39,25.23,97725.54,477611.937500,0
2,2318,32.82,29.97,31747,3,388,832,456.20,518.29,73.13,25.14,5.42,0.1364,0.2565, 408, 2,35.39,25.23,97725.54,477611.937500,0
3,2318,32.81,29.97,31743,3,423,842,456.20,518.29,73.13,25.14,5.42,0.1364,0.2565, 408, 2,35.39,25.22,97725.34,473635.531250,0
4,2318,32.81,29.97,31743,3,423,842,462.26,521.10,71.37,25.14,5.42,0.1372,0.2579, 408, 2,35.39,25.22,97725.34,473635.531250,0
5,2319,32.81,29.97,31742,3,423,842,462.26,521.10,71.37,25.14,5.42,0.1372,0.2579, 408, 2,35.39,25.23,97725.35,474623.406250,0
6,2319,32.81,29.97,31742,3,420,841,455.12,519.87,71.54,25.14,5.42,0.1380,0.2595, 408, 2,35.39,25.23,97725.35,474623.406250,0
7,2319,32.81,29.97,31742,3,420,841,455.12,519.87,71.54,25.14,5.42,0.1380,0.2595, 408, 2,35.39,25.26,97725.05,474293.656250,0
8,2324,32.82,30.06,31745,3,410,838,454.20,522.69,72.07,25.14,5.42,0.1380,0.2595, 408, 2,35.39,25.26,97725.05,474293.656250,0
9,2324,32.82,30.06,31745,3,410,838,454.20,522.69,72.07,25.14,5.42,0.1377,0.2589, 408, 2,35.40,25.28,97725.07,474623.406250,0
10,2328,32.81,30.00,31740,3,371,838,455.28,523.05,72.05,25.14,5.42,0.1377,0.2589, 408, 2,35.40,25.28,97725.07,474623.406250,0
11,2328,32.81,30.00,31740,3,371,838,455.28,523.05,72.05,25.14,5.42,0.1380,0.2594, 408, 2,35.40,25.28,97725.07,474623.406250,0
12,2328,32.81,30.00,31740,3,425,843,451.75,519.69,71.27,25.14,5.42,0.1380,0.2594, 408, 2,35.40,25.27,97725.03,474623.406250,0
13,2328,32.81,30.00,31740,3,425,843,451.75,519.69,71.27,25.14,5.42,0.1388,0.2610, 408, 2,35.40,25.27,97725.03,474623.406250,0
14,2332,32.82,30.03,31753,3,425,843,451.75,519.69,71.27,25.14,5.42,0.1388,0.2610, 408, 2,35.40,25.26,97725.21,477611.937500,0
15,2332,32.82,30.03,31753,3,383,829,451.75,513.40,73.60,25.14,5.42,0.1397,0.2626, 408, 2,35.40,25.26,97725.21,477611.937500,0
16,2332,32.82,30.03,31753,3,383,829,451.75,513.40,73.60,25.14,5.42,0.1397,0.2626, 408, 2,35.40,25.28,97725.03,474623.406250,0
17,2337,32.81,30.06,31751,3,401,835,454.05,520.40,72.54,25.14,5.42,0.1397,0.2626, 408, 2,35.40,25.28,97725.03,474623.406250,0
18,2337,32.81,30.06,31751,3,401,835,454.05,520.40,72.54,25.14,5.42,0.1394,0.2621, 408, 2,35.40,25.28,97724.88,475947.000000,0
19,2337,32.85,30.03,31750,3,414,832,456.82,524.29,73.13,25.14,5.42,0.1394,0.2621, 408, 2,35.40,25.28,97724.88,475947.000000,0
20,2337,32.85,30.03,31750,3,414,832,456.82,524.29,73.13,25.14,5.42,0.1396,0.2625, 408, 2,35.40,25.29,97724.42,472979.218750,0
21,2337,32.83,29.97,31745,3,435,846,446.43,514.10,70.77,25.14,5.42,0.1396,0.2625, 408, 2,35.40,25.29,97724.42,472979.218750,0
22,2337,32.83,29.97,31745,3,435,846,446.43,514.10,70.77,25.14,5.42,0.1406,0.2643, 408, 2,35.40,25.29,97724.42,472979.218750,0
23,2338,32.85,30.00,31742,3,435,846,446.43,514.10,70.77,25.14,5.42,0.1406,0.2643, 408, 2,35.40,25.31,97724.13,476611.593750,0
24,2338,32.85,30.00,31742,3,401,835,463.52,526.96,72.54,25.14,5.42,0.1411,0.2652, 408, 2,35.40,25.31,97724.13,476611.593750,0
25,2341,32.86,29.98,31744,3,401,835,463.52,526.96,72.54,25.14,5.42,0.1411,0.2652, 408, 2,35.41,25.27,97724.08,472324.718750,0
26,2341,32.86,29.98,31744,3,391,832,465.72,524.64,73.13,25.14,5.42,0.1411,0.2652, 408, 2,35.41,25.27,97724.08,472324.718750,0
27,2341,32.86,29.98,31744,3,391,832,465.72,524.64,73.13,25.14,5.42,0.1421,0.2672, 408, 2,35.41,25.27,97724.28,472979.218750,0
28,2343,32.87,30.04,31739,3,445,849,454.35,515.32,70.27,25.14,5.42,0.1421,0.2672, 408, 2,35.41,25.27,97724.28,472979.218750,0
29,2343,32.87,30.04,31739,3,445,849,454.35,515.32,70.27,25.14,5.42,0.1427,0.2683, 409, 2,35.41,25.27,97724.37,475615.406250,0
30,2345,32.86,30.01,31736,3,431,845,446.58,520.40,70.96,25.14,5.42,0.1427,0.2683, 409, 2,35.41,25.27,97724.37,475615.406250,0
31,2345,32.86,30.01,31736,3,431,845,446.58,520.40,70.96,25.14,5.42,0.1434,0.2697, 409, 2,35.41,25.27,97724.37,475615.406250,0
32,2345,32.89,30.00,31736,3,400,845,446.58,520.40,70.96,25.14,5.42,0.1434,0.2697, 409, 2,35.41,25.27,97723.62,472979.218750,0
33,2345,32.89,30.00,31736,3,400,835,457.59,529.46,72.64,25.14,5.42,0.1439,0.2706, 409, 2,35.41,25.27,97723.62,472979.218750,0
34,2346,32.90,29.99,31738,3,400,835,457.59,529.46,72.64,25.14,5.42,0.1439,0.2706, 409, 2,35.41,25.27,97724.20,474953.625000,0
35,2346,32.90,29.99,31738,3,442,848,444.92,510.11,70.43,25.14,5.42,0.1439,0.2706, 409, 2,35.41,25.27,97724.20,474953.625000,0
36,2346,32.90,29.99,31738,3,442,848,444.92,510.11,70.43,25.14,5.42,0.1440,0.2708, 409, 2,35.41,25.25,97724.12,474953.625000,0
37,2346,32.89,29.99,31736,3,429,844,458.37,524.64,71.08,25.14,5.42,0.1440,0.2708, 409, 2,35.41,25.25,97724.12,474953.625000,0
38,2346,32.89,29.99,31736,3,429,844,458.37,524.64,71.08,25.14,5.42,0.1442,0.2712, 409, 2,35.42,25.26,97723.80,476279.062500,0
39,2346,32.89,29.99,31742,3,430,844,454.51,526.78,71.01,25.14,5.42,0.1442,0.2712, 409, 2,35.42,25.26,97723.80,476279.062500,0
40,2346,32.89,29.99,31742,3,430,844,454.51,526.78,71.01,25.14,5.42,0.1452,0.2730, 410, 2,35.42,25.26,97723.80,476279.062500,0
41,2347,32.91,29.97,31747,3,391,844,454.51,526.78,71.01,25.14,5.42,0.1452,0.2730, 410, 2,35.42,25.22,97723.41,474953.625000,0
42,2347,32.91,29.97,31747,3,391,832,456.98,521.81,73.13,25.14,5.42,0.1463,0.2751, 410, 2,35.42,25.22,97723.41,474953.625000,0
43,2347,32.92,29.95,31754,3,391,832,456.98,521.81,73.13,25.14,5.42,0.1463,0.2751, 410, 2,35.42,25.21,97723.62,472979.218750,0
44,2347,32.92,29.95,31754,3,407,837,456.51,514.10,72.22,25.14,5.42,0.1463,0.2751, 410, 2,35.42,25.21,97723.62,472979.218750,0
45,2347,32.92,29.95,31754,3,407,837,456.51,514.10,72.22,25.14,5.42,0.1454,0.2734, 410, 2,35.43,25.21,97723.77,471672.031250,0
46,2346,32.90,29.94,31752,3,396,837,456.05,522.69,72.25,25.14,5.42,0.1454,0.2734, 410, 2,35.43,25.21,97723.77,471672.031250,0
47,2346,32.90,29.94,31752,3,396,837,456.05,522.69,72.25,25.14,5.42,0.1443,0.2713, 410, 2,35.43,25.18,97723.93,475284.281250,0
48,2346,32.90,29.90,31751,3,366,824,464.93,523.22,74.58,25.14,5.42,0.1443,0.2713, 410, 2,35.43,25.18,97723.93,475284.281250,0
49,2346,32.90,29.90,31751,3,366,824,464.93,523.22,74.58,25.14,5.42,0.1442,0.2711, 410, 2,35.43,25.18,97723.93,475284.281250,0
