Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1066,30.64,28.12,32077,2,125,589,425.48,496.99,95.39,25.14,5.41,0.0308,0.0578, 400, 1,33.46,23.34,95212.83,538239.187500,0
2,1066,30.64,28.12,32077,2,125,589,425.48,496.99,95.39,25.14,5.41,0.0305,0.0574, 400, 1,33.46,23.35,95211.61,537815.125000,0
3,1066,30.64,28.13,32074,2,126,590,429.68,505.81,95.29,25.14,5.41,0.0305,0.0574, 400, 1,33.46,23.35,95211.61,537815.125000,0
4,1066,30.64,28.13,32074,2,126,590,429.68,505.81,95.29,25.14,5.41,0.0303,0.0570, 400, 1,33.46,23.35,95211.61,537815.125000,0
5,1067,30.66,28.10,32076,2,149,626,420.47,497.32,92.15,25.14,5.41,0.0303,0.0570, 400, 1,33.45,23.37,95211.79,538239.187500,0
6,1067,30.66,28.10,32076,2,149,626,420.47,497.32,92.15,25.14,5.41,0.0299,0.0562, 400, 1,33.45,23.37,95211.79,538239.187500,0
7,1066,30.63,28.13,32076,2,149,626,420.47,497.32,92.15,25.14,5.41,0.0299,0.0562, 400, 1,33.44,23.37,95211.73,536125.625000,0
8,1066,30.63,28.13,32076,2,134,603,420.75,495.31,97.11,25.14,5.41,0.0295,0.0555, 400, 1,33.44,23.37,95211.73,536125.625000,0
9,1066,30.63,28.13,32076,2,134,603,420.75,495.31,97.11,25.14,5.41,0.0295,0.0555, 400, 1,33.44,23.38,95212.40,537815.125000,0
10,1066,30.60,28.16,32077,2,104,555,426.78,507.87,98.54,25.14,5.41,0.0295,0.0555, 400, 1,33.44,23.38,95212.40,537815.125000,0
11,1066,30.60,28.16,32077,2,104,555,426.78,507.87,98.54,25.14,5.41,0.0292,0.0550, 400, 1,33.43,23.39,95212.73,539515.250000,0
