Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1208,33.17,27.43,32374,2,205,699,425.34,417.07,85.51,25.14,5.39,0.1032,0.1940, 459, 2,35.50,23.48,94841.12,409436.218750,0
2,1208,33.17,27.43,32374,2,205,699,425.34,417.07,85.51,25.14,5.39,0.1011,0.1900, 458, 2,35.50,23.52,94840.34,409436.218750,0
3,1209,33.11,27.48,32378,2,172,682,417.49,424.76,86.91,25.14,5.39,0.1011,0.1900, 458, 2,35.50,23.52,94840.34,409436.218750,0
4,1209,33.11,27.48,32378,2,172,682,417.49,424.76,86.91,25.14,5.39,0.0994,0.1870, 458, 2,35.50,23.52,94840.34,409436.218750,0
5,1208,33.05,27.52,32381,2,172,682,417.49,424.76,86.91,25.14,5.39,0.0994,0.1870, 458, 2,35.48,23.51,94839.81,409927.937500,0
6,1208,33.05,27.52,32381,2,204,699,418.06,426.92,85.54,25.14,5.39,0.0979,0.1841, 458, 2,35.48,23.51,94839.81,409927.937500,0
7,1209,33.01,27.56,32385,2,204,699,418.06,426.92,85.54,25.14,5.39,0.0979,0.1841, 458, 2,35.48,23.53,94839.09,409927.937500,0
8,1209,33.01,27.56,32385,2,187,677,416.64,423.04,87.32,25.14,5.39,0.0979,0.1841, 458, 2,35.48,23.53,94839.09,409927.937500,0
9,1209,33.01,27.56,32385,2,187,677,416.64,423.04,87.32,25.14,5.39,0.0960,0.1806, 457, 2,35.46,23.55,94839.84,411658.281250,0
10,1209,32.99,27.61,32390,2,190,680,412.30,420.61,87.06,25.14,5.39,0.0960,0.1806, 457, 2,35.46,23.55,94839.84,411658.281250,0
