Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1094,29.76,30.04,32067,2,115,574,415.66,498.67,96.10,25.14,5.41,0.0152,0.0287, 400, 1,32.52,25.07,95180.84,531948.062500,0
2,1093,29.74,30.05,32066,2,134,603,410.07,512.36,93.47,25.14,5.41,0.0152,0.0287, 400, 1,32.52,25.07,95180.84,531948.062500,0
3,1093,29.74,30.05,32066,2,134,603,410.07,512.36,93.47,25.14,5.41,0.0151,0.0284, 400, 1,32.52,25.07,95180.84,531948.062500,0
4,1089,29.74,30.10,32068,2,140,603,410.07,512.36,93.47,25.14,5.41,0.0151,0.0284, 400, 1,32.51,25.06,95179.02,528243.500000,0
5,1089,29.74,30.10,32068,2,140,612,410.07,494.64,92.71,25.14,5.41,0.0150,0.0282, 400, 1,32.51,25.06,95179.02,528243.500000,0
6,1085,29.74,30.06,32068,2,140,612,410.07,494.64,92.71,25.14,5.41,0.0150,0.0282, 400, 1,32.51,25.05,95178.55,533611.250000,0
7,1085,29.74,30.06,32068,2,129,606,409.65,502.40,93.19,25.14,5.41,0.0150,0.0282, 400, 1,32.51,25.05,95178.55,533611.250000,0
8,1085,29.74,30.06,32068,2,129,606,409.65,502.40,93.19,25.14,5.41,0.0149,0.0281, 400, 1,32.51,25.06,95178.94,528652.562500,0
9,1085,29.74,30.06,32073,2,126,591,418.06,507.70,94.55,25.14,5.41,0.0149,0.0281, 400, 1,32.51,25.06,95178.94,528652.562500,0
10,1085,29.74,30.06,32073,2,126,591,418.06,507.70,94.55,25.14,5.41,0.0147,0.0277, 400, 1,32.50,25.05,95178.44,528652.562500,0
11,1082,29.73,30.14,32078,2,117,578,418.06,496.99,95.78,25.14,5.41,0.0147,0.0277, 400, 1,32.50,25.05,95178.44,528652.562500,0
12,1082,29.73,30.14,32078,2,117,578,418.06,496.99,95.78,25.14,5.41,0.0146,0.0274, 400, 1,32.50,25.05,95178.44,528652.562500,0
13,1077,29.71,30.10,32077,2,105,578,418.06,496.99,95.78,25.14,5.41,0.0146,0.0274, 400, 1,32.50,25.08,95178.89,527835.062500,0
14,1077,29.71,30.10,32077,2,105,557,413.27,501.89,97.71,25.14,5.41,0.0144,0.0270, 400, 1,32.50,25.08,95178.89,527835.062500,0
15,1074,29.70,30.12,32074,2,105,557,413.27,501.89,97.71,25.14,5.41,0.0144,0.0270, 400, 1,32.50,25.07,95179.02,530295.187500,0
16,1074,29.70,30.12,32074,2,150,563,416.08,503.59,97.15,25.14,5.41,0.0144,0.0270, 400, 1,32.50,25.07,95179.02,530295.187500,0
17,1074,29.70,30.12,32074,2,150,563,416.08,503.59,97.15,25.14,5.41,0.0143,0.0268, 400, 1,32.49,25.07,95178.61,528243.500000,0
18,1070,29.70,30.13,32074,2,117,577,410.07,502.74,95.87,25.14,5.41,0.0143,0.0268, 400, 1,32.49,25.07,95178.61,528243.500000,0
19,1070,29.70,30.13,32074,2,117,577,410.07,502.74,95.87,25.14,5.41,0.0141,0.0265, 400, 1,32.49,25.07,95178.06,529472.625000,0
20,1067,29.71,30.16,32075,2,120,582,414.11,506.33,95.39,25.14,5.41,0.0141,0.0265, 400, 1,32.49,25.07,95178.06,529472.625000,0
21,1067,29.71,30.16,32075,2,120,582,414.11,506.33,95.39,25.14,5.41,0.0139,0.0262, 400, 1,32.49,25.07,95178.06,529472.625000,0
22,1066,29.72,30.14,32074,2,128,582,414.11,506.33,95.39,25.14,5.41,0.0139,0.0262, 400, 1,32.49,25.08,95176.85,528652.562500,0
23,1066,29.72,30.14,32074,2,128,593,417.49,503.59,94.36,25.14,5.41,0.0141,0.0264, 400, 1,32.49,25.08,95176.85,528652.562500,0
24,1065,29.67,30.12,32072,2,128,593,417.49,503.59,94.36,25.14,5.41,0.0141,0.0264, 400, 1,32.48,25.11,95176.22,529883.562500,0
25,1065,29.67,30.12,32072,2,131,585,420.33,505.98,95.16,25.14,5.41,0.0141,0.0264, 400, 1,32.48,25.11,95176.22,529883.562500,0
26,1065,29.67,30.12,32072,2,131,585,420.33,505.98,95.16,25.14,5.41,0.0139,0.0261, 400, 1,32.48,25.10,95175.62,529062.250000,0
27,1062,29.71,30.16,32076,2,130,597,419.90,506.50,94.04,25.14,5.41,0.0139,0.0261, 400, 1,32.48,25.10,95175.62,529062.250000,0
28,1062,29.71,30.16,32076,2,130,597,419.90,506.50,94.04,25.14,5.41,0.0135,0.0254, 400, 1,32.48,25.11,95174.58,528652.562500,0
29,1061,29.69,30.12,32078,2,113,571,418.62,519.34,96.39,25.14,5.41,0.0135,0.0254, 400, 1,32.48,25.11,95174.58,528652.562500,0
30,1061,29.69,30.12,32078,2,113,571,418.62,519.34,96.39,25.14,5.41,0.0134,0.0252, 400, 1,32.48,25.11,95174.58,528652.562500,0
31,1061,29.71,30.08,32075,2,142,571,418.62,519.34,96.39,25.14,5.41,0.0134,0.0252, 400, 1,32.47,25.11,95175.08,526207.625000,0
