Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,858,24.46,36.17,32234,2,121,586,629.42,779.80,95.87,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.50,96825.73,636617.937500,0
2,858,24.44,36.20,32228,2,145,619,622.85,786.43,92.87,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.50,96825.73,636617.937500,0
3,858,24.44,36.20,32228,2,145,619,622.85,786.43,92.87,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.48,96825.55,636617.937500,0
4,859,24.45,36.19,32226,2,138,609,611.99,778.22,93.75,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.48,96825.55,636617.937500,0
5,859,24.45,36.19,32226,2,138,609,611.99,778.22,93.75,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.48,96825.55,636617.937500,0
6,867,24.46,36.14,32222,2,141,609,611.99,778.22,93.75,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.48,96825.56,634252.062500,0
7,867,24.46,36.14,32222,2,141,614,629.21,772.19,93.31,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.48,96825.56,634252.062500,0
8,883,24.46,36.23,32223,2,141,614,629.21,772.19,93.31,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.50,96825.62,634252.062500,0
9,883,24.46,36.23,32223,2,126,595,620.75,764.39,95.03,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.50,96825.62,634252.062500,0
10,883,24.46,36.23,32223,2,126,595,620.75,764.39,95.03,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.53,96825.27,633663.375000,0
11,908,24.48,36.21,32222,2,134,603,626.66,768.28,94.26,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.53,96825.27,633663.375000,0
12,908,24.48,36.21,32222,2,134,603,626.66,768.28,94.26,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.54,96824.64,636617.937500,0
13,908,24.48,36.21,32222,2,131,598,611.78,775.59,94.71,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.54,96824.64,636617.937500,0
14,908,24.48,36.21,32222,2,131,598,611.78,775.59,94.71,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.54,96824.64,636617.937500,0
15,916,24.46,36.21,32218,2,126,598,611.78,775.59,94.71,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.54,96824.59,636617.937500,0
16,916,24.46,36.21,32218,2,126,591,620.33,762.32,95.35,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.54,96824.59,636617.937500,0
17,921,24.48,36.19,32213,2,126,591,620.33,762.32,95.35,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.54,96824.76,629572.687500,0
18,921,24.48,36.19,32213,2,143,597,627.93,761.55,94.81,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.54,96824.76,629572.687500,0
19,921,24.48,36.19,32213,2,143,597,627.93,761.55,94.81,25.14,5.44,0.0084,0.0159, 400, 1,27.26,30.56,96825.01,636024.875000,0
