Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1125,32.03,26.97,31827,2,143,617,363.52,377.57,92.65,25.14,5.41,0.3290,0.6185, 481, 2,34.43,22.74,95202.09,494566.531250,0
2,1122,31.93,27.10,31839,2,155,607,351.42,384.40,93.56,25.14,5.41,0.3290,0.6185, 481, 2,34.43,22.74,95202.09,494566.531250,0
3,1122,31.93,27.10,31839,2,155,607,351.42,384.40,93.56,25.14,5.41,0.3195,0.6006, 479, 2,34.42,22.75,95203.82,493493.968750,0
4,1119,31.90,27.13,31845,2,146,620,349.29,379.49,92.37,25.14,5.41,0.3195,0.6006, 479, 2,34.42,22.75,95203.82,493493.968750,0
5,1119,31.90,27.13,31845,2,146,620,349.29,379.49,92.37,25.14,5.41,0.3100,0.5827, 477, 2,34.42,22.75,95203.82,493493.968750,0
6,1111,31.86,27.15,31851,2,135,620,349.29,379.49,92.37,25.14,5.41,0.3100,0.5827, 477, 2,34.40,22.79,95205.20,496725.687500,0
7,1111,31.86,27.15,31851,2,135,605,354.05,388.45,93.72,25.14,5.41,0.3012,0.5662, 474, 2,34.40,22.79,95205.20,496725.687500,0
8,1110,31.83,27.16,31858,2,135,605,354.05,388.45,93.72,25.14,5.41,0.3012,0.5662, 474, 2,34.39,22.77,95204.49,493493.968750,0
9,1110,31.83,27.16,31858,2,119,581,352.26,388.06,95.90,25.14,5.41,0.3012,0.5662, 474, 2,34.39,22.77,95204.49,493493.968750,0
10,1110,31.83,27.16,31858,2,119,581,352.26,388.06,95.90,25.14,5.41,0.2913,0.5477, 471, 2,34.37,22.80,95204.15,495284.156250,0
11,1108,31.75,27.24,31867,2,138,610,351.90,391.36,93.31,25.14,5.41,0.2913,0.5477, 471, 2,34.37,22.80,95204.15,495284.156250,0
12,1108,31.75,27.24,31867,2,138,610,351.90,391.36,93.31,25.14,5.41,0.2813,0.5289, 468, 2,34.35,22.79,95203.90,497087.375000,0
13,1108,31.75,27.24,31871,2,125,601,360.70,392.55,94.14,25.14,5.41,0.2813,0.5289, 468, 2,34.35,22.79,95203.90,497087.375000,0
14,1108,31.75,27.24,31871,2,125,601,360.70,392.55,94.14,25.14,5.41,0.2722,0.5118, 465, 2,34.35,22.79,95203.90,497087.375000,0
15,1106,31.72,27.28,31871,2,134,601,360.70,392.55,94.14,25.14,5.41,0.2722,0.5118, 465, 2,34.33,22.79,95203.55,497087.375000,0
16,1106,31.72,27.28,31871,2,134,603,357.91,393.35,93.91,25.14,5.41,0.2628,0.4942, 462, 2,34.33,22.79,95203.55,497087.375000,0
17,1105,31.68,27.29,31875,2,134,603,357.91,393.35,93.91,25.14,5.41,0.2628,0.4942, 462, 2,34.31,22.83,95203.05,497449.593750,0
18,1105,31.68,27.29,31875,2,140,612,352.85,394.28,93.09,25.14,5.41,0.2628,0.4942, 462, 2,34.31,22.83,95203.05,497449.593750,0
19,1105,31.68,27.29,31875,2,140,612,352.85,394.28,93.09,25.14,5.41,0.2534,0.4763, 459, 2,34.29,22.86,95203.56,495643.750000,0
20,1101,31.64,27.34,31881,2,125,590,366.24,401.42,95.13,25.14,5.41,0.2534,0.4763, 459, 2,34.29,22.86,95203.56,495643.750000,0
21,1101,31.64,27.34,31881,2,125,590,366.24,401.42,95.13,25.14,5.41,0.2449,0.4604, 455, 2,34.27,22.87,95203.48,497449.593750,0
22,1100,31.63,27.29,31885,2,133,601,365.87,405.93,94.07,25.14,5.41,0.2449,0.4604, 455, 2,34.27,22.87,95203.48,497449.593750,0
23,1100,31.63,27.29,31885,2,133,601,365.87,405.93,94.07,25.14,5.41,0.2369,0.4454, 451, 2,34.27,22.87,95203.48,497449.593750,0
24,1100,31.58,27.37,31894,2,138,601,365.87,405.93,94.07,25.14,5.41,0.2369,0.4454, 451, 2,34.25,22.86,95202.86,499634.062500,0
25,1100,31.58,27.37,31894,2,138,609,359.85,409.38,93.41,25.14,5.41,0.2289,0.4304, 448, 2,34.25,22.86,95202.86,499634.062500,0
26,1099,31.56,27.38,31900,2,138,609,359.85,409.38,93.41,25.14,5.41,0.2289,0.4304, 448, 2,34.23,22.89,95202.94,498903.781250,0
27,1099,31.56,27.38,31900,2,128,594,365.25,411.88,94.74,25.14,5.41,0.2289,0.4304, 448, 2,34.23,22.89,95202.94,498903.781250,0
28,1099,31.56,27.38,31900,2,128,594,365.25,411.88,94.74,25.14,5.41,0.2212,0.4159, 444, 2,34.21,22.90,95202.70,498903.781250,0
