Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1128,28.90,29.72,30985,2,108,563,252.05,239.74,98.07,25.14,5.46,0.5076,0.9544, 444, 3,31.16,25.41,96838.84,412155.375000,0
2,1136,28.86,29.80,30992,2,146,634,252.39,242.43,91.71,25.14,5.46,0.5076,0.9544, 444, 3,31.16,25.41,96838.84,412155.375000,0
3,1136,28.86,29.80,30992,2,146,634,252.39,242.43,91.71,25.14,5.46,0.5036,0.9468, 441, 3,31.15,25.41,96838.55,413153.125000,0
4,1142,28.85,29.79,30996,2,126,591,258.01,252.05,95.55,25.14,5.46,0.5036,0.9468, 441, 3,31.15,25.41,96838.55,413153.125000,0
5,1142,28.85,29.79,30996,2,126,591,258.01,252.05,95.55,25.14,5.46,0.5000,0.9400, 438, 3,31.15,25.41,96838.55,413153.125000,0
6,1146,28.79,29.83,31006,2,135,591,258.01,252.05,95.55,25.14,5.46,0.5000,0.9400, 438, 3,31.14,25.45,96837.94,413653.812500,0
7,1146,28.79,29.83,31006,2,135,604,261.61,252.73,94.33,25.14,5.46,0.4965,0.9334, 435, 3,31.14,25.45,96837.94,413653.812500,0
8,1153,28.75,29.92,31013,2,135,604,261.61,252.73,94.33,25.14,5.46,0.4965,0.9334, 435, 3,31.13,25.49,96837.08,413904.593750,0
9,1153,28.75,29.92,31013,2,123,587,265.27,256.09,95.87,25.14,5.46,0.4965,0.9334, 435, 3,31.13,25.49,96837.08,413904.593750,0
10,1153,28.75,29.92,31013,2,123,587,265.27,256.09,95.87,25.14,5.46,0.4929,0.9266, 433, 3,31.11,25.50,96837.11,409927.937500,0
