Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
2250 31978 3 349 818 526,78 608,07 75,39 5,42 0,0798 403 1 540797,4375 1
2250 31978 3 349 818 526,78 608,07 75,39 5,42 0,0814 404 1 543813,0625 1
2265 31974 3 346 833 482,57 517,94 72,61 5,42 0,0814 404 1 543813,0625 1
2265 31974 3 346 833 482,57 517,94 72,61 5,42 0,1319 404 2 527835,0625 1
2270 31959 4 1007 1004 351,9 207,27 52,81 5,42 0,1319 404 2 527835,0625 1
2270 31959 4 1007 1004 351,9 207,27 52,81 5,42 0,2063 405 2 527835,0625 1
2274 31926 4 2157 1004 351,9 207,27 52,81 5,42 0,2063 405 2 501469,15625 1
2274 31926 4 2157 1247 256,18 98,2 39,27 5,42 0,2894 408 2 501469,15625 1
2280 31878 4 2157 1247 256,18 98,2 39,27 5,42 0,2894 408 2 481655,6875 1
2280 31878 5 2881 1375 198,14 68,65 34,91 5,42 0,2894 408 2 481655,6875 1
2280 31878 5 2881 1375 198,14 68,65 34,91 5,42 0,3747 411 2 460224,71875 1
2279 31832 5 3190 1453 165,44 56,53 32,79 5,42 0,3747 411 2 460224,71875 1
2279 31832 5 3190 1453 165,44 56,53 32,79 5,42 0,4584 413 2 441474,46875 1
2280 31792 5 3242 1435 151,4 51,97 33,25 5,42 0,4584 413 2 441474,46875 1
2280 31792 5 3242 1435 151,4 51,97 33,25 5,42 0,538 415 2 441474,46875 1
2279 31753 5 3237 1435 151,4 51,97 33,25 5,42 0,538 415 2 429530,1875 1
2279 31753 5 3237 1434 140,25 49,86 33,27 5,42 0,6129 416 2 429530,1875 1
2279 31719 5 3237 1434 140,25 49,86 33,27 5,42 0,6129 416 2 420275,0 1
2279 31719 5 2994 1394 131,12 48,23 34,36 5,42 0,6129 416 2 420275,0 1
2279 31719 5 2994 1394 131,12 48,23 34,36 5,42 0,682 417 2 410667,75 1
2280 31692 5 2974 1388 125,01 47,69 34,53 5,42 0,682 417 2 410667,75 1
2280 31692 5 2974 1388 125,01 47,69 34,53 5,42 0,7454 417 2 401962,71875 1
2280 31664 5 2812 1364 120,97 46,8 35,25 5,42 0,7454 417 2 401962,71875 1
2280 31664 5 2812 1364 120,97 46,8 35,25 5,42 0,8037 418 2 401962,71875 1
2280 31641 5 2897 1364 120,97 46,8 35,25 5,42 0,8037 418 2 396131,53125 1
2280 31641 5 2897 1378 117,42 46,55 34,83 5,42 0,8572 418 2 396131,53125 1
2281 31614 5 2897 1378 117,42 46,55 34,83 5,42 0,8572 418 2 393165,6875 1
2281 31614 5 2745 1352 115,02 47,36 35,6 5,42 0,8572 418 2 393165,6875 1
2281 31614 5 2745 1352 115,02 47,36 35,6 5,42 0,9059 419 3 383664,28125 1
2280 31596 5 2709 1342 111,46 46,12 35,9 5,42 0,9059 419 3 383664,28125 1
2280 31596 5 2709 1342 111,46 46,12 35,9 5,42 0,9505 419 3 379399,78125 1
2280 31574 5 2868 1373 110,03 45,42 34,97 5,42 0,9505 419 3 379399,78125 1
2280 31574 5 2868 1373 110,03 45,42 34,97 5,42 0,9908 419 3 379399,78125 1
2279 31547 5 2656 1373 110,03 45,42 34,97 5,42 0,9908 419 3 365714,28125 1
2279 31547 5 2656 1337 108,0 45,38 36,09 5,42 1,0276 419 3 365714,28125 1
2280 31522 5 2656 1337 108,0 45,38 36,09 5,42 1,0276 419 3 362606,21875 1
2280 31522 5 2678 1340 106,98 46,51 35,96 5,42 1,0276 419 3 362606,21875 1
2280 31522 5 2678 1340 106,98 46,51 35,96 5,42 1,0603 419 3 361454,28125 1
2280 31502 5 2597 1326 107,6 46,01 36,42 5,42 1,0603 419 3 361454,28125 1
2280 31502 5 2597 1326 107,6 46,01 36,42 5,42 1,0906 419 3 356173,90625 1
2280 31481 5 2464 1303 104,34 45,24 37,2 5,42 1,0906 419 3 356173,90625 1
2280 31481 5 2464 1303 104,34 45,24 37,2 5,42 1,1178 419 3 356173,90625 1
2280 31458 5 2466 1303 104,34 45,24 37,2 5,42 1,1178 419 3 353225,25 1
2280 31458 5 2466 1303 103,0 45,95 37,19 5,42 1,1425 419 3 353225,25 1
2280 31439 5 2466 1303 103,0 45,95 37,19 5,42 1,1425 419 3 348536,40625 1
2280 31439 5 2427 1296 101,41 45,78 37,43 5,42 1,1425 419 3 348536,40625 1
2280 31439 5 2427 1296 101,41 45,78 37,43 5,42 1,1642 420 3 345712,34375 1
2280 31414 5 2407 1293 103,25 46,08 37,56 5,42 1,1642 420 3 345712,34375 1
2280 31414 5 2407 1293 103,25 46,08 37,56 5,42 1,1847 420 3 346062,84375 1
2281 31395 5 2468 1304 100,52 45,58 37,18 5,42 1,1847 420 3 346062,84375 1
2281 31395 5 2468 1304 100,52 45,58 37,18 5,42 1,203 420 3 346062,84375 1
2283 31372 5 2355 1304 100,52 45,58 37,18 5,42 1,203 420 3 343970,4375 1
2283 31372 5 2355 1283 101,31 44,69 37,89 5,42 1,2197 420 3 343970,4375 1
2283 31355 5 2355 1283 101,31 44,69 37,89 5,42 1,2197 420 3 340878,84375 1
2283 31355 5 2482 1272 100,59 45,07 38,29 5,42 1,2197 420 3 340878,84375 1
2283 31355 5 2482 1272 100,59 45,07 38,29 5,42 1,2348 420 3 336842,09375 1
2285 31325 5 2299 1273 98,4 45,0 38,26 5,42 1,2348 420 3 336842,09375 1
2285 31325 5 2299 1273 98,4 45,0 38,26 5,42 1,2485 420 3 334531,1875 1
2286 31305 5 2309 1275 98,87 45,69 38,2 5,42 1,2485 420 3 334531,1875 1
2286 31305 5 2309 1275 98,87 45,69 38,2 5,42 1,2606 420 3 334531,1875 1
2286 31284 5 2393 1275 98,87 45,69 38,2 5,42 1,2606 420 3 334531,1875 1
2286 31284 5 2393 1290 97,05 45,75 37,65 5,42 1,2719 420 3 334531,1875 1
2287 31264 5 2393 1290 97,05 45,75 37,65 5,42 1,2719 420 3 330642,5625 1
2287 31264 5 2526 1289 96,72 44,86 37,67 5,42 1,2719 420 3 330642,5625 1
2287 31264 5 2526 1289 96,72 44,86 37,67 5,42 1,2816 420 3 331284,375 1
2288 31248 5 2264 1267 98,34 45,07 38,5 5,42 1,2816 420 3 331284,375 1
2288 31248 5 2264 1267 98,34 45,07 38,5 5,42 1,2901 420 3 329684,46875 1
2288 31231 5 2318 1277 99,11 46,06 38,13 5,42 1,2901 420 3 329684,46875 1
2288 31231 5 2318 1277 99,11 46,06 38,13 5,42 1,2979 420 3 329684,46875 1
2288 31215 5 2314 1277 99,11 46,06 38,13 5,42 1,2979 420 3 325907,0625 1
2288 31215 5 2314 1276 97,05 45,76 38,16 5,42 1,3053 420 3 325907,0625 1
2289 31194 5 2314 1276 97,05 45,76 38,16 5,42 1,3053 420 3 326530,625 1
2289 31194 5 2328 1296 96,52 44,02 37,44 5,42 1,3053 420 3 326530,625 1
2289 31194 5 2328 1296 96,52 44,02 37,44 5,42 1,312 420 3 323436,5 1
2288 31173 5 2343 1281 95,78 44,03 37,97 5,42 1,312 420 3 323436,5 1
2288 31173 5 2343 1281 95,78 44,03 37,97 5,42 1,3183 420 3 322519,6875 1
2289 31159 5 2277 1269 95,48 44,5 38,4 5,42 1,3183 420 3 322519,6875 1
2289 31159 5 2277 1269 95,48 44,5 38,4 5,42 1,3235 420 3 322519,6875 1
2289 31142 5 2215 1269 95,48 44,5 38,4 5,42 1,3235 420 3 324050,625 1
