Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1079 31754 2 178 665 398,31 477,21 90,05 5,44 0,6394 426 3 494925,09375 1
1079 31754 2 184 654 400,47 473,19 90,97 5,44 0,6394 426 3 494925,09375 1
1079 31754 2 184 654 400,47 473,19 90,97 5,44 0,6318 424 3 488899,5 1
1076 31788 2 177 664 388,32 450,98 90,18 5,44 0,6318 424 3 488899,5 1
1076 31788 2 177 664 388,32 450,98 90,18 5,44 0,6364 422 3 496003,875 1
1072 31864 2 184 673 377,95 405,65 89,39 5,44 0,6364 422 3 496003,875 1
1072 31864 2 184 673 377,95 405,65 89,39 5,44 0,6474 421 3 496003,875 1
1071 32080 2 168 673 377,95 405,65 89,39 5,44 0,6474 421 3 493850,96875 1
1071 32080 2 168 652 380,64 370,48 91,19 5,44 0,6606 419 3 493850,96875 1
1070 32091 2 168 652 380,64 370,48 91,19 5,44 0,6606 419 3 492426,0625 1
1070 32091 2 195 687 368,23 356,82 88,24 5,44 0,6606 419 3 492426,0625 1
1070 32091 2 195 687 368,23 356,82 88,24 5,44 0,6743 418 3 483703,34375 1
1066 32101 2 174 659 367,23 340,3 90,57 5,44 0,6743 418 3 483703,34375 1
1066 32101 2 174 659 367,23 340,3 90,57 5,44 0,6876 417 3 489600,75 1
1066 32107 2 177 664 365,25 332,45 90,15 5,44 0,6876 417 3 489600,75 1
1066 32107 2 177 664 365,25 332,45 90,15 5,44 0,7006 417 3 489600,75 1
1066 32106 2 175 664 365,25 332,45 90,15 5,44 0,7006 417 3 490304,03125 1
1066 32106 2 175 624 363,64 335,84 93,66 5,44 0,7129 416 3 490304,03125 1
1066 32102 2 175 624 363,64 335,84 93,66 5,44 0,7129 416 3 489952,15625 1
1066 32102 2 148 623 360,95 320,19 93,72 5,44 0,7129 416 3 489952,15625 1
1066 32102 2 148 623 360,95 320,19 93,72 5,44 0,7248 416 3 486460,8125 1
1066 32095 2 174 660 350,47 305,58 90,51 5,44 0,7248 416 3 486460,8125 1
