Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1211 32355 3 231 731 461,33 456,51 83,45 5,38 0,0244 402 1 435837,40625 1
1211 32355 3 231 731 461,33 456,51 83,45 5,38 0,0256 402 1 431703,21875 1
1211 32336 3 225 724 467,3 457,13 84,02 5,38 0,0256 402 1 431703,21875 1
1211 32336 3 225 724 467,3 457,13 84,02 5,38 0,0272 402 1 433347,4375 1
1211 32316 3 263 768 454,66 447,33 80,62 5,38 0,0272 402 1 433347,4375 1
1211 32316 3 263 768 454,66 447,33 80,62 5,38 0,0288 403 1 433347,4375 1
1211 32300 3 246 768 454,66 447,33 80,62 5,38 0,0288 403 1 431157,90625 1
1211 32300 3 246 747 467,14 445,67 82,16 5,38 0,0305 403 1 431157,90625 1
1211 32302 3 246 747 467,14 445,67 82,16 5,38 0,0305 403 1 433072,53125 1
1211 32302 3 250 752 453,13 446,58 81,8 5,38 0,0305 403 1 433072,53125 1
1211 32302 3 250 752 453,13 446,58 81,8 5,38 0,0324 403 1 430071,40625 1
1211 32301 3 245 746 457,75 451,14 82,3 5,38 0,0324 403 1 430071,40625 1
1211 32301 3 245 746 457,75 451,14 82,3 5,38 0,0345 403 1 432523,75 1
1211 32307 3 229 733 458,37 442,67 83,28 5,38 0,0345 403 1 432523,75 1
1211 32307 3 229 733 458,37 442,67 83,28 5,38 0,0364 403 1 432523,75 1
1212 32301 3 273 733 458,37 442,67 83,28 5,38 0,0364 403 1 431976,375 1
1212 32301 3 273 777 449,46 434,94 79,94 5,38 0,0382 403 1 431976,375 1
1212 32298 3 273 777 449,46 434,94 79,94 5,38 0,0382 403 1 431157,90625 1
1212 32298 3 259 762 458,21 438,94 81,06 5,38 0,0382 403 1 431157,90625 1
1212 32298 3 259 762 458,21 438,94 81,06 5,38 0,0398 403 1 429530,1875 1
1212 32290 3 278 781 449,16 443,42 79,59 5,38 0,0398 403 1 429530,1875 1
