Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1204 32383 3 221 719 503,08 524,64 84,87 5,38 0,0159 400 1 456226,34375 1
1204 32383 3 231 730 504,1 503,08 83,96 5,38 0,0159 400 1 456226,34375 1
1204 32383 3 231 730 504,1 503,08 83,96 5,38 0,0159 400 1 453800,125 1
1204 32368 3 232 718 504,96 510,28 84,93 5,38 0,0159 400 1 453800,125 1
1204 32368 3 232 718 504,96 510,28 84,93 5,38 0,0163 400 1 454706,9375 1
1204 32354 3 212 708 506,84 499,35 85,77 5,38 0,0163 400 1 454706,9375 1
1204 32354 3 212 708 506,84 499,35 85,77 5,38 0,0168 400 1 454706,9375 1
1205 32347 3 227 708 506,84 499,35 85,77 5,38 0,0168 400 1 452296,8125 1
1205 32347 3 227 725 502,4 501,04 84,36 5,38 0,017 400 1 452296,8125 1
1204 32329 3 227 725 502,4 501,04 84,36 5,38 0,017 400 1 455010,0 1
1204 32329 3 232 731 506,33 498,0 83,9 5,38 0,017 400 1 455010,0 1
1204 32329 3 232 731 506,33 498,0 83,9 5,38 0,0177 400 1 451698,28125 1
1204 32324 3 253 687 501,89 492,3 87,44 5,38 0,0177 400 1 451698,28125 1
1204 32324 3 253 687 501,89 492,3 87,44 5,38 0,0182 400 1 450505,9375 1
1203 32315 3 226 724 500,02 494,3 84,47 5,38 0,0182 400 1 450505,9375 1
1203 32315 3 226 724 500,02 494,3 84,47 5,38 0,0191 400 1 450505,9375 1
1204 32303 2 203 724 500,02 494,3 84,47 5,38 0,0191 400 1 451698,28125 1
1204 32303 2 203 697 494,3 487,0 86,67 5,38 0,0199 400 1 451698,28125 1
1203 32301 2 203 697 494,3 487,0 86,67 5,38 0,0199 400 1 450803,4375 1
1203 32301 2 218 715 512,36 495,81 85,22 5,38 0,0199 400 1 450803,4375 1
1203 32301 2 218 715 512,36 495,81 85,22 5,38 0,0212 400 1 446090,1875 1
1203 32287 3 224 723 506,67 486,01 84,59 5,38 0,0212 400 1 446090,1875 1
1203 32287 3 224 723 506,67 486,01 84,59 5,38 0,0225 400 1 450803,4375 1
1202 32286 3 233 732 500,19 489,31 83,82 5,38 0,0225 400 1 450803,4375 1
1202 32286 3 233 732 500,19 489,31 83,82 5,38 0,0238 400 1 450803,4375 1
1202 32276 3 241 732 500,19 489,31 83,82 5,38 0,0238 400 1 448140,03125 1
1202 32276 3 241 742 494,3 489,31 83,06 5,38 0,0246 400 1 448140,03125 1
1202 32276 3 241 742 494,3 489,31 83,06 5,38 0,0246 400 1 448729,1875 1
1202 32276 3 259 762 499,86 480,77 81,52 5,38 0,0246 400 1 448729,1875 1
1202 32276 3 259 762 499,86 480,77 81,52 5,38 0,0251 401 1 449024,34375 1
1201 32267 3 254 756 486,67 486,67 81,94 5,38 0,0251 401 1 449024,34375 1
1201 32267 3 254 756 486,67 486,67 81,94 5,38 0,0261 401 1 442332,625 1
1201 32263 2 199 692 485,19 469,84 87,03 5,38 0,0261 401 1 442332,625 1
1201 32263 2 199 692 485,19 469,84 87,03 5,38 0,0276 401 1 442332,625 1
1200 32264 3 231 692 485,19 469,84 87,03 5,38 0,0276 401 1 446381,875 1
1200 32264 3 231 730 499,69 482,08 84,02 5,38 0,0287 401 1 446381,875 1
1200 32258 3 231 730 499,69 482,08 84,02 5,38 0,0287 401 1 447259,21875 1
1200 32258 3 232 698 500,53 475,11 86,56 5,38 0,0287 401 1 447259,21875 1
1200 32258 3 232 698 500,53 475,11 86,56 5,38 0,03 401 1 443770,3125 1
1199 32252 3 215 712 490,97 470,95 85,45 5,38 0,03 401 1 443770,3125 1
1199 32252 3 215 712 490,97 470,95 85,45 5,38 0,0312 401 1 440619,625 1
1197 32247 3 226 724 489,14 475,76 84,47 5,38 0,0312 401 1 440619,625 1
1197 32247 3 226 724 489,14 475,76 84,47 5,38 0,0324 402 1 440619,625 1
1197 32251 3 241 724 489,14 475,76 84,47 5,38 0,0324 402 1 444927,21875 1
1197 32251 3 241 741 479,31 471,91 83,11 5,38 0,0333 402 1 444927,21875 1
1198 32251 3 241 741 479,31 471,91 83,11 5,38 0,0333 402 1 443482,03125 1
1198 32251 2 219 728 488,48 463,83 84,16 5,38 0,0333 402 1 443482,03125 1
1198 32251 2 219 728 488,48 463,83 84,16 5,38 0,0347 402 1 440335,40625 1
1197 32244 3 249 750 486,67 466,19 82,41 5,38 0,0347 402 1 440335,40625 1
1197 32244 3 249 750 486,67 466,19 82,41 5,38 0,0357 402 1 443482,03125 1
