Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1350 30760 5 5788 1968 58,67 22,72 23,66 5,46 1,0862 408 3 334203,65625 1
1350 30778 5 5352 1818 59,71 23,95 25,59 5,46 1,0862 408 3 334203,65625 1
1350 30778 5 5352 1818 59,71 23,95 25,59 5,46 1,1544 410 3 334203,65625 1
1350 30802 5 4535 1818 59,71 23,95 25,59 5,46 1,1544 410 3 328415,65625 1
1350 30802 5 4535 1622 60,57 25,15 28,8 5,46 1,2149 411 3 328415,65625 1
1349 30828 5 4535 1622 60,57 25,15 28,8 5,46 1,2149 411 3 326218,53125 1
1349 30828 5 3661 1501 63,53 26,62 31,33 5,46 1,2149 411 3 326218,53125 1
1349 30828 5 3661 1501 63,53 26,62 31,33 5,46 1,2663 412 3 321305,3125 1
1350 30851 5 3010 1397 65,25 28,13 33,96 5,46 1,2663 412 3 321305,3125 1
1350 30851 5 3010 1397 65,25 28,13 33,96 5,46 1,3104 412 3 321911,34375 1
1350 30874 5 2784 1359 66,5 29,14 35,07 5,46 1,3104 412 3 321911,34375 1
1350 30874 5 2784 1359 66,5 29,14 35,07 5,46 1,348 413 3 321911,34375 1
1349 30893 5 2356 1359 66,5 29,14 35,07 5,46 1,348 413 3 320100,03125 1
1349 30893 5 2356 1271 69,07 30,7 37,99 5,46 1,3799 413 3 320100,03125 1
1349 30908 5 2356 1271 69,07 30,7 37,99 5,46 1,3799 413 3 318308,96875 1
1349 30908 4 2095 1235 70,51 31,5 39,37 5,46 1,3799 413 3 318308,96875 1
1349 30908 4 2095 1235 70,51 31,5 39,37 5,46 1,4068 414 3 318903,78125 1
1348 30921 4 1917 1201 73,11 33,01 40,79 5,46 1,4068 414 3 318903,78125 1
1348 30921 4 1917 1201 73,11 33,01 40,79 5,46 1,4292 414 3 317126,03125 1
1349 30914 4 1734 1164 74,86 33,72 42,45 5,46 1,4292 414 3 317126,03125 1
1349 30914 4 1734 1164 74,86 33,72 42,45 5,46 1,447 414 3 317126,03125 1
1350 30908 4 1678 1164 74,86 33,72 42,45 5,46 1,447 414 3 318308,96875 1
1350 30908 4 1678 1124 76,14 34,64 44,5 5,46 1,4619 414 3 318308,96875 1
1350 30904 4 1678 1124 76,14 34,64 44,5 5,46 1,4619 414 3 318606,09375 1
1350 30904 4 1522 1121 77,49 36,17 44,68 5,46 1,4619 414 3 318606,09375 1
1350 30904 4 1522 1121 77,49 36,17 44,68 5,46 1,4736 414 3 318012,4375 1
1351 30890 4 1420 1099 79,21 35,85 45,9 5,46 1,4736 414 3 318012,4375 1
1351 30890 4 1420 1099 79,21 35,85 45,9 5,46 1,4835 414 3 317420,96875 1
1351 30878 4 1390 1092 80,48 37,0 46,29 5,46 1,4835 414 3 317420,96875 1
1351 30878 4 1390 1092 80,48 37,0 46,29 5,46 1,4913 414 3 317420,96875 1
1351 30869 4 1289 1092 80,48 37,0 46,29 5,46 1,4913 414 3 318012,4375 1
1351 30869 4 1289 1062 81,0 37,93 48,12 5,46 1,4967 414 3 318012,4375 1
1352 30852 4 1289 1062 81,0 37,93 48,12 5,46 1,4967 414 3 317126,03125 1
1352 30852 4 1254 1062 83,96 38,55 48,16 5,46 1,4967 414 3 317126,03125 1
1352 30852 4 1254 1062 83,96 38,55 48,16 5,46 1,5005 414 3 316831,6875 1
1353 30829 4 1275 1066 83,96 38,78 47,86 5,46 1,5005 414 3 316831,6875 1
1353 30829 4 1275 1066 83,96 38,78 47,86 5,46 1,5039 414 3 317716,40625 1
1354 30816 4 1177 1044 85,54 39,62 49,34 5,46 1,5039 414 3 317716,40625 1
1354 30816 4 1177 1044 85,54 39,62 49,34 5,46 1,5059 414 3 317716,40625 1
1354 30797 4 1110 1044 85,54 39,62 49,34 5,46 1,5059 414 3 319202,0 1
1354 30797 4 1110 1041 86,47 40,13 49,57 5,46 1,5069 414 3 319202,0 1
1355 30779 4 1110 1041 86,47 40,13 49,57 5,46 1,5069 414 3 318606,09375 1
1355 30779 4 1051 1014 85,8 41,09 51,48 5,46 1,5069 414 3 318606,09375 1
1355 30779 4 1051 1014 85,8 41,09 51,48 5,46 1,5068 414 3 318903,78125 1
1356 30762 4 1149 1037 88,3 41,36 49,79 5,46 1,5068 414 3 318903,78125 1
1356 30762 4 1149 1037 88,3 41,36 49,79 5,46 1,5063 414 3 318606,09375 1
1356 30742 4 1053 1015 87,62 41,21 51,45 5,46 1,5063 414 3 318606,09375 1
1356 30742 4 1053 1015 87,62 41,21 51,45 5,46 1,5051 414 3 318606,09375 1
1356 30725 4 974 1015 87,62 41,21 51,45 5,46 1,5051 414 3 317126,03125 1
1356 30725 4 974 995 90,36 42,19 52,97 5,46 1,504 414 3 317126,03125 1
1358 30705 4 974 995 90,36 42,19 52,97 5,46 1,504 414 3 318308,96875 1
1358 30705 4 1025 1008 90,63 41,81 51,97 5,46 1,504 414 3 318308,96875 1
1358 30705 4 1025 1008 90,63 41,81 51,97 5,46 1,5021 415 3 317126,03125 1
1360 30691 4 983 998 90,82 42,47 52,79 5,46 1,5021 415 3 317126,03125 1
1360 30691 4 983 998 90,82 42,47 52,79 5,46 1,5011 417 3 317420,96875 1
1363 30672 4 976 996 90,6 42,74 52,92 5,46 1,5011 417 3 317420,96875 1
1363 30672 4 976 996 90,6 42,74 52,92 5,46 1,4994 419 3 317420,96875 1
1370 30659 4 979 996 90,6 42,74 52,92 5,46 1,4994 419 3 317420,96875 1
1370 30659 4 979 997 91,1 44,14 52,86 5,46 1,4979 421 3 317420,96875 1
1377 30644 4 979 997 91,1 44,14 52,86 5,46 1,4979 421 3 317126,03125 1
1377 30644 4 990 999 91,44 43,76 52,65 5,46 1,4979 421 3 317126,03125 1
1377 30644 4 990 999 91,44 43,76 52,65 5,46 1,4961 423 3 316244,59375 1
1382 30627 4 1026 1008 90,94 43,19 51,96 5,46 1,4961 423 3 316244,59375 1
1382 30627 4 1026 1008 90,94 43,19 51,96 5,46 1,494 426 3 316831,6875 1
1387 30616 4 1049 1013 90,91 43,38 51,59 5,46 1,494 426 3 316831,6875 1
1387 30616 4 1049 1013 90,91 43,38 51,59 5,46 1,4917 428 3 316831,6875 1
1389 30600 4 997 1013 90,91 43,38 51,59 5,46 1,4917 428 3 315076,9375 1
1389 30600 4 997 1001 93,44 43,37 52,51 5,46 1,4896 430 3 315076,9375 1
1389 30587 4 997 1001 93,44 43,37 52,51 5,46 1,4896 430 3 315659,6875 1
1389 30587 4 946 989 91,65 43,06 53,53 5,46 1,4896 430 3 315659,6875 1
1389 30587 4 946 989 91,65 43,06 53,53 5,46 1,4874 432 3 314786,34375 1
1392 30568 4 980 997 92,9 43,21 52,84 5,46 1,4874 432 3 314786,34375 1
1392 30568 4 980 997 92,9 43,21 52,84 5,46 1,485 434 3 313341,5 1
1394 30552 4 988 990 92,93 44,78 53,42 5,46 1,485 434 3 313341,5 1
1394 30552 4 988 990 92,93 44,78 53,42 5,46 1,4829 436 3 313341,5 1
1399 30544 4 939 990 92,93 44,78 53,42 5,46 1,4829 436 3 317420,96875 1
1399 30544 4 939 987 94,81 43,75 53,69 5,46 1,4812 437 3 317420,96875 1
1405 30535 4 939 987 94,81 43,75 53,69 5,46 1,4812 437 3 313917,84375 1
1405 30535 4 981 997 93,28 43,22 52,83 5,46 1,4812 437 3 313917,84375 1
1405 30535 4 981 997 93,28 43,22 52,83 5,46 1,479 439 3 313341,5 1
1410 30530 4 930 984 93,95 43,53 53,87 5,46 1,479 439 3 313341,5 1
1410 30530 4 930 984 93,95 43,53 53,87 5,46 1,4768 440 3 313341,5 1
1414 30518 4 936 978 95,39 43,9 54,44 5,46 1,4768 440 3 313341,5 1
1414 30518 4 936 978 95,39 43,9 54,44 5,46 1,4751 442 3 313341,5 1
1417 30508 4 958 978 95,39 43,9 54,44 5,46 1,4751 442 3 313054,125 1
1417 30508 4 958 991 94,49 45,21 53,29 5,46 1,4734 443 3 313054,125 1
1425 30499 4 958 991 94,49 45,21 53,29 5,46 1,4734 443 3 313341,5 1
1425 30499 4 998 1001 94,74 44,71 52,49 5,46 1,4734 443 3 313341,5 1
1425 30499 4 998 1001 94,74 44,71 52,49 5,46 1,4711 444 3 312480,9375 1
