Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
926 32812 2 112 570 535,22 564,82 100,73 5,4 0,019 405 1 474623,40625 1
927 32813 2 112 570 535,22 564,82 100,73 5,4 0,019 405 1 473635,53125 1
927 32813 2 124 589 516,89 550,29 98,94 5,4 0,019 405 1 473635,53125 1
927 32813 2 124 589 516,89 550,29 98,94 5,4 0,0198 405 1 472651,75 1
926 32812 2 102 552 520,22 550,29 102,41 5,4 0,0198 405 1 472651,75 1
926 32812 2 102 552 520,22 550,29 102,41 5,4 0,0211 404 1 472324,71875 1
926 32810 2 112 589 523,22 549,73 98,87 5,4 0,0211 404 1 472324,71875 1
926 32810 2 112 589 523,22 549,73 98,87 5,4 0,0217 404 1 472324,71875 1
926 32814 2 107 589 523,22 549,73 98,87 5,4 0,0217 404 1 472324,71875 1
926 32814 2 107 561 531,97 545,84 101,62 5,4 0,0228 404 1 472324,71875 1
926 32809 2 107 561 531,97 545,84 101,62 5,4 0,0228 404 1 471672,03125 1
926 32809 2 106 559 522,16 545,84 101,79 5,4 0,0228 404 1 471672,03125 1
926 32809 2 106 559 522,16 545,84 101,79 5,4 0,0241 404 1 469079,25 1
926 32809 2 106 559 529,64 541,79 101,79 5,4 0,0241 404 1 469079,25 1
926 32809 2 106 559 529,64 541,79 101,79 5,4 0,0256 404 1 468435,5 1
926 32806 2 127 561 532,87 537,22 101,58 5,4 0,0256 404 1 468435,5 1
926 32806 2 127 561 532,87 537,22 101,58 5,4 0,0269 404 1 468435,5 1
925 32806 2 126 561 532,87 537,22 101,58 5,4 0,0269 404 1 467473,1875 1
925 32806 2 126 592 521,81 547,69 98,67 5,4 0,0282 403 1 467473,1875 1
925 32797 2 126 592 521,81 547,69 98,67 5,4 0,0282 403 1 467473,1875 1
925 32797 2 127 593 528,92 537,4 98,54 5,4 0,0282 403 1 467473,1875 1
925 32797 2 127 593 528,92 537,4 98,54 5,4 0,0299 403 1 467473,1875 1
925 32788 2 109 564 521,81 546,02 101,28 5,4 0,0299 403 1 467473,1875 1
925 32788 2 109 564 521,81 546,02 101,28 5,4 0,0314 403 1 468757,15625 1
926 32781 2 107 581 526,24 530,36 99,64 5,4 0,0314 403 1 468757,15625 1
926 32781 2 107 581 526,24 530,36 99,64 5,4 0,0328 403 1 468757,15625 1
925 32773 2 127 581 526,24 530,36 99,64 5,4 0,0328 403 1 463978,25 1
925 32773 2 127 593 520,4 521,46 98,57 5,4 0,0339 404 1 463978,25 1
926 32773 2 127 593 520,4 521,46 98,57 5,4 0,0339 404 1 465560,34375 1
926 32773 2 114 572 527,31 522,16 100,52 5,4 0,0339 404 1 465560,34375 1
926 32773 2 114 572 527,31 522,16 100,52 5,4 0,035 404 1 461781,28125 1
925 32775 2 143 616 516,89 528,03 96,39 5,4 0,035 404 1 461781,28125 1
925 32775 2 143 616 516,89 528,03 96,39 5,4 0,0363 404 1 468757,15625 1
925 32768 2 131 592 517,94 521,81 98,64 5,4 0,0363 404 1 468757,15625 1
925 32768 2 131 592 517,94 521,81 98,64 5,4 0,0378 404 1 468757,15625 1
925 32761 2 138 592 517,94 521,81 98,64 5,4 0,0378 404 1 463348,40625 1
925 32761 2 138 609 517,41 522,52 97,08 5,4 0,0394 404 1 463348,40625 1
924 32758 2 138 609 517,41 522,52 97,08 5,4 0,0394 404 1 467473,1875 1
924 32758 2 139 610 536,68 524,29 96,92 5,4 0,0394 404 1 467473,1875 1
924 32758 2 139 610 536,68 524,29 96,92 5,4 0,0403 404 1 466514,8125 1
925 32757 2 137 608 521,1 516,36 97,11 5,4 0,0403 404 1 466514,8125 1
925 32757 2 137 608 521,1 516,36 97,11 5,4 0,0418 404 1 462406,875 1
