Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
829 33209 1 51 450 744,72 821,81 110,52 5,46 0,0159 400 1 614277,125 1
829 33209 1 51 460 741,46 815,43 109,47 5,46 0,0159 400 1 614277,125 1
830 33214 1 51 460 741,46 815,43 109,47 5,46 0,0159 400 1 613724,875 1
830 33214 1 56 469 735,95 807,74 108,55 5,46 0,0159 400 1 613724,875 1
830 33214 1 56 469 735,95 807,74 108,55 5,46 0,0159 400 1 612074,125 1
830 33213 1 48 465 737,45 826,55 108,96 5,46 0,0159 400 1 612074,125 1
830 33213 1 48 465 737,45 826,55 108,96 5,46 0,0159 400 1 611525,8125 1
830 33213 1 45 446 737,2 807,2 110,93 5,46 0,0159 400 1 611525,8125 1
830 33213 1 45 446 737,2 807,2 110,93 5,46 0,0159 400 1 611525,8125 1
830 33218 1 50 446 737,2 807,2 110,93 5,46 0,0159 400 1 610978,5 1
830 33218 1 50 457 732,23 815,99 109,73 5,46 0,0159 400 1 610978,5 1
830 33218 1 50 457 732,23 815,99 109,73 5,46 0,0159 400 1 617053,3125 1
830 33218 1 52 461 730,5 811,03 109,33 5,46 0,0159 400 1 617053,3125 1
830 33218 1 52 461 730,5 811,03 109,33 5,46 0,0159 400 1 609886,8125 1
831 33220 1 39 449 739,95 797,42 110,67 5,46 0,0159 400 1 609886,8125 1
831 33220 1 39 449 739,95 797,42 110,67 5,46 0,0159 400 1 610978,5 1
832 33219 1 57 471 725,32 788,83 108,33 5,46 0,0159 400 1 610978,5 1
832 33219 1 57 471 725,32 788,83 108,33 5,46 0,0159 400 1 610978,5 1
832 33221 1 50 471 725,32 788,83 108,33 5,46 0,0159 400 1 608799,0625 1
832 33221 1 50 457 722,87 794,46 109,77 5,46 0,0162 400 1 608799,0625 1
832 33211 1 50 457 722,87 794,46 109,77 5,46 0,0162 400 1 608256,625 1
832 33211 1 43 441 727,04 789,36 111,46 5,46 0,0162 400 1 608256,625 1
832 33211 1 43 441 727,04 789,36 111,46 5,46 0,0161 400 1 614277,125 1
834 33212 1 51 464 727,53 778,75 109,03 5,46 0,0161 400 1 614277,125 1
834 33212 1 51 464 727,53 778,75 109,03 5,46 0,0163 400 1 607174,625 1
835 33212 1 54 465 710,26 781,39 108,96 5,46 0,0163 400 1 607174,625 1
835 33212 1 54 465 710,26 781,39 108,96 5,46 0,0165 400 1 607174,625 1
835 33209 1 60 465 710,26 781,39 108,96 5,46 0,0165 400 1 606635,0625 1
835 33209 1 60 477 715,81 786,17 107,75 5,46 0,0167 400 1 606635,0625 1
836 33216 1 60 477 715,81 786,17 107,75 5,46 0,0167 400 1 609342,4375 1
836 33216 1 53 463 711,7 778,49 109,14 5,46 0,0167 400 1 609342,4375 1
836 33216 1 53 463 711,7 778,49 109,14 5,46 0,0171 400 1 607174,625 1
836 33216 1 61 462 712,67 775,33 109,25 5,46 0,0171 400 1 607174,625 1
836 33216 1 61 462 712,67 775,33 109,25 5,46 0,0176 400 1 608256,625 1
836 33211 1 57 471 714,36 772,19 108,33 5,46 0,0176 400 1 608256,625 1
836 33211 1 57 471 714,36 772,19 108,33 5,46 0,018 400 1 608256,625 1
836 33213 1 55 471 714,36 772,19 108,33 5,46 0,018 400 1 608799,0625 1
836 33213 1 55 468 709,3 759,23 108,66 5,46 0,0186 400 1 608799,0625 1
836 33214 1 55 468 709,3 759,23 108,66 5,46 0,0186 400 1 608256,625 1
836 33214 1 62 481 710,5 773,23 107,35 5,46 0,0186 400 1 608256,625 1
836 33214 1 62 481 710,5 773,23 107,35 5,46 0,019 400 1 608256,625 1
837 33209 1 62 481 704,28 770,62 107,27 5,46 0,019 400 1 608256,625 1
837 33209 1 62 481 704,28 770,62 107,27 5,46 0,0196 400 1 606096,5 1
837 33212 2 68 491 703,32 753,09 106,23 5,46 0,0196 400 1 606096,5 1
837 33212 2 68 491 703,32 753,09 106,23 5,46 0,0201 400 1 606096,5 1
837 33210 1 55 491 703,32 753,09 106,23 5,46 0,0201 400 1 604486,4375 1
837 33210 1 55 467 691,99 754,11 108,81 5,46 0,0207 400 1 604486,4375 1
838 33212 1 55 467 691,99 754,11 108,81 5,46 0,0207 400 1 607715,125 1
838 33212 1 56 469 712,67 753,09 108,26 5,46 0,0207 400 1 607715,125 1
838 33212 1 56 469 712,67 753,09 108,26 5,46 0,0215 400 1 606096,5 1
838 33216 1 56 469 709,06 759,23 108,55 5,46 0,0215 400 1 606096,5 1
838 33216 1 56 469 709,06 759,23 108,55 5,46 0,0218 400 1 605558,8125 1
837 33217 2 66 489 689,18 756,15 106,48 5,46 0,0218 400 1 605558,8125 1
837 33217 2 66 489 689,18 756,15 106,48 5,46 0,0223 401 1 605558,8125 1
838 33220 1 58 489 689,18 756,15 106,48 5,46 0,0223 401 1 605558,8125 1
838 33220 1 58 474 702,61 751,05 108,04 5,46 0,023 401 1 605558,8125 1
839 33216 1 58 474 702,61 751,05 108,04 5,46 0,023 401 1 603951,625 1
839 33216 1 48 487 702,37 738,95 106,69 5,46 0,023 401 1 603951,625 1
839 33216 1 48 487 702,37 738,95 106,69 5,46 0,0236 401 1 600762,6875 1
839 33212 1 57 470 695,51 744,47 108,44 5,46 0,0236 401 1 600762,6875 1
839 33212 1 57 470 695,51 744,47 108,44 5,46 0,0242 401 1 601291,8125 1
839 33208 1 43 442 697,4 753,09 111,42 5,46 0,0242 401 1 601291,8125 1
839 33208 1 43 442 697,4 753,09 111,42 5,46 0,0249 401 1 601291,8125 1
839 33213 1 55 442 697,4 753,09 111,42 5,46 0,0249 401 1 605558,8125 1
839 33213 1 55 467 689,18 742,71 108,74 5,46 0,0255 401 1 605558,8125 1
840 33212 1 55 467 689,18 742,71 108,74 5,46 0,0255 401 1 599707,1875 1
840 33212 1 51 472 683,84 738,45 108,22 5,46 0,0255 401 1 599707,1875 1
840 33212 1 51 472 683,84 738,45 108,22 5,46 0,0262 401 1 600234,4375 1
840 33212 2 71 499 698,11 725,08 105,51 5,46 0,0262 401 1 600234,4375 1
840 33212 2 71 499 698,11 725,08 105,51 5,46 0,0267 401 1 601821,9375 1
841 33211 2 66 488 684,54 741,71 106,55 5,46 0,0267 401 1 601821,9375 1
841 33211 2 66 488 684,54 741,71 106,55 5,46 0,0273 401 1 601821,9375 1
841 33213 1 58 488 684,54 741,71 106,55 5,46 0,0273 401 1 599707,1875 1
841 33213 1 58 472 683,15 725,32 108,22 5,46 0,0278 401 1 599707,1875 1
842 33215 1 58 472 683,15 725,32 108,22 5,46 0,0278 401 1 598130,8125 1
842 33215 2 65 463 693,16 725,57 109,25 5,46 0,0278 401 1 598130,8125 1
842 33215 2 65 463 693,16 725,57 109,25 5,46 0,0283 402 1 602884,875 1
841 33214 1 43 442 690,59 728,52 111,42 5,46 0,0283 402 1 602884,875 1
841 33214 1 43 442 690,59 728,52 111,42 5,46 0,029 402 1 598655,375 1
841 33216 1 58 472 685,69 741,2 108,26 5,46 0,029 402 1 598655,375 1
841 33216 1 58 472 685,69 741,2 108,26 5,46 0,0295 402 1 598655,375 1
841 33218 1 58 472 685,69 741,2 108,26 5,46 0,0295 402 1 600234,4375 1
841 33218 1 58 472 688,25 724,34 108,26 5,46 0,0299 402 1 600234,4375 1
841 33220 1 58 472 688,25 724,34 108,26 5,46 0,0299 402 1 598655,375 1
841 33220 1 61 466 677,39 733,72 108,92 5,46 0,0299 402 1 598655,375 1
841 33220 1 61 466 677,39 733,72 108,92 5,46 0,0304 402 1 601291,8125 1
842 33219 1 42 440 674,87 744,22 111,64 5,46 0,0304 402 1 601291,8125 1
842 33219 1 42 440 674,87 744,22 111,64 5,46 0,0308 402 1 602352,9375 1
842 33220 1 48 454 686,86 724,59 110,22 5,46 0,0308 402 1 602352,9375 1
842 33220 1 48 454 686,86 724,59 110,22 5,46 0,0314 402 1 602352,9375 1
842 33221 1 58 454 686,86 724,59 110,22 5,46 0,0314 402 1 600234,4375 1
842 33221 1 58 473 681,76 717,75 108,15 5,46 0,0321 403 1 600234,4375 1
843 33220 1 58 473 681,76 717,75 108,15 5,46 0,0321 403 1 600762,6875 1
843 33220 1 44 451 691,29 734,71 110,52 5,46 0,0321 403 1 600762,6875 1
843 33220 1 44 451 691,29 734,71 110,52 5,46 0,0325 403 1 600234,4375 1
843 33222 1 64 484 681,07 731,24 107,06 5,46 0,0325 403 1 600234,4375 1
843 33222 1 64 484 681,07 731,24 107,06 5,46 0,0329 403 1 595521,9375 1
844 33220 1 64 484 669,41 727,29 107,06 5,46 0,0329 403 1 595521,9375 1
844 33220 1 64 484 669,41 727,29 107,06 5,46 0,0332 403 1 595521,9375 1
845 33218 1 49 484 669,41 727,29 107,06 5,46 0,0332 403 1 600234,4375 1
