Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
953 22477 5 17637 8411 48,03 7,53 7,01 5,37 2,1271 412 3 50186,238281 1
953 22477 5 17637 7392 47,45 8,14 7,74 5,37 2,1864 413 3 50186,238281 1
948 22525 5 17637 7392 47,45 8,14 7,74 5,37 2,1864 413 3 50874,402344 1
948 22525 5 18053 7620 47,45 7,91 7,56 5,37 2,1864 413 3 50874,402344 1
948 22525 5 18053 7620 47,45 7,91 7,56 5,37 2,2412 413 3 50127,277344 1
948 22539 5 17980 7794 45,78 7,88 7,43 5,37 2,2412 413 3 50127,277344 1
948 22539 5 17980 7794 45,78 7,88 7,43 5,37 2,2977 414 3 48012,003906 1
945 22499 5 20102 8773 44,86 7,21 6,79 5,37 2,2977 414 3 48012,003906 1
945 22499 5 20102 8773 44,86 7,21 6,79 5,37 2,3481 414 3 48012,003906 1
944 22530 5 16674 8773 44,86 7,21 6,79 5,37 2,3481 414 3 50127,277344 1
944 22530 5 16674 6873 45,47 8,42 8,18 5,37 2,3837 414 3 50127,277344 1
940 22583 5 16674 6873 45,47 8,42 8,18 5,37 2,3837 414 3 51550,542969 1
940 22583 5 17672 7411 45,83 8,16 7,72 5,37 2,3837 414 3 51550,542969 1
940 22583 5 17672 7411 45,83 8,16 7,72 5,37 2,4171 415 3 52085,453125 1
938 22628 5 17363 7243 45,27 8,37 7,86 5,37 2,4171 415 3 52085,453125 1
938 22628 5 17363 7243 45,27 8,37 7,86 5,37 2,4443 415 3 52991,097656 1
936 22681 5 16797 6939 45,9 8,98 8,12 5,37 2,4443 415 3 52991,097656 1
936 22681 5 16797 6939 45,9 8,98 8,12 5,37 2,461 415 3 52991,097656 1
932 22760 5 16217 6939 45,9 8,98 8,12 5,37 2,461 415 3 55399,265625 1
932 22760 5 16217 6630 47,24 9,25 8,41 5,37 2,4771 415 3 55399,265625 1
932 22797 5 16217 6630 47,24 9,25 8,41 5,37 2,4771 415 3 55255,773437 1
932 22797 5 17037 7067 46,66 9,0 8,01 5,37 2,4771 415 3 55255,773437 1
932 22797 5 17037 7067 46,66 9,0 8,01 5,37 2,4933 415 4 54306,320312 1
925 22811 5 16893 6990 46,61 8,84 8,08 5,37 2,4933 415 4 54306,320312 1
925 22811 5 16893 6990 46,61 8,84 8,08 5,37 2,5069 415 4 54306,320312 1
924 22819 5 17303 7211 46,26 8,74 7,88 5,37 2,5069 415 4 54306,320312 1
924 22819 5 17303 7211 46,26 8,74 7,88 5,37 2,5214 415 4 54306,320312 1
924 22810 5 17157 7211 46,26 8,74 7,88 5,37 2,5214 415 4 53657,515625 1
924 22810 5 17157 7132 46,56 8,72 7,95 5,37 2,5332 415 4 53657,515625 1
922 22826 5 17157 7132 46,56 8,72 7,95 5,37 2,5332 415 4 54619,160156 1
922 22826 5 16654 6862 47,5 9,05 8,37 5,37 2,5332 415 4 54619,160156 1
922 22826 5 16654 6862 47,5 9,05 8,37 5,37 2,5409 415 4 55255,773437 1
921 22851 5 16380 6717 46,5 9,1 8,33 5,37 2,5409 415 4 55255,773437 1
921 22851 5 16380 6717 46,5 9,1 8,33 5,37 2,5508 415 4 53894,738281 1
918 22836 5 17122 7113 46,25 8,75 7,97 5,37 2,5508 415 4 53894,738281 1
918 22836 5 17122 7113 46,25 8,75 7,97 5,37 2,5586 415 4 53894,738281 1
