Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1116 30755 3 293 797 300,55 323,13 78,84 5,39 0,1809 421 2 422093,96875 1
1116 30755 3 314 806 294,61 308,8 77,31 5,39 0,1809 421 2 422093,96875 1
1116 30755 3 314 806 294,61 308,8 77,31 5,39 0,1971 423 2 415922,0 1
1116 30709 3 323 801 287,91 299,64 78,25 5,39 0,1971 423 2 415922,0 1
1116 30709 3 323 801 287,91 299,64 78,25 5,39 0,2144 424 2 414658,84375 1
1116 30654 3 311 805 287,23 299,23 77,51 5,39 0,2144 424 2 414658,84375 1
1116 30654 3 311 805 287,23 299,23 77,51 5,39 0,2324 426 2 414658,84375 1
1116 30588 3 321 805 287,23 299,23 77,51 5,39 0,2324 426 2 414407,125 1
1116 30588 3 321 808 280,22 284,9 76,81 5,39 0,2518 429 2 414407,125 1
1115 30520 3 321 808 280,22 284,9 76,81 5,39 0,2518 429 2 412653,625 1
1115 30520 3 306 803 280,12 287,23 77,91 5,39 0,2518 429 2 412653,625 1
1115 30520 3 306 803 280,12 287,23 77,91 5,39 0,2728 431 2 412903,21875 1
1115 30462 3 323 798 273,38 282,12 78,76 5,39 0,2728 431 2 412903,21875 1
1115 30462 3 323 798 273,38 282,12 78,76 5,39 0,2904 434 2 407968,125 1
1115 30410 3 309 804 268,7 284,81 77,65 5,39 0,2904 434 2 407968,125 1
1115 30410 3 309 804 268,7 284,81 77,65 5,39 0,3092 436 2 407968,125 1
1115 30363 3 331 804 268,7 284,81 77,65 5,39 0,3092 436 2 407724,46875 1
1115 30363 3 331 812 265,99 285,1 76,16 5,39 0,3283 439 2 407724,46875 1
1115 30319 3 331 812 265,99 285,1 76,16 5,39 0,3283 439 2 405303,78125 1
1115 30319 3 300 801 269,07 282,31 78,31 5,39 0,3283 439 2 405303,78125 1
1115 30319 3 300 801 269,07 282,31 78,31 5,39 0,3454 443 2 404104,1875 1
1115 30282 3 359 810 265,36 282,03 76,47 5,39 0,3454 443 2 404104,1875 1
1115 30282 3 359 810 265,36 282,03 76,47 5,39 0,3616 446 2 400782,78125 1
1114 30252 3 300 801 260,55 277,11 78,31 5,39 0,3616 446 2 400782,78125 1
1114 30252 3 300 801 260,55 277,11 78,31 5,39 0,377 449 2 400782,78125 1
1115 30228 3 316 801 260,55 277,11 78,31 5,39 0,377 449 2 400782,78125 1
1115 30228 3 316 806 260,11 279,93 77,2 5,39 0,3923 453 2 400782,78125 1
1114 30206 3 316 806 260,11 279,93 77,2 5,39 0,3923 453 2 399843,8125 1
1114 30206 3 337 814 263,12 277,76 75,75 5,39 0,3923 453 2 399843,8125 1
1114 30206 3 337 814 263,12 277,76 75,75 5,39 0,4067 456 2 396591,78125 1
1114 30185 3 302 803 254,54 278,52 77,91 5,39 0,4067 456 2 396591,78125 1
1114 30185 3 302 803 254,54 278,52 77,91 5,39 0,4225 460 2 396361,53125 1
1115 30170 3 351 819 255,23 269,98 74,88 5,39 0,4225 460 2 396361,53125 1
1115 30170 3 351 819 255,23 269,98 74,88 5,39 0,4379 464 2 396361,53125 1
1115 30155 3 299 819 255,23 269,98 74,88 5,39 0,4379 464 2 393165,6875 1
1115 30155 3 299 801 258,18 273,84 78,36 5,39 0,4519 468 2 393165,6875 1
1115 30139 3 299 801 258,18 273,84 78,36 5,39 0,4519 468 2 390467,125 1
1115 30139 3 316 807 247,99 271,9 77,2 5,39 0,4519 468 2 390467,125 1
1115 30139 3 316 807 247,99 271,9 77,2 5,39 0,4665 472 2 388688,5625 1
1113 30125 3 359 822 250,44 274,49 74,18 5,39 0,4665 472 2 388688,5625 1
1113 30125 3 359 822 250,44 274,49 74,18 5,39 0,4802 476 2 387805,34375 1
1113 30107 3 348 817 250,18 272,27 75,11 5,39 0,4802 476 2 387805,34375 1
1113 30107 3 348 817 250,18 272,27 75,11 5,39 0,494 480 2 387805,34375 1
