Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
35,92 346 817 177,63 244,24 49,91 25,14 4,75 0,4887 416  2 34707,160156 1
36,19 332 812 179,99 242,02 50,5 25,14 4,75 0,5169 417  2 34427,113281 1
36,44 331 814 183,43 243,58 50,23 25,14 4,75 0,5433 418  2 33907,285156 1
36,54 328 811 179,44 237,15 50,71 25,14 4,75 0,5675 418  2 33799,839844 1
36,64 352 819 170,96 238,28 49,69 25,14 4,75 0,59 418  2 33719,703125 1
36,76 325 810 176,85 230,98 50,84 25,14 4,75 0,6105 419  2 33481,558594 1
36,91 329 812 179,44 232,15 50,59 25,14 4,75 0,6292 419  2 33429,09375 1
36,95 341 815 170,5 232,78 50,18 25,14 4,75 0,6466 419  2 33376,792969 1
37,01 335 813 172,06 230,27 50,47 25,14 4,75 0,6774 419  2 33015,21875 1
37,04 309 804 173,82 230,59 51,62 25,14 4,75 0,6905 419  2 33066,390625 1
37,02 325 810 173,0 227,02 50,91 25,14 4,75 0,7027 419  2 32736,572266 1
37,02 315 805 174,23 231,29 51,48 25,14 4,75 0,7141 419  3 32586,558594 1
37,06 296 800 172,35 227,48 52,27 25,14 4,75 0,7242 419  3 32636,410156 1
29,49 66 488 217,84 334,25 70,05 25,14 4,75 0,0287 400  1 38220,363281 1
29,57 102 553 212,24 328,31 65,87 25,14 4,75 0,0364 400  1 38083,902344 1
30,18 188 678 204,0 308,8 58,47 25,14 4,75 0,0634 400  1 37680,304687 1
31,16 257 779 193,31 290,55 53,18 25,14 4,75 0,1059 400  1 37090,699219 1
31,16 306 803 187,19 278,99 51,68 25,14 4,75 0,1556 401  1 36394,65625 1
32,12 345 817 188,72 269,7 49,92 25,14 4,75 0,2048 402  2 35844,300781 1
33,7 356 820 183,49 268,07 49,49 25,14 4,75 0,2526 404  2 35664,53125 1
34,19 341 821 185,68 252,22 49,37 25,14 4,75 0,2977 407  2 35339,589844 1
34,75 375 827 184,55 248,58 48,75 25,14 4,75 0,3401 410  2 35222,894531 1
35,08 364 823 178,47 249,17 49,22 25,14 4,75 0,3797 412  2 34905,917969 1
35,46 354 819 181,45 244,16 49,64 25,14 4,75 0,4503 415  2 34792,0625 1
35,71 391 832 181,33 241,28 48,16 25,14 4,75 0,4812 416  2 34482,757812 1
36,05 368 825 177,93 240,47 48,99 25,14 4,75 0,5099 417  2 34096,964844 1
36,23 362 822 178,77 236,27 49,34 25,14 4,75 0,5368 417  2 33826,636719 1
36,49 363 822 180,66 237,32 49,3 25,14 4,75 0,5613 418  2 33666,492187 1
36,66 358 821 174,59 231,29 49,52 25,14 4,75 0,5839 418  2 33534,1875 1
36,72 373 820 175,89 231,45 49,59 25,14 4,75 0,6047 418  2 33481,558594 1
36,81 345 816 175,47 230,74 50,08 25,14 4,75 0,6234 419  2 33402,921875 1
36,81 332 812 175,89 232,39 50,62 25,14 4,75 0,657 419  2 33220,867187 1
36,83 338 814 172,65 231,99 50,36 25,14 4,75 0,6718 419  2 33117,722656 1
36,91 354 820 177,14 227,56 49,7 25,14 4,75 0,6851 419  2 32786,886719 1
36,96 321 808 175,24 228,57 51,14 25,14 4,75 0,6973 419  2 32611,464844 1
36,96 332 819 172,0 229,26 49,82 25,14 4,75 0,7087 419  3 32364,095703 1
37,01 321 809 165,89 225,42 51,05 25,14 4,75 0,7194 419  3 32437,912109 1
29,37 68 492 215,06 337,32 69,94 25,14 4,75 0,0228 400  1 38323,351562 1
29,43 63 538 206,78 330,88 66,88 25,14 4,75 0,0297 400  1 38323,351562 1
29,72 198 690 202,41 303,72 57,88 25,14 4,75 0,0528 400  1 37813,886719 1
30,73 261 764 191,03 299,03 54,02 25,14 4,75 0,0935 400  1 36898,242187 1
31,77 317 807 192,07 279,65 51,26 25,14 4,75 0,1398 401  1 36644,71875 1
33,39 347 817 184,05 272,64 49,96 25,14 4,75 0,1879 402  2 36086,832031 1
33,39 367 829 183,99 259,67 48,51 25,14 4,75 0,2349 404  2 35754,191406 1
34,0 360 821 177,69 256,79 49,44 25,14 4,75 0,2794 406  2 35634,742187 1
34,56 377 827 176,91 254,28 48,77 25,14 4,75 0,3215 409  2 35427,621094 1
34,97 367 824 181,39 249,51 49,17 25,14 4,75 0,3985 413  2 34934,496094 1
35,32 375 826 175,12 244,57 48,85 25,14 4,75 0,4326 414  2 34820,457031 1
35,66 379 832 172,24 241,37 48,26 25,14 4,75 0,4646 415  2 34510,648437 1
35,93 351 818 180,66 245,32 49,84 25,14 4,75 0,4938 416  2 34316,355469 1
36,28 362 822 179,2 240,39 49,4 25,14 4,75 0,5208 417  2 34124,234375 1
36,41 348 816 177,32 240,39 50,11 25,14 4,75 0,546 417  2 33961,261719 1
36,58 345 818 177,57 236,51 49,94 25,14 4,75 0,5692 417  2 33746,375 1
36,66 352 819 175,12 233,1 49,84 25,14 4,75 0,5908 417  2 33586,984375 1
36,72 338 814 173,35 234,28 50,43 25,14 4,75 0,6284 418  2 33195,019531 1
36,84 341 815 173,53 231,13 50,3 25,14 4,75 0,6448 418  2 33376,792969 1
36,85 312 805 175,77 231,76 51,59 25,14 4,75 0,6598 418  2 33143,449219 1
36,95 330 813 176,91 228,87 50,59 25,14 4,75 0,6735 418  2 32837,351562 1
36,92 322 808 173,29 227,56 51,17 25,14 4,75 0,6863 418  2 32736,572266 1
36,89 350 818 175,83 231,92 49,96 25,14 4,75 0,6979 418  2 32561,689453 1
36,96 304 802 172,18 227,72 52,03 25,14 4,75 0,7088 418  3 32462,591797 1
29,39 52 462 220,29 347,52 70,53 25,14 4,75 0,0195 400  1 38635,675781 1
29,27 65 522 210,59 344,01 68,04 25,14 4,75 0,0248 400  1 38776,128906 1
29,42 186 675 200,98 311,85 58,79 25,14 4,75 0,046 400  1 37780,402344 1
30,37 254 756 194,42 297,42 54,48 25,14 4,75 0,0849 400  1 37285,171875 1
32,42 304 802 185,74 285,58 51,92 25,14 4,75 0,1325 401  1 36866,359375 1
33,14 335 813 190,32 276,64 50,5 25,14 4,75 0,1818 402  1 36456,851562 1
33,89 373 826 185,05 264,01 48,95 25,14 4,75 0,2295 404  2 36209,335937 1
34,34 361 822 186,62 260,38 49,44 25,14 4,75 0,2755 406  2 35724,253906 1
34,86 382 829 181,21 252,73 48,62 25,14 4,75 0,3579 412  2 35694,367187 1
35,29 396 833 181,7 253,76 48,1 25,14 4,75 0,395 413  2 35251,996094 1
35,29 395 819 181,64 247,91 49,79 25,14 4,75 0,4293 415  2 35020,519531 1
35,59 367 824 182,81 243,33 49,24 25,14 4,75 0,4609 415  2 34848,898437 1
36,05 358 821 177,08 245,4 49,6 25,14 4,75 0,4901 416  2 34650,785156 1
36,29 391 832 176,97 242,35 48,33 25,14 4,75 0,5173 417  2 34427,113281 1
36,49 344 822 176,49 242,02 49,54 25,14 4,75 0,5425 417  2 34069,738281 1
36,59 363 822 176,07 238,93 49,44 25,14 4,75 0,5654 417  2 33853,476562 1
36,71 322 809 179,13 239,49 51,17 25,14 4,75 0,5866 418  2 33799,839844 1
36,77 366 824 175,18 235,48 49,3 25,14 4,75 0,6238 418  2 33639,949219 1
36,85 346 817 176,55 232,31 50,14 25,14 4,75 0,6402 418  2 33586,984375 1
36,91 338 817 170,04 234,12 50,16 25,14 4,75 0,6553 418  2 33324,65625 1
36,93 353 819 174,59 231,99 49,87 25,14 4,75 0,6688 418  2 33220,867187 1
37,06 363 823 172,94 229,65 49,45 25,14 4,75 0,6813 418  2 33040,785156 1
37,0 333 813 171,42 229,73 50,71 25,14 4,75 0,6929 418  2 32887,976562 1
36,97 341 808 171,54 224,81 51,29 25,14 4,75 0,7038 418  2 32761,708984 1
29,32 66 488 217,77 355,61 70,39 25,14 4,76 0,0184 400  1 39131,765625 1
29,29 71 498 211,73 355,49 69,77 25,14 4,76 0,0238 400  1 38846,738281 1
29,36 174 660 198,41 320,52 59,73 25,14 4,76 0,0468 400  1 38220,363281 1
31,17 264 767 193,18 306,62 54,0 25,14 4,76 0,0894 400  1 37881,03125 1
32,18 298 813 193,05 293,02 50,66 25,14 4,76 0,1386 401  1 37252,621094 1
33,03 362 822 186,94 273,19 49,45 25,14 4,76 0,1885 402  1 36962,171875 1
33,68 381 828 184,55 268,61 48,72 25,14 4,76 0,237 404  2 36581,878906 1
34,29 356 820 187,45 262,32 49,74 25,14 4,76 0,2829 407  2 36332,671875 1
34,73 381 825 180,53 254,8 49,12 25,14 4,76 0,366 412  2 36025,894531 1
35,16 358 821 179,8 254,54 49,65 25,14 4,76 0,4027 414  2 35814,214844 1
35,49 396 833 177,08 251,63 48,2 25,14 4,76 0,4372 416  2 35310,34375 1
35,86 377 827 179,68 247,4 48,92 25,14 4,76 0,4686 417  2 35164,835937 1
36,26 340 815 177,93 250,1 50,42 25,14 4,76 0,4976 417  2 34934,496094 1
36,26 378 827 179,2 241,04 48,89 25,14 4,76 0,5242 418  2 34991,796875 1
36,44 369 824 172,53 245,4 49,25 25,14 4,76 0,5487 418  2 34707,160156 1
36,63 368 824 176,73 240,39 49,27 25,14 4,76 0,5709 419  2 34510,648437 1
36,66 356 820 171,83 235,71 49,75 25,14 4,76 0,6109 419  2 34510,648437 1
36,8 349 818 176,07 235,87 50,06 25,14 4,76 0,6285 419  2 34288,777344 1
36,88 339 821 176,13 240,96 49,72 25,14 4,76 0,6439 419  2 33799,839844 1
36,95 363 823 176,19 234,68 49,5 25,14 4,76 0,6584 419  2 33799,839844 1
37,05 366 823 167,13 234,84 49,4 25,14 4,76 0,6716 419  2 33666,492187 1
37,02 328 815 170,67 231,13 50,47 25,14 4,76 0,684 419  2 33560,566406 1
37,02 336 814 172,06 230,82 50,64 25,14 4,76 0,6957 419  2 33324,65625 1
36,97 350 818 174,76 234,2 50,08 25,14 4,76 0,7061 419  2 33246,753906 1
29,24 65 487 218,28 361,07 70,58 25,14 4,76 0,0185 400  1 39603,960937 1
29,27 61 479 217,1 358,15 71,11 25,14 4,76 0,0231 400  1 39131,765625 1
29,27 165 648 200,1 333,58 60,5 25,14 4,76 0,0445 400  1 38740,921875 1
30,91 256 760 200,78 309,54 54,4 25,14 4,76 0,0871 400  1 38288,960937 1
31,84 333 813 189,68 280,98 50,71 25,14 4,76 0,1371 401  1 37780,402344 1
32,73 352 819 182,93 276,26 49,92 25,14 4,76 0,1882 402  1 37481,699219 1
33,51 381 829 184,61 272,83 48,75 25,14 4,76 0,2359 404  2 36994,21875 1
34,18 366 824 182,56 264,28 49,29 25,14 4,76 0,324 410  2 36676,21875 1
34,7 396 833 183,0 264,28 48,23 25,14 4,76 0,3634 412  2 36644,71875 1
35,11 405 836 178,05 256,27 47,87 25,14 4,76 0,4002 414  2 36086,832031 1
35,51 363 822 184,86 254,88 49,5 25,14 4,76 0,4341 415  2 35784,175781 1
36,05 382 829 180,53 257,48 48,74 25,14 4,76 0,4655 416  2 35457,0625 1
36,32 383 820 180,05 249,17 49,82 25,14 4,76 0,4947 417  2 35310,34375 1
36,48 368 824 174,64 248,16 49,32 25,14 4,76 0,5217 418  2 35222,894531 1
36,59 353 819 181,64 241,04 49,94 25,14 4,76 0,5464 418  2 35049,289062 1
36,68 372 826 179,26 245,24 49,15 25,14 4,76 0,5905 419  2 34792,0625 1
36,85 367 824 179,07 242,92 49,3 25,14 4,76 0,6096 419  2 34707,160156 1
36,85 330 811 177,75 240,39 50,93 25,14 4,76 0,6271 419  2 34594,59375 1
36,87 361 822 181,15 237,8 49,62 25,14 4,76 0,6433 419  2 34261,242187 1
36,96 360 822 175,24 239,57 49,65 25,14 4,76 0,6582 419  2 34069,738281 1
37,05 342 816 170,67 235,71 50,4 25,14 4,76 0,6719 419  2 33853,476562 1
37,0 344 816 172,65 236,83 50,35 25,14 4,76 0,6844 419  2 33773,085937 1
37,09 330 812 173,76 238,52 50,93 25,14 4,76 0,6958 419  2 33853,476562 1
37,11 314 806 175,24 236,19 51,66 25,14 4,76 0,7061 419  2 33639,949219 1
29,29 58 473 218,87 365,5 71,56 25,14 4,77 0,0185 400  1 40163,164062 1
29,34 77 509 218,73 368,48 69,09 25,14 4,77 0,0217 400  1 39751,554687 1
30,53 147 658 206,57 328,31 59,95 25,14 4,77 0,0414 400  1 39095,90625 1
31,64 321 766 193,83 312,69 54,15 25,14 4,77 0,0852 400  1 38531,003906 1
32,59 363 823 188,27 292,62 49,49 25,14 4,77 0,1354 401  1 38254,632812 1
32,59 367 824 187,51 279,18 49,34 25,14 4,77 0,1872 402  1 37948,414062 1
33,4 386 825 188,27 275,89 49,25 25,14 4,77 0,2819 407  2 37481,699219 1
34,08 403 836 181,76 268,25 47,97 25,14 4,77 0,3249 410  2 37252,621094 1
34,65 386 830 187,64 265,18 48,59 25,14 4,77 0,3653 412  2 36581,878906 1
35,09 394 833 181,02 263,66 48,29 25,14 4,77 0,4024 414  2 36301,757812 1
35,8 388 831 184,49 260,38 48,52 25,14 4,77 0,4368 415  2 36117,382812 1
36,08 371 824 184,3 252,82 49,37 25,14 4,77 0,4686 416  2 36086,832031 1
36,3 378 828 178,11 252,56 48,92 25,14 4,77 0,4982 417  2 35874,441406 1
36,56 391 832 181,88 245,15 48,43 25,14 4,77 0,5254 418  2 35605,007812 1
36,67 362 822 179,5 248,49 49,59 25,14 4,77 0,5504 418  2 35339,589844 1
36,83 343 817 172,06 247,65 50,19 25,14 4,77 0,594 419  2 35339,589844 1
36,92 369 825 182,13 245,4 49,3 25,14 4,77 0,6132 419  2 35164,835937 1
36,98 371 825 181,82 243,75 49,22 25,14 4,77 0,6302 419  2 34735,414062 1
37,04 366 823 168,49 242,43 49,44 25,14 4,77 0,6464 419  2 34707,160156 1
