Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1474 30083 4 1103 1047 110,67 60,92 48,99 5,4 1,5056 456 3 305489,25 1
1474 30083 4 1103 1047 110,67 60,92 48,99 5,4 1,5127 459 3 304128,3125 1
1474 30082 4 1127 1032 106,59 59,95 49,99 5,4 1,5127 459 3 304128,3125 1
1474 30082 4 1127 1032 106,59 59,95 49,99 5,4 1,5194 462 3 302779,40625 1
1473 30081 4 1117 1030 109,47 61,06 50,16 5,4 1,5194 462 3 302779,40625 1
1473 30081 4 1117 1030 109,47 61,06 50,16 5,4 1,5259 465 3 302779,40625 1
1473 30088 4 1131 1030 109,47 61,06 50,16 5,4 1,5259 465 3 303048,25 1
1473 30088 4 1131 1033 107,35 60,61 49,92 5,4 1,5326 468 3 303048,25 1
1472 30086 4 1131 1033 107,35 60,61 49,92 5,4 1,5326 468 3 303317,53125 1
1472 30086 4 1163 1039 105,58 60,77 49,49 5,4 1,5326 468 3 303317,53125 1
1472 30086 4 1163 1039 105,58 60,77 49,49 5,4 1,5388 471 3 301442,4375 1
1472 30085 4 1172 1043 104,76 59,65 49,25 5,4 1,5388 471 3 301442,4375 1
1472 30085 4 1172 1043 104,76 59,65 49,25 5,4 1,5443 474 3 300645,90625 1
1471 30080 4 1168 1042 104,41 59,45 49,32 5,4 1,5443 474 3 300645,90625 1
1471 30080 4 1168 1042 104,41 59,45 49,32 5,4 1,5491 477 3 300645,90625 1
1471 30080 4 1144 1042 104,41 59,45 49,32 5,4 1,5491 477 3 302243,21875 1
1471 30080 4 1144 1036 105,15 58,06 49,7 5,4 1,5546 479 3 302243,21875 1
1470 30077 4 1144 1036 105,15 58,06 49,7 5,4 1,5546 479 3 302511,09375 1
1470 30077 4 1243 1040 102,41 58,47 49,44 5,4 1,5546 479 3 302511,09375 1
1470 30077 4 1243 1040 102,41 58,47 49,44 5,4 1,5598 482 3 303048,25 1
1471 30078 4 1195 1048 104,16 58,41 48,89 5,4 1,5598 482 3 303048,25 1
1471 30078 4 1195 1048 104,16 58,41 48,89 5,4 1,5642 485 3 300117,21875 1
1471 30076 4 1143 1036 105,58 58,45 49,72 5,4 1,5642 485 3 300117,21875 1
1471 30076 4 1143 1036 105,58 58,45 49,72 5,4 1,5686 487 3 300117,21875 1
1470 30071 4 1221 1036 105,58 58,45 49,72 5,4 1,5686 487 3 299065,40625 1
1470 30071 4 1221 1054 102,21 58,89 47,28 5,4 1,5737 490 3 299065,40625 1
1470 30065 4 1221 1054 102,21 58,89 47,28 5,4 1,5737 490 3 299853,59375 1
1470 30065 4 1150 1038 102,83 57,59 49,6 5,4 1,5737 490 3 299853,59375 1
1470 30065 4 1150 1038 102,83 57,59 49,6 5,4 1,5784 492 3 298542,28125 1
1470 30066 4 1179 1045 102,34 58,51 49,14 5,4 1,5784 492 3 298542,28125 1
1470 30066 4 1179 1045 102,34 58,51 49,14 5,4 1,5827 494 3 298281,375 1
1470 30064 4 1241 1059 100,25 57,88 48,2 5,4 1,5827 494 3 298281,375 1
1470 30064 4 1241 1059 100,25 57,88 48,2 5,4 1,5868 496 3 298281,375 1
1471 30062 4 1198 1059 100,25 57,88 48,2 5,4 1,5868 496 3 298281,375 1
1471 30062 4 1198 1059 100,59 58,12 48,16 5,4 1,5915 499 3 298281,375 1
1470 30061 4 1198 1059 100,59 58,12 48,16 5,4 1,5915 499 3 296983,75 1
1470 30061 4 1171 1043 101,14 57,14 49,27 5,4 1,5915 499 3 296983,75 1
1470 30061 4 1171 1043 101,14 57,14 49,27 5,4 1,5955 501 3 297242,375 1
1471 30061 4 1187 1046 102,41 57,16 49,02 5,4 1,5955 501 3 297242,375 1
1471 30061 4 1187 1046 102,41 57,16 49,02 5,4 1,5989 503 3 298281,375 1
1471 30059 4 1191 1047 99,31 57,84 48,95 5,4 1,5989 503 3 298281,375 1
1471 30059 4 1191 1047 99,31 57,84 48,95 5,4 1,602 505 3 298281,375 1
1472 30060 4 1304 1047 99,31 57,84 48,95 5,4 1,602 505 3 297242,375 1
1472 30060 4 1304 1061 99,68 58,65 48,07 5,4 1,6055 507 3 297242,375 1
1472 30054 4 1304 1061 99,68 58,65 48,07 5,4 1,6055 507 3 296725,59375 1
1472 30054 4 1262 1063 99,98 56,72 47,89 5,4 1,6055 507 3 296725,59375 1
1472 30054 4 1262 1063 99,98 56,72 47,89 5,4 1,6082 509 3 295185,9375 1
1472 30060 4 1264 1064 98,8 55,2 47,86 5,4 1,6082 509 3 295185,9375 1
1472 30060 4 1264 1064 98,8 55,2 47,86 5,4 1,6119 510 3 294930,875 1
1472 30061 4 1241 1059 99,91 56,93 48,2 5,4 1,6119 510 3 294930,875 1
1472 30061 4 1241 1059 99,91 56,93 48,2 5,4 1,6144 512 3 294930,875 1
