Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,0,29.41,26.09,33045,2,78,511,564.05,631.34,102.80,25.14,5.47,0.0656,0.1233, 439, 2,31.91,21.94,95671.33,500733.500000,0
2,0,29.41,26.09,33045,2,78,511,564.05,631.34,102.80,25.14,5.47,0.0653,0.1228, 439, 2,31.89,21.98,95672.15,499634.062500,0
3,965,29.37,26.11,33045,2,83,520,555.53,627.93,101.83,25.14,5.47,0.0653,0.1228, 439, 2,31.89,21.98,95672.15,499634.062500,0
4,965,29.37,26.11,33045,2,83,520,555.53,627.93,101.83,25.14,5.47,0.0646,0.1214, 439, 2,31.88,21.99,95672.69,499634.062500,0
5,966,29.35,26.15,33049,2,95,540,561.77,650.65,99.91,25.14,5.47,0.0646,0.1214, 439, 2,31.88,21.99,95672.69,499634.062500,0
6,966,29.35,26.15,33049,2,95,540,561.77,650.65,99.91,25.14,5.47,0.0641,0.1205, 438, 2,31.88,21.99,95672.69,499634.062500,0
7,966,29.32,26.20,33054,2,95,540,561.77,650.65,99.91,25.14,5.47,0.0641,0.1205, 438, 2,31.88,22.01,95673.26,501101.062500,0
8,966,29.32,26.20,33054,2,97,544,565.01,634.77,101.38,25.14,5.47,0.0641,0.1206, 438, 2,31.88,22.01,95673.26,501101.062500,0
9,966,29.29,26.21,33054,2,97,544,565.01,634.77,101.38,25.14,5.47,0.0641,0.1206, 438, 2,31.87,22.02,95674.13,500733.500000,0
10,966,29.29,26.21,33054,2,93,537,548.98,622.64,100.22,25.14,5.47,0.0641,0.1206, 438, 2,31.87,22.02,95674.13,500733.500000,0
11,966,29.29,26.21,33054,2,93,537,548.98,622.64,100.22,25.14,5.47,0.0641,0.1204, 437, 2,31.86,22.02,95674.98,497449.593750,0
12,965,29.29,26.26,33054,2,88,528,565.01,633.06,101.10,25.14,5.47,0.0641,0.1204, 437, 2,31.86,22.02,95674.98,497449.593750,0
13,965,29.29,26.26,33054,2,88,528,565.01,633.06,101.10,25.14,5.47,0.0640,0.1202, 437, 2,31.86,22.04,95674.77,504433.500000,0
14,965,29.26,26.27,33052,2,76,507,568.84,645.39,103.14,25.14,5.47,0.0640,0.1202, 437, 2,31.86,22.04,95674.77,504433.500000,0
15,965,29.26,26.27,33052,2,76,507,568.84,645.39,103.14,25.14,5.47,0.0638,0.1199, 436, 2,31.86,22.04,95674.77,504433.500000,0
16,965,29.26,26.27,33058,2,92,507,568.84,645.39,103.14,25.14,5.47,0.0638,0.1199, 436, 2,31.85,22.03,95675.97,504433.500000,0
17,965,29.26,26.27,33058,2,92,536,559.49,629.85,100.35,25.14,5.47,0.0638,0.1199, 436, 2,31.85,22.03,95675.97,504433.500000,0
18,964,29.25,26.28,33058,2,92,536,559.49,629.85,100.35,25.14,5.47,0.0638,0.1199, 436, 2,31.85,22.05,95675.98,501101.062500,0
19,964,29.25,26.28,33058,2,85,545,567.31,626.02,99.48,25.14,5.47,0.0638,0.1199, 436, 2,31.85,22.05,95675.98,501101.062500,0
20,964,29.25,26.28,33058,2,85,545,567.31,626.02,99.48,25.14,5.47,0.0638,0.1199, 436, 2,31.84,22.07,95676.60,501469.156250,0
