Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1018,29.79,32.70,31774,2,139,627,344.24,341.57,92.12,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.41,95728.71,457142.843750,0
2,1018,29.79,32.70,31774,2,139,611,338.70,347.05,93.56,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.41,95728.71,457142.843750,0
3,1019,29.78,32.73,31775,2,139,611,338.70,347.05,93.56,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.42,95728.42,455617.343750,0
4,1019,29.78,32.73,31775,2,141,614,337.32,344.01,93.28,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.42,95728.42,455617.343750,0
5,1019,29.78,32.73,31775,2,141,614,337.32,344.01,93.28,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.41,95728.45,455617.343750,0
6,1019,29.77,32.67,31774,2,116,627,339.38,341.80,92.15,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.41,95728.45,455617.343750,0
7,1019,29.77,32.67,31774,2,116,627,339.38,341.80,92.15,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.42,95730.23,455313.468750,0
8,1020,29.76,32.66,31775,2,140,612,340.30,345.29,93.44,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.42,95730.23,455313.468750,0
9,1020,29.76,32.66,31775,2,140,612,340.30,345.29,93.44,25.14,5.33,0.0085,0.0160, 400, 1,32.38,26.42,95730.23,455313.468750,0
10,1021,29.78,32.71,31778,2,141,612,340.30,345.29,93.44,25.14,5.33,0.0085,0.0160, 400, 1,32.39,26.41,95731.14,451997.343750,0
11,1021,29.78,32.71,31778,2,141,614,338.70,344.13,93.28,25.14,5.33,0.0085,0.0159, 400, 1,32.39,26.41,95731.14,451997.343750,0
12,1021,29.79,32.65,31776,2,141,614,338.70,344.13,93.28,25.14,5.33,0.0085,0.0159, 400, 1,32.39,26.40,95731.50,458063.062500,0
13,1021,29.79,32.65,31776,2,138,609,341.00,340.07,93.69,25.14,5.33,0.0085,0.0159, 400, 1,32.39,26.40,95731.50,458063.062500,0
14,1021,29.79,32.65,31776,2,138,609,341.00,340.07,93.69,25.14,5.33,0.0085,0.0159, 400, 1,32.39,26.39,95732.20,455010.000000,0
15,1021,29.79,32.70,31775,2,141,609,339.61,342.62,93.69,25.14,5.33,0.0085,0.0159, 400, 1,32.39,26.39,95732.20,455010.000000,0
16,1021,29.79,32.70,31775,2,141,609,339.61,342.62,93.69,25.14,5.33,0.0085,0.0159, 400, 1,32.39,26.40,95732.99,456531.437500,0
