Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1823,32.13,30.78,32363,3,267,770,418.91,449.16,79.80,25.14,5.35,0.0111,0.0208, 403, 1,34.79,26.22,94773.73,410667.750000,0
2,1823,32.13,30.78,32363,3,267,770,418.91,449.16,79.80,25.14,5.35,0.0111,0.0208, 403, 1,34.78,26.23,94775.10,409681.937500,0
3,1823,32.13,30.78,32370,3,232,732,426.34,441.92,82.75,25.14,5.35,0.0111,0.0208, 403, 1,34.78,26.23,94775.10,409681.937500,0
4,1823,32.13,30.78,32370,3,232,732,426.34,441.92,82.75,25.14,5.35,0.0109,0.0206, 403, 1,34.77,26.23,94775.71,410174.250000,0
5,1824,32.10,30.90,32375,3,268,771,428.51,450.37,79.75,25.14,5.35,0.0109,0.0206, 403, 1,34.77,26.23,94775.71,410174.250000,0
6,1824,32.10,30.90,32375,3,268,771,428.51,450.37,79.75,25.14,5.35,0.0110,0.0207, 403, 1,34.77,26.23,94775.71,410174.250000,0
7,1826,32.12,30.90,32366,3,268,771,428.51,450.37,79.75,25.14,5.35,0.0110,0.0207, 403, 1,34.76,26.23,94777.55,409436.218750,0
8,1826,32.12,30.90,32366,3,238,755,425.48,447.49,80.95,25.14,5.35,0.0110,0.0206, 403, 1,34.76,26.23,94777.55,409436.218750,0
9,1827,32.09,30.88,32365,3,238,755,425.48,447.49,80.95,25.14,5.35,0.0110,0.0206, 403, 1,34.76,26.22,94776.47,408456.312500,0
10,1827,32.09,30.88,32365,3,248,749,420.33,458.37,81.41,25.14,5.35,0.0110,0.0206, 403, 1,34.76,26.22,94776.47,408456.312500,0
11,1827,32.09,30.88,32365,3,248,749,420.33,458.37,81.41,25.14,5.35,0.0109,0.0204, 403, 1,34.75,26.23,94776.36,411906.687500,0
12,1827,32.07,30.93,32369,3,248,749,426.20,444.77,81.41,25.14,5.35,0.0109,0.0204, 403, 1,34.75,26.23,94776.36,411906.687500,0
13,1827,32.07,30.93,32369,3,248,749,426.20,444.77,81.41,25.14,5.35,0.0106,0.0200, 403, 1,34.75,26.22,94775.76,410420.843750,0
14,1827,32.07,30.96,32370,3,228,726,437.01,451.75,83.17,25.14,5.35,0.0106,0.0200, 403, 1,34.75,26.22,94775.76,410420.843750,0
15,1827,32.07,30.96,32370,3,228,726,437.01,451.75,83.17,25.14,5.35,0.0104,0.0196, 402, 1,34.75,26.22,94775.76,410420.843750,0
16,1829,32.05,30.92,32370,3,229,726,437.01,451.75,83.17,25.14,5.35,0.0104,0.0196, 402, 1,34.74,26.23,94775.66,409681.937500,0
17,1829,32.05,30.92,32370,3,229,755,418.48,450.53,80.95,25.14,5.35,0.0105,0.0198, 402, 1,34.74,26.23,94775.66,409681.937500,0
18,1829,32.06,30.94,32368,3,229,755,418.48,450.53,80.95,25.14,5.35,0.0105,0.0198, 402, 1,34.74,26.27,94776.80,410667.750000,0
19,1829,32.06,30.94,32368,3,251,753,421.61,452.97,81.14,25.14,5.35,0.0105,0.0198, 402, 1,34.74,26.27,94776.80,410667.750000,0
20,1829,32.06,30.94,32368,3,251,753,421.61,452.97,81.14,25.14,5.35,0.0105,0.0197, 402, 1,34.73,26.27,94776.34,410174.250000,0
21,1829,32.07,30.93,32369,3,246,747,422.32,446.13,81.58,25.14,5.35,0.0105,0.0197, 402, 1,34.73,26.27,94776.34,410174.250000,0
22,1829,32.07,30.93,32369,3,246,747,422.32,446.13,81.58,25.14,5.35,0.0106,0.0199, 402, 1,34.73,26.28,94776.30,410667.750000,0
23,1829,32.06,30.98,32370,3,241,742,424.90,453.74,81.97,25.14,5.35,0.0106,0.0199, 402, 1,34.73,26.28,94776.30,410667.750000,0
24,1829,32.06,30.98,32370,3,241,742,424.90,453.74,81.97,25.14,5.35,0.0104,0.0195, 402, 1,34.73,26.28,94776.30,410667.750000,0
25,1830,32.06,30.97,32370,3,225,742,424.90,453.74,81.97,25.14,5.35,0.0104,0.0195, 402, 1,34.72,26.27,94776.11,410914.937500,0
26,1830,32.06,30.97,32370,3,225,752,425.77,453.13,81.19,25.14,5.35,0.0104,0.0196, 402, 1,34.72,26.27,94776.11,410914.937500,0
27,1830,32.04,30.99,32370,3,225,752,425.77,453.13,81.19,25.14,5.35,0.0104,0.0196, 402, 1,34.72,26.28,94775.95,411162.406250,0
28,1830,32.04,30.99,32370,3,258,760,423.47,461.33,80.59,25.14,5.35,0.0104,0.0196, 402, 1,34.72,26.28,94775.95,411162.406250,0
29,1830,32.04,30.99,32370,3,258,760,423.47,461.33,80.59,25.14,5.35,0.0105,0.0198, 402, 1,34.71,26.29,94777.24,409927.937500,0
30,1830,32.07,30.98,32370,3,247,748,419.62,454.82,81.47,25.14,5.35,0.0105,0.0198, 402, 1,34.71,26.29,94777.24,409927.937500,0
31,1830,32.07,30.98,32370,3,247,748,419.62,454.82,81.47,25.14,5.35,0.0105,0.0198, 402, 1,34.71,26.26,94778.54,410420.843750,0
32,1830,32.07,30.98,32370,3,250,752,422.90,448.55,81.19,25.14,5.35,0.0105,0.0198, 402, 1,34.71,26.26,94778.54,410420.843750,0
33,1830,32.07,30.98,32370,3,250,752,422.90,448.55,81.19,25.14,5.35,0.0105,0.0197, 402, 1,34.71,26.26,94778.54,410420.843750,0
34,1831,32.06,30.98,32368,3,247,752,422.90,448.55,81.19,25.14,5.35,0.0105,0.0197, 402, 1,34.70,26.26,94778.80,412653.625000,0
35,1831,32.06,30.98,32368,3,247,722,421.18,452.82,83.54,25.14,5.35,0.0103,0.0194, 402, 1,34.70,26.26,94778.80,412653.625000,0
36,1830,32.06,30.95,32360,3,247,722,421.18,452.82,83.54,25.14,5.35,0.0103,0.0194, 402, 1,34.70,26.31,94779.13,409436.218750,0
37,1830,32.06,30.95,32360,3,243,744,429.39,454.82,81.83,25.14,5.35,0.0103,0.0194, 402, 1,34.70,26.31,94779.13,409436.218750,0
38,1830,32.06,30.95,32360,3,243,744,429.39,454.82,81.83,25.14,5.35,0.0103,0.0194, 402, 1,34.69,26.31,94779.83,409927.937500,0
39,1830,32.08,31.02,32363,3,247,749,424.90,462.89,81.44,25.14,5.35,0.0103,0.0194, 402, 1,34.69,26.31,94779.83,409927.937500,0
40,1830,32.08,31.02,32363,3,247,749,424.90,462.89,81.44,25.14,5.35,0.0103,0.0193, 402, 1,34.69,26.29,94779.17,409436.218750,0
41,1830,32.08,30.95,32366,3,247,748,424.33,467.14,81.47,25.14,5.35,0.0103,0.0193, 402, 1,34.69,26.29,94779.17,409436.218750,0
42,1830,32.08,30.95,32366,3,247,748,424.33,467.14,81.47,25.14,5.35,0.0103,0.0193, 402, 1,34.69,26.29,94779.17,409436.218750,0
43,1830,32.08,30.99,32366,3,256,748,424.33,467.14,81.47,25.14,5.35,0.0103,0.0193, 402, 1,34.69,26.31,94778.38,409681.937500,0
44,1830,32.08,30.99,32366,3,256,752,427.65,459.15,81.19,25.14,5.35,0.0103,0.0193, 402, 1,34.69,26.31,94778.38,409681.937500,0
45,1829,32.09,30.97,32366,3,256,752,427.65,459.15,81.19,25.14,5.35,0.0103,0.0193, 402, 1,34.68,26.32,94777.91,411906.687500,0
46,1829,32.09,30.97,32366,3,252,753,434.65,463.99,81.08,25.14,5.35,0.0103,0.0193, 402, 1,34.68,26.32,94777.91,411906.687500,0
47,1829,32.09,30.97,32366,3,252,753,434.65,463.99,81.08,25.14,5.35,0.0105,0.0197, 402, 1,34.68,26.32,94778.61,410174.250000,0
48,1829,32.09,30.93,32365,2,218,715,418.20,455.74,84.10,25.14,5.35,0.0105,0.0197, 402, 1,34.68,26.32,94778.61,410174.250000,0
49,1829,32.09,30.93,32365,2,218,715,418.20,455.74,84.10,25.14,5.35,0.0105,0.0197, 402, 1,34.68,26.33,94778.84,410914.937500,0
50,1829,32.08,30.98,32364,3,241,741,432.74,464.30,82.24,25.14,5.35,0.0105,0.0197, 402, 1,34.68,26.33,94778.84,410914.937500,0
51,1829,32.08,30.98,32364,3,241,741,432.74,464.30,82.24,25.14,5.35,0.0104,0.0195, 402, 1,34.68,26.33,94778.84,410914.937500,0
52,1830,32.10,31.00,32366,3,239,741,432.74,464.30,82.24,25.14,5.35,0.0104,0.0195, 402, 1,34.67,26.32,94777.55,410914.937500,0
53,1830,32.10,31.00,32366,3,239,739,429.39,452.97,82.19,25.14,5.35,0.0103,0.0193, 402, 1,34.67,26.32,94777.55,410914.937500,0
54,1829,32.10,30.94,32363,3,239,739,429.39,452.97,82.19,25.14,5.35,0.0103,0.0193, 402, 1,34.67,26.31,94777.76,411162.406250,0
55,1829,32.10,30.94,32363,3,246,747,421.32,451.29,81.55,25.14,5.35,0.0103,0.0193, 402, 1,34.67,26.31,94777.76,411162.406250,0
56,1829,32.10,30.94,32363,3,246,747,421.32,451.29,81.55,25.14,5.35,0.0102,0.0192, 401, 1,34.67,26.31,94778.00,412404.343750,0
57,1830,32.11,30.96,32367,3,252,754,424.90,464.30,81.03,25.14,5.35,0.0102,0.0192, 401, 1,34.67,26.31,94778.00,412404.343750,0
58,1830,32.11,30.96,32367,3,252,754,424.90,464.30,81.03,25.14,5.35,0.0103,0.0193, 401, 1,34.67,26.30,94779.05,413403.312500,0
59,1830,32.11,30.96,32363,3,268,733,428.80,464.77,82.69,25.14,5.35,0.0103,0.0193, 401, 1,34.67,26.30,94779.05,413403.312500,0
60,1830,32.11,30.96,32363,3,268,733,428.80,464.77,82.69,25.14,5.35,0.0102,0.0192, 401, 1,34.67,26.30,94779.05,413403.312500,1
61,1830,32.11,31.01,32365,3,254,733,428.80,464.77,82.69,25.14,5.35,0.0102,0.0192, 401, 1,34.67,26.33,94780.55,412404.343750,1
62,1830,32.11,31.01,32365,3,254,756,445.97,456.82,80.89,25.14,5.35,0.0101,0.0190, 401, 1,34.67,26.33,94780.55,412404.343750,1
63,1828,32.13,30.97,32397,3,254,756,445.97,456.82,80.89,25.14,5.35,0.0101,0.0190, 401, 1,34.66,26.29,94780.64,412653.625000,1
64,1828,32.13,30.97,32397,2,217,714,430.40,460.70,84.13,25.14,5.35,0.0101,0.0190, 401, 1,34.66,26.29,94780.64,412653.625000,1
65,1828,32.13,30.97,32397,2,217,714,430.40,460.70,84.13,25.14,5.35,0.0104,0.0195, 401, 1,34.66,26.26,94781.91,413153.125000,1
66,1828,32.11,30.86,32442,2,203,697,423.61,460.24,85.51,25.14,5.35,0.0104,0.0195, 401, 1,34.66,26.26,94781.91,413153.125000,1
67,1828,32.11,30.86,32442,2,203,697,423.61,460.24,85.51,25.14,5.35,0.0104,0.0196, 401, 1,34.66,26.24,94782.66,409681.937500,1
68,1827,32.17,30.89,32484,2,216,662,427.21,460.55,88.39,25.14,5.35,0.0104,0.0196, 401, 1,34.66,26.24,94782.66,409681.937500,1
