Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1142,30.84,30.73,31825,2,126,592,347.52,356.09,95.58,25.14,5.33,0.0084,0.0159, 400, 1,33.83,24.57,95790.97,458370.625000,0
2,1143,30.82,30.71,31825,2,131,609,344.13,357.54,93.98,25.14,5.33,0.0084,0.0159, 400, 1,33.83,24.57,95790.97,458370.625000,0
3,1143,30.82,30.71,31825,2,131,609,344.13,357.54,93.98,25.14,5.33,0.0084,0.0159, 400, 1,33.81,24.59,95790.73,458063.062500,0
4,1144,30.80,30.75,31827,2,140,612,341.11,362.78,93.75,25.14,5.33,0.0084,0.0159, 400, 1,33.81,24.59,95790.73,458063.062500,0
5,1144,30.80,30.75,31827,2,140,612,341.11,362.78,93.75,25.14,5.33,0.0084,0.0159, 400, 1,33.81,24.59,95790.73,458063.062500,0
6,1145,30.78,30.81,31826,2,151,612,341.11,362.78,93.75,25.14,5.33,0.0084,0.0159, 400, 1,33.79,24.60,95790.81,457449.187500,0
7,1145,30.78,30.81,31826,2,151,628,351.54,358.03,92.31,25.14,5.33,0.0084,0.0159, 400, 1,33.79,24.60,95790.81,457449.187500,0
8,1145,30.78,30.81,31836,2,151,628,351.54,358.03,92.31,25.14,5.33,0.0084,0.0159, 400, 1,33.78,24.61,95790.91,457755.937500,0
9,1145,30.78,30.81,31836,2,138,609,350.71,364.26,94.04,25.14,5.33,0.0084,0.0159, 400, 1,33.78,24.61,95790.91,457755.937500,0
10,1145,30.78,30.81,31836,2,138,609,350.71,364.26,94.04,25.14,5.33,0.0084,0.0159, 400, 1,33.76,24.64,95790.80,456531.437500,0
11,1144,30.74,30.86,31825,2,126,591,350.47,356.33,95.61,25.14,5.33,0.0084,0.0159, 400, 1,33.76,24.64,95790.80,456531.437500,0
12,1144,30.74,30.86,31825,2,126,591,350.47,356.33,95.61,25.14,5.33,0.0084,0.0159, 400, 1,33.74,24.65,95789.83,460224.718750,0
13,1144,30.74,30.88,31829,2,147,623,341.34,362.17,92.81,25.14,5.33,0.0084,0.0159, 400, 1,33.74,24.65,95789.83,460224.718750,0
14,1144,30.74,30.88,31829,2,147,623,341.34,362.17,92.81,25.14,5.33,0.0084,0.0159, 400, 1,33.74,24.65,95789.83,460224.718750,0
15,1145,30.73,30.89,31840,2,116,623,341.34,362.17,92.81,25.14,5.33,0.0084,0.0159, 400, 1,33.72,24.67,95789.37,458678.625000,0
16,1145,30.73,30.89,31840,2,116,575,353.69,358.39,97.11,25.14,5.33,0.0084,0.0159, 400, 1,33.72,24.67,95789.37,458678.625000,0
17,1145,30.69,30.93,31846,2,116,575,353.69,358.39,97.11,25.14,5.33,0.0084,0.0159, 400, 1,33.70,24.68,95789.23,458370.625000,0
18,1145,30.69,30.93,31846,2,144,617,350.00,368.23,93.28,25.14,5.33,0.0084,0.0159, 400, 1,33.70,24.68,95789.23,458370.625000,0
19,1145,30.69,30.93,31846,2,144,617,350.00,368.23,93.28,25.14,5.33,0.0084,0.0159, 400, 1,33.68,24.70,95789.52,456531.437500,0
20,1146,30.67,30.95,31846,2,145,619,347.05,362.17,93.12,25.14,5.33,0.0084,0.0159, 400, 1,33.68,24.70,95789.52,456531.437500,0
21,1146,30.67,30.95,31846,2,145,619,347.05,362.17,93.12,25.14,5.33,0.0084,0.0159, 400, 1,33.66,24.73,95789.41,458987.000000,0
22,1148,30.69,30.94,31850,2,143,617,355.37,358.88,93.34,25.14,5.33,0.0084,0.0159, 400, 1,33.66,24.73,95789.41,458987.000000,0
23,1148,30.69,30.94,31850,2,143,617,355.37,358.88,93.34,25.14,5.33,0.0084,0.0159, 400, 1,33.66,24.73,95789.41,458987.000000,0
24,1149,30.65,30.91,31844,2,138,617,355.37,358.88,93.34,25.14,5.33,0.0084,0.0159, 400, 1,33.64,24.74,95789.64,461157.406250,0
25,1149,30.65,30.91,31844,2,138,609,359.61,363.52,94.07,25.14,5.33,0.0084,0.0159, 400, 1,33.64,24.74,95789.64,461157.406250,0
26,1150,30.64,30.95,31843,2,138,609,359.61,363.52,94.07,25.14,5.33,0.0084,0.0159, 400, 1,33.63,24.75,95790.17,460535.187500,0
