Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1274,36.87,22.65,31085,4,678,918,121.21,73.80,59.55,25.14,5.03,0.0085,0.0159, 400, 1,39.35,19.06,97160.56,281318.687500,0
2,1274,36.87,22.65,31085,4,678,918,121.21,73.80,59.55,25.14,5.03,0.0085,0.0159, 400, 1,39.35,19.06,97160.56,281318.687500,0
3,1274,36.87,22.65,31094,4,709,926,125.01,73.21,58.73,25.14,5.03,0.0085,0.0159, 400, 1,39.34,19.05,97160.66,284128.750000,0
4,1274,36.87,22.65,31094,4,709,926,125.01,73.21,58.73,25.14,5.03,0.0085,0.0159, 400, 1,39.34,19.05,97160.66,284128.750000,0
5,1274,36.83,22.60,31096,4,709,926,125.01,73.21,58.73,25.14,5.03,0.0085,0.0159, 400, 1,39.34,19.06,97161.01,282951.093750,0
6,1274,36.83,22.60,31096,4,667,915,122.16,75.52,59.97,25.14,5.03,0.0085,0.0159, 400, 1,39.34,19.06,97161.01,282951.093750,0
7,1274,36.83,22.60,31096,4,667,915,122.16,75.52,59.97,25.14,5.03,0.0085,0.0159, 400, 1,39.33,19.02,97161.34,284128.750000,0
8,1275,36.84,22.62,31112,4,654,911,127.83,74.30,60.40,25.14,5.03,0.0085,0.0159, 400, 1,39.33,19.02,97161.34,284128.750000,0
9,1275,36.84,22.62,31112,4,654,911,127.83,74.30,60.40,25.14,5.04,0.0085,0.0159, 400, 1,39.33,19.01,97161.04,284602.562500,0
10,1276,36.81,22.66,31119,3,604,897,123.87,77.20,62.04,25.14,5.04,0.0085,0.0159, 400, 1,39.33,19.01,97161.04,284602.562500,0
11,1276,36.81,22.66,31119,3,604,897,123.87,77.20,62.04,25.14,5.04,0.0085,0.0159, 400, 1,39.32,18.98,97161.00,284840.062500,0
12,1276,36.77,22.64,31123,3,615,900,125.01,77.65,61.68,25.14,5.04,0.0085,0.0159, 400, 1,39.32,18.98,97161.00,284840.062500,0
13,1276,36.77,22.64,31123,3,615,900,125.01,77.65,61.68,25.14,5.04,0.0085,0.0159, 400, 1,39.32,18.98,97161.00,284840.062500,0
14,1275,36.79,22.60,31128,3,615,900,125.01,77.65,61.68,25.14,5.04,0.0085,0.0159, 400, 1,39.31,18.98,97160.47,288450.718750,0
15,1275,36.79,22.60,31128,3,601,896,130.19,77.04,62.14,25.14,5.04,0.0085,0.0159, 400, 1,39.31,18.98,97160.47,288450.718750,0
16,1275,36.78,22.56,31132,3,601,896,130.19,77.04,62.14,25.14,5.04,0.0085,0.0159, 400, 1,39.30,18.96,97160.99,287478.937500,0
17,1275,36.78,22.56,31132,3,577,889,129.22,78.54,63.01,25.14,5.04,0.0085,0.0159, 400, 1,39.30,18.96,97160.99,287478.937500,0
18,1275,36.78,22.56,31132,3,577,889,129.22,78.54,63.01,25.14,5.04,0.0085,0.0159, 400, 1,39.29,18.95,97160.98,288939.062500,0
19,1272,36.76,22.60,31138,3,594,894,127.27,79.24,62.42,25.14,5.04,0.0085,0.0159, 400, 1,39.29,18.95,97160.98,288939.062500,0
20,1272,36.76,22.60,31138,3,594,894,127.27,79.24,62.42,25.14,5.04,0.0085,0.0159, 400, 1,39.28,18.94,97160.84,287964.000000,0
21,1268,36.76,22.56,31142,3,559,881,128.35,79.05,64.07,25.14,5.04,0.0085,0.0159, 400, 1,39.28,18.94,97160.84,287964.000000,0
22,1268,36.76,22.56,31142,3,559,881,128.35,79.05,64.07,25.14,5.05,0.0084,0.0159, 400, 1,39.28,18.94,97160.84,287964.000000,0
23,1262,36.76,22.48,31146,3,569,881,128.35,79.05,64.07,25.14,5.05,0.0084,0.0159, 400, 1,39.27,18.89,97160.70,291157.250000,0
