Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1053,28.72,30.76,31706,3,301,795,271.44,231.29,78.57,25.14,5.37,0.4861,0.9138, 413, 3,31.45,25.86,96812.30,473307.156250,0
2,1053,28.72,30.76,31706,3,301,801,269.70,229.73,77.91,25.14,5.37,0.4857,0.9131, 413, 3,31.45,25.86,96812.30,473307.156250,0
3,1054,28.69,30.79,31713,3,301,801,269.70,229.73,77.91,25.14,5.37,0.4857,0.9131, 413, 3,31.44,25.82,96812.44,477278.031250,0
4,1054,28.69,30.79,31713,3,295,799,275.14,236.83,78.33,25.14,5.37,0.4857,0.9131, 413, 3,31.44,25.82,96812.44,477278.031250,0
5,1054,28.69,30.79,31713,3,295,799,275.14,236.83,78.33,25.14,5.37,0.4853,0.9124, 413, 3,31.44,25.84,96812.05,478952.281250,0
6,1054,28.66,30.84,31718,3,294,798,266.98,230.90,78.41,25.14,5.37,0.4853,0.9124, 413, 3,31.44,25.84,96812.05,478952.281250,0
7,1054,28.66,30.84,31718,3,294,798,266.98,230.90,78.41,25.14,5.37,0.4852,0.9123, 413, 3,31.43,25.82,96811.52,475947.000000,0
8,1053,28.66,30.86,31716,3,294,792,269.34,235.40,78.81,25.14,5.37,0.4852,0.9123, 413, 3,31.43,25.82,96811.52,475947.000000,0
9,1053,28.66,30.86,31716,3,294,792,269.34,235.40,78.81,25.14,5.37,0.4848,0.9114, 412, 3,31.43,25.82,96811.52,475947.000000,0
10,1054,28.65,30.85,31720,3,292,792,269.34,235.40,78.81,25.14,5.37,0.4848,0.9114, 412, 3,31.43,25.85,96811.59,480638.343750,0
11,1054,28.65,30.85,31720,3,292,796,267.16,233.57,78.57,25.14,5.37,0.4848,0.9115, 412, 3,31.43,25.85,96811.59,480638.343750,0
12,1054,28.66,30.84,31718,3,292,796,267.16,233.57,78.57,25.14,5.37,0.4848,0.9115, 412, 3,31.42,25.86,96811.75,480300.187500,0
13,1054,28.66,30.84,31718,3,302,802,274.49,231.21,77.83,25.14,5.37,0.4848,0.9115, 412, 3,31.42,25.86,96811.75,480300.187500,0
14,1054,28.66,30.84,31718,3,302,802,274.49,231.21,77.83,25.14,5.37,0.4845,0.9109, 412, 3,31.42,25.87,96812.07,475947.000000,0
15,1054,28.64,30.89,31720,3,299,801,269.43,237.80,78.07,25.14,5.37,0.4845,0.9109, 412, 3,31.42,25.87,96812.07,475947.000000,0
16,1054,28.64,30.89,31720,3,299,801,269.43,237.80,78.07,25.14,5.37,0.4846,0.9110, 412, 3,31.41,25.89,96812.45,479625.281250,0
17,1055,28.63,30.88,31722,3,280,802,273.75,234.44,77.83,25.14,5.37,0.4846,0.9110, 412, 3,31.41,25.89,96812.45,479625.281250,0
18,1055,28.63,30.88,31722,3,280,802,273.75,234.44,77.83,25.14,5.37,0.4842,0.9103, 412, 3,31.41,25.89,96812.45,479625.281250,0
19,1055,28.62,30.93,31724,3,287,802,273.75,234.44,77.83,25.14,5.37,0.4842,0.9103, 412, 3,31.41,25.90,96812.29,474953.625000,0
20,1055,28.62,30.93,31724,3,287,790,270.62,238.20,78.94,25.14,5.37,0.4838,0.9096, 411, 3,31.41,25.90,96812.29,474953.625000,0
21,1055,28.64,30.86,31723,3,287,790,270.62,238.20,78.94,25.14,5.37,0.4838,0.9096, 411, 3,31.40,25.88,96812.04,480300.187500,0
22,1055,28.64,30.86,31723,3,284,787,271.44,236.59,79.19,25.14,5.37,0.4838,0.9096, 411, 3,31.40,25.88,96812.04,480300.187500,0
23,1055,28.64,30.86,31723,3,284,787,271.44,236.59,79.19,25.14,5.37,0.4835,0.9090, 411, 3,31.40,25.92,96812.01,482336.312500,0
24,1056,28.63,30.91,31723,3,290,794,278.70,236.03,78.68,25.14,5.37,0.4835,0.9090, 411, 3,31.40,25.92,96812.01,482336.312500,0
25,1056,28.63,30.91,31723,3,290,794,278.70,236.03,78.68,25.14,5.37,0.4831,0.9083, 411, 3,31.39,25.95,96811.59,480977.000000,0
26,1056,28.67,30.91,31725,3,301,767,274.96,238.85,80.70,25.14,5.37,0.4831,0.9083, 411, 3,31.39,25.95,96811.59,480977.000000,0
27,1056,28.67,30.91,31725,3,301,767,274.96,238.85,80.70,25.14,5.37,0.4830,0.9081, 411, 3,31.39,25.95,96811.59,480977.000000,0
28,1056,28.67,30.91,31729,3,287,767,274.96,238.85,80.70,25.14,5.37,0.4830,0.9081, 411, 3,31.39,25.95,96811.37,480977.000000,0
29,1056,28.67,30.91,31729,3,287,791,270.62,236.51,78.92,25.14,5.37,0.4829,0.9079, 411, 3,31.39,25.95,96811.37,480977.000000,0
30,1057,28.64,30.91,31731,3,287,791,270.62,236.51,78.92,25.14,5.37,0.4829,0.9079, 411, 3,31.39,25.96,96811.09,475284.281250,0
31,1057,28.64,30.91,31731,3,272,775,272.27,235.79,80.10,25.14,5.37,0.4829,0.9079, 411, 3,31.39,25.96,96811.09,475284.281250,0
32,1057,28.64,30.91,31731,3,272,775,272.27,235.79,80.10,25.14,5.37,0.4830,0.9080, 411, 3,31.38,25.94,96811.27,481316.093750,0
33,1057,28.64,30.89,31732,3,280,784,276.08,236.51,79.45,25.14,5.37,0.4830,0.9080, 411, 3,31.38,25.94,96811.27,481316.093750,0
34,1057,28.64,30.89,31732,3,280,784,276.08,236.51,79.45,25.14,5.37,0.4829,0.9078, 411, 3,31.38,25.96,96811.35,476611.593750,0
35,1057,28.66,30.91,31731,3,277,775,278.05,241.04,80.13,25.14,5.37,0.4829,0.9078, 411, 3,31.38,25.96,96811.35,476611.593750,0
36,1057,28.66,30.91,31731,3,277,775,278.05,241.04,80.13,25.14,5.37,0.4827,0.9075, 410, 3,31.38,25.96,96811.35,476611.593750,0
37,1057,28.66,30.97,31726,3,276,775,278.05,241.04,80.13,25.14,5.37,0.4827,0.9075, 410, 3,31.37,25.95,96810.91,475615.406250,0
38,1057,28.66,30.97,31726,3,276,779,272.00,238.60,79.80,25.14,5.37,0.4827,0.9076, 410, 3,31.37,25.95,96810.91,475615.406250,0
39,1058,28.67,30.85,31723,3,276,779,272.00,238.60,79.80,25.14,5.37,0.4827,0.9076, 410, 3,31.37,25.92,96810.41,484733.718750,0
40,1058,28.67,30.85,31723,3,296,800,276.73,235.55,78.25,25.14,5.37,0.4827,0.9076, 410, 3,31.37,25.92,96810.41,484733.718750,0
41,1058,28.67,30.85,31723,3,296,800,276.73,235.55,78.25,25.14,5.37,0.4824,0.9069, 410, 3,31.37,25.95,96809.98,482336.312500,0
42,1058,28.68,30.89,31723,3,268,771,281.07,243.09,80.43,25.14,5.37,0.4824,0.9069, 410, 3,31.37,25.95,96809.98,482336.312500,0
43,1058,28.68,30.89,31723,3,268,771,281.07,243.09,80.43,25.14,5.37,0.4822,0.9066, 410, 3,31.36,25.95,96809.75,479288.562500,0
44,1058,28.67,30.91,31723,3,302,752,275.89,236.91,81.83,25.14,5.37,0.4822,0.9066, 410, 3,31.36,25.95,96809.75,479288.562500,0
45,1058,28.67,30.91,31723,3,302,752,275.89,236.91,81.83,25.14,5.37,0.4818,0.9058, 410, 3,31.36,25.95,96809.75,479288.562500,0
46,1059,28.69,30.89,31724,3,285,752,275.89,236.91,81.83,25.14,5.37,0.4818,0.9058, 410, 3,31.36,25.99,96809.72,486807.687500,0
47,1059,28.69,30.89,31724,3,285,788,276.54,240.79,79.11,25.14,5.37,0.4814,0.9051, 410, 3,31.36,25.99,96809.72,486807.687500,0
48,1059,28.69,30.90,31726,3,285,788,276.54,240.79,79.11,25.14,5.37,0.4814,0.9051, 410, 3,31.36,25.95,96809.98,486807.687500,0
49,1059,28.69,30.90,31726,3,302,802,277.01,246.73,77.83,25.14,5.37,0.4814,0.9051, 410, 3,31.36,25.95,96809.98,486807.687500,0
50,1059,28.69,30.90,31726,3,302,802,277.01,246.73,77.83,25.14,5.37,0.4821,0.9064, 410, 3,31.36,25.96,96810.11,484389.781250,0
51,1059,28.70,30.92,31729,3,271,770,276.08,241.69,80.48,25.14,5.37,0.4821,0.9064, 410, 3,31.36,25.96,96810.11,484389.781250,0
52,1059,28.70,30.92,31729,3,271,770,276.08,241.69,80.48,25.14,5.37,0.4817,0.9057, 409, 3,31.36,25.95,96810.24,484046.312500,0
53,1060,28.72,30.89,31727,3,283,786,280.22,243.58,79.27,25.14,5.37,0.4817,0.9057, 409, 3,31.36,25.95,96810.24,484046.312500,0
54,1060,28.72,30.89,31727,3,283,786,280.22,243.58,79.27,25.14,5.37,0.4814,0.9051, 409, 3,31.36,25.95,96810.24,484046.312500,0
55,1060,28.73,30.87,31729,3,281,786,280.22,243.58,79.27,25.14,5.37,0.4814,0.9051, 409, 3,31.36,25.94,96809.98,482677.343750,0
56,1060,28.73,30.87,31729,3,281,784,277.86,246.98,79.40,25.14,5.37,0.4812,0.9047, 409, 3,31.36,25.94,96809.98,482677.343750,0
57,1060,28.73,30.87,31723,3,281,784,277.86,246.98,79.40,25.14,5.37,0.4812,0.9047, 409, 3,31.36,25.96,96810.07,482677.343750,0
58,1060,28.73,30.87,31723,3,268,771,277.29,241.20,80.37,25.14,5.37,0.4812,0.9047, 409, 3,31.36,25.96,96810.07,482677.343750,0
59,1060,28.73,30.87,31723,3,268,771,277.29,241.20,80.37,25.14,5.37,0.4808,0.9038, 409, 3,31.36,25.95,96809.94,485768.500000,0
60,1061,28.74,30.92,31731,3,274,791,275.70,244.32,78.94,25.14,5.37,0.4808,0.9038, 409, 3,31.36,25.95,96809.94,485768.500000,1
61,1061,28.74,30.92,31731,3,274,791,275.70,244.32,78.94,25.14,5.37,0.4807,0.9037, 409, 3,31.36,25.96,96809.49,484733.718750,1
62,1060,28.75,30.84,31712,3,288,791,275.61,239.33,78.89,25.14,5.37,0.4807,0.9037, 409, 3,31.36,25.96,96809.49,484733.718750,1
63,1060,28.75,30.84,31712,3,288,791,275.61,239.33,78.89,25.14,5.37,0.4822,0.9065, 409, 3,31.36,25.96,96809.49,484733.718750,1
64,1060,28.75,30.91,31655,3,323,791,275.61,239.33,78.89,25.14,5.37,0.4822,0.9065, 409, 3,31.36,27.33,96809.75,475947.000000,1
65,1060,28.75,30.91,31655,3,323,809,264.73,227.10,76.40,25.14,5.37,0.4851,0.9120, 409, 3,31.36,27.33,96809.75,475947.000000,1
66,1060,28.77,31.59,31382,3,323,809,264.73,227.10,76.40,25.14,5.37,0.4851,0.9120, 409, 3,31.36,29.38,96809.59,462093.875000,1
67,1060,28.77,31.59,31382,3,365,823,261.52,211.02,73.73,25.14,5.37,0.4851,0.9120, 409, 3,31.36,29.38,96809.59,462093.875000,1
68,1060,28.77,31.59,31382,3,365,823,261.52,211.02,73.73,25.14,5.37,0.4896,0.9204, 409, 3,31.36,30.88,96809.48,459605.031250,1
69,1060,28.79,32.55,31154,3,385,847,246.23,192.79,69.75,25.14,5.37,0.4896,0.9204, 409, 3,31.36,30.88,96809.48,459605.031250,1
70,1060,28.79,32.55,31154,3,385,847,246.23,192.79,69.75,25.14,5.37,0.4941,0.9289, 409, 3,31.37,31.83,96810.15,443482.031250,1
71,1061,28.86,33.46,31094,3,435,846,241.61,186.18,69.91,25.14,5.37,0.4941,0.9289, 409, 3,31.37,31.83,96810.15,443482.031250,1
72,1061,28.86,33.46,31094,3,435,846,241.61,186.18,69.91,25.14,5.37,0.4995,0.9390, 409, 3,31.37,31.83,96810.15,443482.031250,1
