Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1012,32.06,31.92,31502,2,65,487,398.71,461.17,106.05,25.14,5.42,0.1088,0.2045, 400, 2,34.76,26.51,96159.44,440619.625000,0
2,1012,32.01,31.94,31516,1,59,499,402.92,466.03,104.80,25.14,5.42,0.1088,0.2045, 400, 2,34.76,26.51,96159.44,440619.625000,0
3,1012,32.01,31.94,31516,1,59,499,402.92,466.03,104.80,25.14,5.42,0.1044,0.1963, 400, 2,34.74,26.48,96159.27,443482.031250,0
4,1012,32.01,31.94,31525,2,76,507,391.89,467.61,103.95,25.14,5.42,0.1044,0.1963, 400, 2,34.74,26.48,96159.27,443482.031250,0
5,1012,32.01,31.94,31525,2,76,507,391.89,467.61,103.95,25.14,5.42,0.0999,0.1879, 400, 2,34.74,26.48,96159.27,443482.031250,0
6,1012,32.01,31.93,31538,2,76,507,391.89,467.61,103.95,25.14,5.42,0.0999,0.1879, 400, 2,34.72,26.47,96159.12,441760.125000,0
7,1012,32.01,31.93,31538,2,73,503,394.28,468.09,104.44,25.14,5.42,0.0960,0.1805, 400, 2,34.72,26.47,96159.12,441760.125000,0
8,1012,31.97,31.93,31556,2,73,503,394.28,468.09,104.44,25.14,5.42,0.0960,0.1805, 400, 2,34.70,26.43,96159.23,443482.031250,0
9,1012,31.97,31.93,31556,1,53,464,390.17,462.89,108.44,25.14,5.42,0.0960,0.1805, 400, 2,34.70,26.43,96159.23,443482.031250,0
10,1012,31.97,31.93,31556,1,53,464,390.17,462.89,108.44,25.14,5.42,0.0920,0.1730, 400, 2,34.68,26.41,96159.20,445798.875000,0
11,1012,31.94,31.89,31561,1,45,446,398.31,478.34,110.29,25.14,5.42,0.0920,0.1730, 400, 2,34.68,26.41,96159.20,445798.875000,0
12,1012,31.94,31.89,31561,1,45,446,398.31,478.34,110.29,25.14,5.42,0.0882,0.1658, 400, 2,34.66,26.42,96159.23,446381.875000,0
