Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1234,30.50,28.91,32574,2,174,683,494.30,516.36,87.44,25.14,5.38,0.0085,0.0159, 400, 1,33.40,24.19,94914.80,449912.125000,0
2,1234,30.50,28.91,32574,2,174,683,494.30,516.36,87.44,25.14,5.38,0.0085,0.0159, 400, 1,33.38,24.19,94914.87,449319.875000,0
3,1237,30.48,28.93,32576,2,179,666,491.63,513.57,88.87,25.14,5.38,0.0085,0.0159, 400, 1,33.38,24.19,94914.87,449319.875000,0
4,1237,30.48,28.93,32576,2,179,666,491.63,513.57,88.87,25.14,5.38,0.0085,0.0159, 400, 1,33.36,24.20,94914.17,447552.437500,0
5,1238,30.48,28.90,32568,2,185,675,483.55,509.59,88.15,25.14,5.38,0.0085,0.0159, 400, 1,33.36,24.20,94914.17,447552.437500,0
6,1238,30.48,28.90,32568,2,185,675,483.55,509.59,88.15,25.14,5.38,0.0084,0.0159, 400, 1,33.36,24.20,94914.17,447552.437500,0
7,1238,30.46,28.98,32567,2,201,694,497.49,521.10,86.56,25.14,5.38,0.0084,0.0159, 400, 1,33.35,24.25,94914.87,446090.187500,0
8,1238,30.46,28.98,32567,2,201,694,497.49,521.10,86.56,25.14,5.38,0.0084,0.0159, 400, 1,33.35,24.25,94914.87,446090.187500,0
9,1238,30.44,28.97,32568,2,201,694,497.49,521.10,86.56,25.14,5.38,0.0084,0.0159, 400, 1,33.33,24.27,94914.62,452296.812500,0
10,1238,30.44,28.97,32568,2,185,681,496.99,508.90,87.59,25.14,5.38,0.0084,0.0159, 400, 1,33.33,24.27,94914.62,452296.812500,0
11,1238,30.44,28.97,32568,2,185,681,496.99,508.90,87.59,25.14,5.38,0.0084,0.0159, 400, 1,33.31,24.25,94914.27,449319.875000,0
12,1238,30.44,28.97,32564,2,207,702,498.84,513.23,85.92,25.14,5.38,0.0084,0.0159, 400, 1,33.31,24.25,94914.27,449319.875000,0
13,1238,30.44,28.97,32564,2,207,702,498.84,513.23,85.92,25.14,5.38,0.0084,0.0159, 400, 1,33.30,24.28,94912.98,451698.281250,0
14,1239,30.44,28.98,32573,2,186,676,492.30,515.14,88.06,25.14,5.38,0.0084,0.0159, 400, 1,33.30,24.28,94912.98,451698.281250,0
15,1239,30.44,28.98,32573,2,186,676,492.30,515.14,88.06,25.14,5.38,0.0084,0.0159, 400, 1,33.28,24.29,94912.07,453498.656250,0
16,1242,30.41,28.96,32580,2,181,669,488.48,509.42,88.63,25.14,5.38,0.0084,0.0159, 400, 1,33.28,24.29,94912.07,453498.656250,0
17,1242,30.41,28.96,32580,2,181,669,488.48,509.42,88.63,25.14,5.38,0.0084,0.0159, 400, 1,33.28,24.29,94912.07,453498.656250,0
18,1242,30.41,29.04,32582,2,181,669,488.48,509.42,88.63,25.14,5.38,0.0084,0.0159, 400, 1,33.26,24.31,94911.46,451101.312500,0
19,1242,30.41,29.04,32582,2,198,691,489.81,513.05,86.79,25.14,5.38,0.0084,0.0159, 400, 1,33.26,24.31,94911.46,451101.312500,0
20,1242,30.40,29.03,32581,2,198,691,489.81,513.05,86.79,25.14,5.38,0.0084,0.0159, 400, 1,33.25,24.34,94911.70,453498.656250,0
21,1242,30.40,29.03,32581,2,173,697,484.70,512.19,86.32,25.14,5.38,0.0084,0.0159, 400, 1,33.25,24.34,94911.70,453498.656250,0
22,1242,30.40,29.03,32581,2,173,697,484.70,512.19,86.32,25.14,5.38,0.0084,0.0159, 400, 1,33.24,24.35,94911.91,449319.875000,0
23,1242,30.38,29.02,32580,2,183,672,504.62,524.47,88.42,25.14,5.38,0.0084,0.0159, 400, 1,33.24,24.35,94911.91,449319.875000,0
24,1242,30.38,29.02,32580,2,183,672,504.62,524.47,88.42,25.14,5.38,0.0084,0.0159, 400, 1,33.22,24.37,94911.88,451101.312500,0
25,1243,30.39,29.04,32580,2,201,695,494.64,518.29,86.50,25.14,5.38,0.0084,0.0159, 400, 1,33.22,24.37,94911.88,451101.312500,0
26,1243,30.39,29.04,32580,2,201,695,494.64,518.29,86.50,25.14,5.38,0.0084,0.0159, 400, 1,33.22,24.37,94911.88,451101.312500,0
27,1244,30.37,29.02,32578,2,194,695,494.64,518.29,86.50,25.14,5.38,0.0084,0.0159, 400, 1,33.21,24.36,94912.29,453197.625000,0
28,1244,30.37,29.02,32578,2,194,686,492.63,513.57,87.23,25.14,5.38,0.0084,0.0159, 400, 1,33.21,24.36,94912.29,453197.625000,0
29,1244,30.38,29.10,32582,2,194,686,492.63,513.57,87.23,25.14,5.38,0.0084,0.0159, 400, 1,33.19,24.35,94912.23,453197.625000,0
30,1244,30.38,29.10,32582,2,211,675,494.30,512.88,88.15,25.14,5.38,0.0084,0.0159, 400, 1,33.19,24.35,94912.23,453197.625000,0
31,1244,30.38,29.10,32582,2,211,675,494.30,512.88,88.15,25.14,5.38,0.0084,0.0159, 400, 1,33.18,24.37,94911.71,452896.937500,0
32,1244,30.37,29.07,32583,2,174,660,491.80,519.34,89.39,25.14,5.38,0.0084,0.0159, 400, 1,33.18,24.37,94911.71,452896.937500,0
33,1244,30.37,29.07,32583,2,174,660,491.80,519.34,89.39,25.14,5.38,0.0084,0.0159, 400, 1,33.17,24.40,94912.10,453498.656250,0
34,1245,30.36,29.07,32581,2,184,673,491.97,517.94,88.27,25.14,5.38,0.0084,0.0159, 400, 1,33.17,24.40,94912.10,453498.656250,0
35,1245,30.36,29.07,32581,2,184,673,491.97,517.94,88.27,25.14,5.38,0.0084,0.0159, 400, 1,33.17,24.40,94912.10,453498.656250,0
36,1245,30.35,29.06,32576,2,180,673,491.97,517.94,88.27,25.14,5.38,0.0084,0.0159, 400, 1,33.15,24.40,94912.46,453197.625000,0
37,1245,30.35,29.06,32576,2,180,668,504.79,520.22,88.75,25.14,5.38,0.0084,0.0159, 400, 1,33.15,24.40,94912.46,453197.625000,0
38,1245,30.35,29.06,32570,2,180,668,504.79,520.22,88.75,25.14,5.38,0.0084,0.0159, 400, 1,33.14,24.39,94912.84,449912.125000,0
39,1245,30.35,29.06,32570,2,200,661,506.50,521.63,89.29,25.14,5.38,0.0084,0.0159, 400, 1,33.14,24.39,94912.84,449912.125000,0
40,1245,30.35,29.06,32570,2,200,661,506.50,521.63,89.29,25.14,5.38,0.0084,0.0159, 400, 1,33.13,24.40,94914.05,455313.468750,0
41,1245,30.37,29.07,32575,2,202,696,497.66,517.59,86.44,25.14,5.38,0.0084,0.0159, 400, 1,33.13,24.40,94914.05,455313.468750,0
42,1245,30.37,29.07,32575,2,202,696,497.66,517.59,86.44,25.14,5.38,0.0084,0.0159, 400, 1,33.12,24.42,94914.44,454404.250000,0
43,1244,30.36,29.05,32579,2,168,652,495.14,522.69,90.11,25.14,5.38,0.0084,0.0159, 400, 1,33.12,24.42,94914.44,454404.250000,0
44,1244,30.36,29.05,32579,2,168,652,495.14,522.69,90.11,25.14,5.38,0.0084,0.0159, 400, 1,33.12,24.42,94914.44,454404.250000,0
45,1244,30.36,29.06,32582,2,177,652,495.14,522.69,90.11,25.14,5.38,0.0084,0.0159, 400, 1,33.11,24.45,94915.01,452296.812500,0
46,1244,30.36,29.06,32582,2,177,663,495.98,525.71,89.14,25.14,5.38,0.0084,0.0159, 400, 1,33.11,24.45,94915.01,452296.812500,0
47,1244,30.34,29.13,32582,2,177,663,495.98,525.71,89.14,25.14,5.38,0.0084,0.0159, 400, 1,33.10,24.45,94915.56,451997.343750,0
48,1244,30.34,29.13,32582,2,200,673,495.81,525.71,88.27,25.14,5.38,0.0084,0.0159, 400, 1,33.10,24.45,94915.56,451997.343750,0
49,1244,30.34,29.13,32582,2,200,673,495.81,525.71,88.27,25.14,5.38,0.0084,0.0159, 400, 1,33.09,24.47,94916.50,455921.625000,0
50,1244,30.35,29.14,32584,2,175,661,488.48,522.52,89.29,25.14,5.38,0.0084,0.0159, 400, 1,33.09,24.47,94916.50,455921.625000,0
51,1244,30.35,29.14,32584,2,175,661,488.48,522.52,89.29,25.14,5.38,0.0084,0.0159, 400, 1,33.08,24.46,94917.16,455921.625000,0
52,1244,30.34,29.04,32581,2,176,662,503.08,522.16,89.23,25.14,5.38,0.0084,0.0159, 400, 1,33.08,24.46,94917.16,455921.625000,0
53,1244,30.34,29.04,32581,2,176,662,503.08,522.16,89.23,25.14,5.38,0.0084,0.0159, 400, 1,33.08,24.46,94917.16,455921.625000,0
54,1244,30.34,29.12,32586,2,177,662,503.08,522.16,89.23,25.14,5.38,0.0084,0.0159, 400, 1,33.08,24.47,94918.19,453197.625000,0
55,1244,30.34,29.12,32586,2,177,664,494.14,518.29,89.08,25.14,5.38,0.0084,0.0159, 400, 1,33.08,24.47,94918.19,453197.625000,0
56,1244,30.35,29.06,32585,2,177,664,494.14,518.29,89.08,25.14,5.38,0.0084,0.0159, 400, 1,33.07,24.46,94918.73,454706.937500,0
57,1244,30.35,29.06,32585,2,177,651,498.34,519.34,90.18,25.14,5.38,0.0084,0.0159, 400, 1,33.07,24.46,94918.73,454706.937500,0
58,1244,30.35,29.06,32585,2,177,651,498.34,519.34,90.18,25.14,5.38,0.0084,0.0159, 400, 1,33.06,24.47,94918.95,451997.343750,0
59,1244,30.35,29.05,32584,2,197,689,497.49,522.69,86.97,25.14,5.38,0.0084,0.0159, 400, 1,33.06,24.47,94918.95,451997.343750,0
60,1244,30.35,29.05,32584,2,197,689,497.49,522.69,86.97,25.14,5.38,0.0084,0.0159, 400, 1,33.05,24.51,94919.84,456226.343750,1
61,1244,30.35,29.09,32582,2,171,656,500.02,519.34,89.72,25.14,5.38,0.0084,0.0159, 400, 1,33.05,24.51,94919.84,456226.343750,1
62,1244,30.35,29.09,32582,2,171,656,500.02,519.34,89.72,25.14,5.38,0.0084,0.0159, 400, 1,33.05,24.51,94919.84,456226.343750,1
63,1244,30.33,29.11,32566,2,166,656,500.02,519.34,89.72,25.14,5.38,0.0084,0.0159, 400, 1,33.04,24.51,94920.13,452296.812500,1
64,1244,30.33,29.11,32566,2,166,649,494.47,525.71,90.36,25.14,5.38,0.0084,0.0159, 400, 1,33.04,24.51,94920.13,452296.812500,1
65,1243,30.36,29.09,32533,2,166,649,494.47,525.71,90.36,25.14,5.38,0.0084,0.0159, 400, 1,33.03,24.55,94920.26,454102.000000,1
66,1243,30.36,29.09,32533,2,187,698,490.80,517.41,86.26,25.14,5.38,0.0084,0.0159, 400, 1,33.03,24.55,94920.26,454102.000000,1
67,1243,30.36,29.09,32533,2,187,698,490.80,517.41,86.26,25.14,5.38,0.0084,0.0159, 400, 1,33.03,24.58,94920.80,454404.250000,1
