Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,909,30.96,29.48,24873,5,4878,1678,68.23,21.16,27.80,25.14,5.37,1.4167,2.6635, 400, 3,33.25,24.24,96778.84,111159.359375,0
2,909,30.92,29.38,24935,5,4731,1658,68.88,21.46,28.16,25.14,5.37,1.4167,2.6635, 400, 3,33.25,24.24,96778.84,111159.359375,0
3,909,30.92,29.38,24935,5,4731,1658,68.88,21.46,28.16,25.14,5.37,1.3606,2.5579, 400, 3,33.23,24.25,96777.60,112626.484375,0
4,908,30.87,29.35,24998,5,4307,1597,69.82,21.73,29.29,25.14,5.37,1.3606,2.5579, 400, 3,33.23,24.25,96777.60,112626.484375,0
5,908,30.87,29.35,24998,5,4307,1597,69.82,21.73,29.29,25.14,5.37,1.3090,2.4609, 400, 3,33.23,24.25,96777.60,112626.484375,0
6,908,30.80,29.35,25057,5,4324,1597,69.82,21.73,29.29,25.14,5.37,1.3090,2.4609, 400, 3,33.21,24.26,96776.21,114362.296875,0
7,908,30.80,29.35,25057,5,4324,1579,71.35,22.02,29.65,25.14,5.37,1.2615,2.3717, 400, 3,33.21,24.26,96776.21,114362.296875,0
8,908,30.74,29.29,25120,5,4324,1579,71.35,22.02,29.65,25.14,5.37,1.2615,2.3717, 400, 3,33.20,24.20,96775.05,116390.085937,0
9,908,30.74,29.29,25120,5,4217,1584,74.15,22.48,29.54,25.14,5.37,1.2615,2.3717, 400, 3,33.20,24.20,96775.05,116390.085937,0
10,908,30.74,29.29,25120,5,4217,1584,74.15,22.48,29.54,25.14,5.37,1.2176,2.2890, 400, 3,33.18,24.22,96773.39,118573.414062,0
11,908,30.68,29.33,25176,5,3962,1546,74.10,22.76,30.32,25.14,5.37,1.2176,2.2890, 400, 3,33.18,24.22,96773.39,118573.414062,0
12,908,30.68,29.33,25176,5,3962,1546,74.10,22.76,30.32,25.14,5.37,1.1773,2.2133, 400, 3,33.17,24.21,96772.02,120329.023437,0
13,907,30.63,29.31,25236,5,3807,1523,74.91,23.26,30.83,25.14,5.37,1.1773,2.2133, 400, 3,33.17,24.21,96772.02,120329.023437,0
14,907,30.63,29.31,25236,5,3807,1523,74.91,23.26,30.83,25.14,5.37,1.1400,2.1432, 400, 3,33.17,24.21,96772.02,120329.023437,0
15,908,30.58,29.29,25295,5,3538,1523,74.91,23.26,30.83,25.14,5.37,1.1400,2.1432, 400, 3,33.15,24.21,96771.91,121701.921875,0
16,908,30.58,29.29,25295,5,3538,1496,76.21,23.60,31.44,25.14,5.37,1.1060,2.0793, 400, 3,33.15,24.21,96771.91,121701.921875,0
17,907,30.51,29.31,25345,5,3538,1496,76.21,23.60,31.44,25.14,5.37,1.1060,2.0793, 400, 3,33.13,24.20,96771.19,123284.375000,0
18,907,30.51,29.31,25345,5,3605,1492,76.71,24.02,31.54,25.14,5.37,1.1060,2.0793, 400, 3,33.13,24.20,96771.19,123284.375000,0
19,907,30.51,29.31,25345,5,3605,1492,76.71,24.02,31.54,25.14,5.37,1.0746,2.0203, 400, 3,33.11,24.23,96770.62,124453.085937,0
20,907,30.48,29.27,25390,5,3552,1484,77.51,24.03,31.73,25.14,5.37,1.0746,2.0203, 400, 3,33.11,24.23,96770.62,124453.085937,0
21,907,30.48,29.27,25390,5,3552,1484,77.51,24.03,31.73,25.14,5.37,1.0460,1.9666, 400, 3,33.09,24.23,96769.71,125551.742187,0
22,907,30.44,29.24,25422,5,3806,1523,80.29,24.25,30.83,25.14,5.37,1.0460,1.9666, 400, 3,33.09,24.23,96769.71,125551.742187,0
23,907,30.44,29.24,25422,5,3806,1523,80.29,24.25,30.83,25.14,5.37,1.0197,1.9171, 400, 3,33.09,24.23,96769.71,125551.742187,0
24,906,30.44,29.28,25455,5,3557,1523,80.29,24.25,30.83,25.14,5.37,1.0197,1.9171, 400, 3,33.07,24.25,96769.28,127047.148437,0
25,906,30.44,29.28,25455,5,3557,1516,79.59,24.72,30.99,25.14,5.37,0.9958,1.8721, 400, 3,33.07,24.25,96769.28,127047.148437,0
