Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1321,30.02,27.40,32682,1,37,430,575.04,619.49,111.83,25.14,5.41,0.0311,0.0584, 434, 1,32.86,22.41,95847.63,508188.593750,0
2,1266,29.98,27.37,32685,1,55,463,576.99,636.71,108.30,25.14,5.41,0.0311,0.0584, 434, 1,32.86,22.41,95847.63,508188.593750,0
3,1266,29.98,27.37,32685,1,55,463,576.99,636.71,108.30,25.14,5.41,0.0289,0.0544, 433, 1,32.86,22.41,95847.63,508188.593750,0
4,1203,29.95,27.36,32691,1,43,443,576.99,636.71,108.30,25.14,5.41,0.0289,0.0544, 433, 1,32.84,22.39,95847.08,506679.875000,0
5,1203,29.95,27.36,32691,1,43,443,581.10,631.99,110.44,25.14,5.41,0.0270,0.0507, 432, 1,32.84,22.39,95847.08,506679.875000,0
6,1160,29.92,27.31,32698,1,43,443,581.10,631.99,110.44,25.14,5.41,0.0270,0.0507, 432, 1,32.82,22.36,95849.40,509706.312500,0
7,1160,29.92,27.31,32698,1,39,433,583.27,651.75,111.49,25.14,5.42,0.0252,0.0474, 430, 1,32.82,22.36,95849.40,509706.312500,0
8,1160,29.92,27.31,32698,1,39,433,583.27,651.75,111.49,25.14,5.42,0.0252,0.0474, 430, 1,32.79,22.36,95850.37,509706.312500,0
9,1105,29.89,27.33,32705,1,44,444,585.05,644.30,110.33,25.14,5.42,0.0252,0.0474, 430, 1,32.79,22.36,95850.37,509706.312500,0
10,1105,29.89,27.33,32705,1,44,444,585.05,644.30,110.33,25.14,5.42,0.0236,0.0444, 429, 1,32.77,22.33,95851.01,513154.593750,0
11,1075,29.87,27.30,32712,1,29,409,588.83,659.07,114.13,25.14,5.42,0.0236,0.0444, 429, 1,32.77,22.33,95851.01,513154.593750,0
12,1075,29.87,27.30,32712,1,29,409,588.83,659.07,114.13,25.14,5.42,0.0222,0.0417, 428, 1,32.77,22.33,95851.01,513154.593750,0
13,1041,29.85,27.29,32715,1,40,437,592.22,647.79,111.12,25.14,5.42,0.0222,0.0417, 428, 1,32.74,22.33,95849.20,514702.187500,0
14,1041,29.85,27.29,32715,1,40,437,592.22,647.79,111.12,25.14,5.42,0.0209,0.0392, 426, 1,32.74,22.33,95849.20,514702.187500,0
15,1006,29.82,27.27,32724,1,40,437,592.22,647.79,111.12,25.14,5.42,0.0209,0.0392, 426, 1,32.71,22.28,95848.75,515869.031250,0
16,1006,29.82,27.27,32724,1,36,428,590.22,666.93,112.02,25.14,5.42,0.0197,0.0370, 425, 1,32.71,22.28,95848.75,515869.031250,0
17,1006,29.82,27.27,32724,1,36,428,590.22,666.93,112.02,25.14,5.42,0.0197,0.0370, 425, 1,32.69,22.28,95848.89,520193.031250,0
18,1006,29.82,27.27,32720,1,28,411,585.84,659.30,113.97,25.14,5.42,0.0197,0.0370, 425, 1,32.69,22.28,95848.89,520193.031250,0
19,1006,29.82,27.27,32720,1,28,411,585.84,659.30,113.97,25.14,5.43,0.0186,0.0350, 424, 1,32.66,22.29,95847.40,519006.593750,0
20,984,29.79,27.30,32735,1,37,430,595.64,657.29,113.05,25.14,5.43,0.0186,0.0350, 424, 1,32.66,22.29,95847.40,519006.593750,0
21,984,29.79,27.30,32735,1,37,430,595.64,657.29,113.05,25.14,5.43,0.0176,0.0332, 423, 1,32.63,22.24,95846.91,520193.031250,0
22,961,29.77,27.23,32746,1,32,419,577.38,678.31,113.01,25.14,5.43,0.0176,0.0332, 423, 1,32.63,22.24,95846.91,520193.031250,0
23,961,29.77,27.23,32746,1,32,419,577.38,678.31,113.01,25.14,5.43,0.0168,0.0315, 422, 1,32.63,22.24,95846.91,520193.031250,0
24,942,29.73,27.20,32748,1,32,419,577.38,678.31,113.01,25.14,5.43,0.0168,0.0315, 422, 1,32.60,22.21,95846.34,524187.343750,0
25,942,29.73,27.20,32748,1,38,431,602.74,669.19,111.72,25.14,5.43,0.0160,0.0300, 420, 1,32.60,22.21,95846.34,524187.343750,0
26,929,29.71,27.17,32752,1,38,431,602.74,669.19,111.72,25.14,5.43,0.0160,0.0300, 420, 1,32.57,22.23,95845.96,524993.562500,0
27,929,29.71,27.17,32752,1,30,415,601.52,668.28,113.55,25.14,5.43,0.0160,0.0300, 420, 1,32.57,22.23,95845.96,524993.562500,0
28,929,29.71,27.17,32752,1,30,415,601.52,668.28,113.55,25.14,5.43,0.0153,0.0287, 419, 1,32.54,22.19,95846.05,526613.500000,0
29,912,29.68,27.16,32759,1,25,403,602.13,679.92,114.83,25.14,5.43,0.0153,0.0287, 419, 1,32.54,22.19,95846.05,526613.500000,0
30,912,29.68,27.16,32759,1,25,403,602.13,679.92,114.83,25.14,5.43,0.0146,0.0275, 418, 1,32.51,22.17,95846.99,528243.500000,0
31,901,29.65,27.22,32764,1,22,400,602.33,682.22,116.63,25.14,5.43,0.0146,0.0275, 418, 1,32.51,22.17,95846.99,528243.500000,0
32,901,29.65,27.22,32764,1,22,400,602.33,682.22,116.63,25.14,5.44,0.0140,0.0263, 417, 1,32.51,22.17,95846.99,528243.500000,0
33,889,29.63,27.09,32764,1,22,400,602.33,682.22,116.63,25.14,5.44,0.0140,0.0263, 417, 1,32.47,22.16,95847.37,526207.625000,0
34,889,29.63,27.09,32764,1,22,400,596.04,679.69,115.64,25.14,5.44,0.0135,0.0254, 416, 1,32.47,22.16,95847.37,526207.625000,0
35,874,29.60,27.12,32766,1,22,400,596.04,679.69,115.64,25.14,5.44,0.0135,0.0254, 416, 1,32.44,22.12,95847.54,531120.312500,0
36,874,29.60,27.12,32766,1,19,400,608.68,690.59,116.55,25.14,5.44,0.0135,0.0254, 416, 1,32.44,22.12,95847.54,531120.312500,0
