Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1389,33.76,27.97,30914,3,547,877,151.04,116.15,65.07,25.14,5.40,0.6693,1.2583, 413, 3,36.45,23.80,97160.54,315368.031250,0
2,1390,33.72,28.04,30926,3,530,875,155.40,120.07,65.34,25.14,5.40,0.6693,1.2583, 413, 3,36.45,23.80,97160.54,315368.031250,0
3,1390,33.72,28.04,30926,3,530,875,155.40,120.07,65.34,25.14,5.40,0.6647,1.2496, 410, 3,36.45,23.80,97160.54,315368.031250,0
4,1390,33.68,28.06,30936,3,512,875,155.40,120.07,65.34,25.14,5.40,0.6647,1.2496, 410, 3,36.44,23.81,97161.00,316831.687500,0
5,1390,33.68,28.06,30936,3,512,870,158.91,119.91,66.09,25.14,5.40,0.6602,1.2413, 407, 3,36.44,23.81,97161.00,316831.687500,0
6,1391,33.65,28.06,30945,3,512,870,158.91,119.91,66.09,25.14,5.40,0.6602,1.2413, 407, 3,36.42,23.85,97160.70,317126.031250,0
7,1391,33.65,28.06,30945,3,516,871,156.29,121.34,65.91,25.14,5.40,0.6602,1.2413, 407, 3,36.42,23.85,97160.70,317126.031250,0
8,1391,33.65,28.06,30945,3,516,871,156.29,121.34,65.91,25.14,5.40,0.6559,1.2331, 406, 3,36.41,23.85,97160.81,317716.406250,0
9,1392,33.64,28.14,30957,3,497,865,157.20,119.83,66.72,25.14,5.40,0.6559,1.2331, 406, 3,36.41,23.85,97160.81,317716.406250,0
10,1392,33.64,28.14,30957,3,497,865,157.20,119.83,66.72,25.14,5.40,0.6518,1.2254, 404, 3,36.39,23.88,97161.42,316831.687500,0
11,1392,33.64,28.14,30968,3,544,879,159.18,123.95,64.81,25.14,5.40,0.6518,1.2254, 404, 3,36.39,23.88,97161.42,316831.687500,0
12,1392,33.64,28.14,30968,3,544,879,159.18,123.95,64.81,25.14,5.40,0.6479,1.2181, 403, 3,36.39,23.88,97161.42,316831.687500,0
