Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1008,27.71,31.93,31561,2,198,690,360.34,418.20,86.50,25.14,5.42,0.0085,0.0160, 400, 1,30.16,26.71,97898.13,487155.093750,0
2,1008,27.71,31.93,31561,2,198,690,360.34,418.20,86.50,25.14,5.42,0.0085,0.0160, 400, 1,30.16,26.71,97898.13,487155.093750,0
3,1008,27.71,31.97,31559,2,206,690,360.34,418.20,86.50,25.14,5.42,0.0085,0.0160, 400, 1,30.16,26.71,97897.87,485768.500000,0
4,1008,27.71,31.97,31559,2,206,701,370.10,417.77,85.65,25.14,5.42,0.0086,0.0162, 400, 1,30.16,26.71,97897.87,485768.500000,0
5,1010,27.72,31.99,31563,2,206,701,370.10,417.77,85.65,25.14,5.42,0.0086,0.0162, 400, 1,30.16,26.75,97897.55,487851.343750,0
6,1010,27.72,31.99,31563,2,188,691,364.14,422.18,86.47,25.14,5.42,0.0086,0.0162, 400, 1,30.16,26.75,97897.55,487851.343750,0
7,1010,27.72,31.99,31563,2,188,691,364.14,422.18,86.47,25.14,5.42,0.0086,0.0162, 400, 1,30.17,26.75,97897.62,484389.781250,0
8,1014,27.71,31.98,31562,2,212,708,366.36,421.04,85.08,25.14,5.42,0.0086,0.0162, 400, 1,30.17,26.75,97897.62,484389.781250,0
9,1014,27.71,31.98,31562,2,212,708,366.36,421.04,85.08,25.14,5.42,0.0086,0.0162, 400, 1,30.17,26.72,97897.62,485768.500000,0
10,1015,27.71,32.00,31565,2,199,691,369.10,419.76,86.41,25.14,5.42,0.0086,0.0162, 400, 1,30.17,26.72,97897.62,485768.500000,0
11,1015,27.71,32.00,31565,2,199,691,369.10,419.76,86.41,25.14,5.42,0.0087,0.0163, 400, 1,30.17,26.72,97897.62,485768.500000,0
12,1024,27.73,31.98,31569,3,226,691,369.10,419.76,86.41,25.14,5.42,0.0087,0.0163, 400, 1,30.17,26.74,97897.58,486460.812500,0
13,1024,27.73,31.98,31569,3,226,725,363.15,421.61,83.73,25.14,5.42,0.0088,0.0165, 400, 1,30.17,26.74,97897.58,486460.812500,0
14,1024,27.73,31.98,31567,3,226,725,363.15,421.61,83.73,25.14,5.42,0.0088,0.0165, 400, 1,30.17,26.77,97897.37,485423.093750,0
15,1024,27.73,31.98,31567,2,209,733,364.14,419.62,83.11,25.14,5.42,0.0088,0.0165, 400, 1,30.17,26.77,97897.37,485423.093750,0
16,1024,27.73,31.98,31567,2,209,733,364.14,419.62,83.11,25.14,5.42,0.0088,0.0166, 400, 1,30.17,26.77,97896.98,494208.500000,0
17,1034,27.75,32.00,31561,3,229,727,366.36,422.04,83.54,25.14,5.42,0.0088,0.0166, 400, 1,30.17,26.77,97896.98,494208.500000,0
18,1034,27.75,32.00,31561,3,229,727,366.36,422.04,83.54,25.14,5.42,0.0088,0.0165, 400, 1,30.18,26.79,97897.09,482677.343750,0
19,1045,27.74,31.97,31563,2,194,686,365.50,421.47,86.85,25.14,5.42,0.0088,0.0165, 400, 1,30.18,26.79,97897.09,482677.343750,0
20,1045,27.74,31.97,31563,2,194,686,365.50,421.47,86.85,25.14,5.42,0.0088,0.0165, 400, 1,30.18,26.79,97897.09,482677.343750,0
21,1053,27.75,31.98,31560,2,189,686,365.50,421.47,86.85,25.14,5.42,0.0088,0.0165, 400, 1,30.18,26.79,97897.10,485768.500000,0
22,1053,27.75,31.98,31560,2,189,679,362.17,417.49,87.44,25.14,5.42,0.0087,0.0164, 400, 1,30.18,26.79,97897.10,485768.500000,0
23,1057,27.76,31.95,31558,2,189,679,362.17,417.49,87.44,25.14,5.42,0.0087,0.0164, 400, 1,30.18,26.77,97897.23,485423.093750,0
24,1057,27.76,31.95,31558,2,183,688,361.80,420.90,86.67,25.14,5.42,0.0087,0.0164, 400, 1,30.18,26.77,97897.23,485423.093750,0
25,1057,27.76,31.95,31558,2,183,688,361.80,420.90,86.67,25.14,5.42,0.0089,0.0167, 400, 1,30.19,26.82,97897.13,489249.875000,0
26,1058,27.77,32.05,31564,2,207,702,358.15,417.07,85.57,25.14,5.42,0.0089,0.0167, 400, 1,30.19,26.82,97897.13,489249.875000,0
27,1058,27.77,32.05,31564,2,207,702,358.15,417.07,85.57,25.14,5.42,0.0089,0.0168, 400, 1,30.19,26.76,97897.57,485423.093750,0
28,1063,27.79,31.93,31558,2,182,670,359.48,419.76,88.21,25.14,5.42,0.0089,0.0168, 400, 1,30.19,26.76,97897.57,485423.093750,0
29,1063,27.79,31.93,31558,2,182,670,359.48,419.76,88.21,25.14,5.42,0.0091,0.0171, 400, 1,30.19,26.76,97897.57,485423.093750,0
30,1066,27.81,31.97,31557,2,188,670,359.48,419.76,88.21,25.14,5.42,0.0091,0.0171, 400, 1,30.19,26.78,97897.65,484733.718750,0
31,1066,27.81,31.97,31557,2,188,678,364.14,422.18,87.56,25.14,5.42,0.0092,0.0172, 400, 1,30.19,26.78,97897.65,484733.718750,0
32,1069,27.81,32.03,31555,2,188,678,364.14,422.18,87.56,25.14,5.42,0.0092,0.0172, 400, 1,30.20,26.81,97897.87,486460.812500,0
33,1069,27.81,32.03,31555,3,220,711,364.38,414.53,84.87,25.14,5.42,0.0092,0.0172, 400, 1,30.20,26.81,97897.87,486460.812500,0
34,1069,27.81,32.03,31555,3,220,711,364.38,414.53,84.87,25.14,5.42,0.0094,0.0177, 400, 1,30.20,26.80,97897.91,484389.781250,0
35,1071,27.84,31.96,31555,2,213,709,353.81,418.20,84.99,25.14,5.42,0.0094,0.0177, 400, 1,30.20,26.80,97897.91,484389.781250,0
36,1071,27.84,31.96,31555,2,213,709,353.81,418.20,84.99,25.14,5.42,0.0095,0.0178, 400, 1,30.20,26.78,97897.32,482677.343750,0
37,1072,27.84,31.98,31555,2,188,678,366.73,418.76,87.50,25.14,5.42,0.0095,0.0178, 400, 1,30.20,26.78,97897.32,482677.343750,0
38,1072,27.84,31.98,31555,2,188,678,366.73,418.76,87.50,25.14,5.42,0.0096,0.0180, 400, 1,30.20,26.78,97897.32,482677.343750,0
39,1072,27.86,31.94,31552,2,205,678,366.73,418.76,87.50,25.14,5.42,0.0096,0.0180, 400, 1,30.21,26.80,97896.49,485768.500000,0
