Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,845,29.04,26.84,33107,2,78,512,628.57,712.91,103.42,25.14,5.47,0.0407,0.0766, 419, 1,31.68,22.43,95726.97,523785.156250,0
2,845,29.04,26.84,33107,2,79,512,612.20,710.50,103.35,25.14,5.47,0.0407,0.0766, 419, 1,31.68,22.43,95726.97,523785.156250,0
3,845,29.04,26.84,33107,2,79,512,612.20,710.50,103.35,25.14,5.47,0.0406,0.0763, 419, 1,31.69,22.42,95727.41,526613.500000,0
4,845,29.05,26.85,33103,1,58,472,626.45,693.16,107.42,25.14,5.47,0.0406,0.0763, 419, 1,31.69,22.42,95727.41,526613.500000,0
5,845,29.05,26.85,33103,1,58,472,626.45,693.16,107.42,25.14,5.47,0.0405,0.0761, 419, 1,31.69,22.42,95727.41,526613.500000,0
6,846,29.05,26.86,33105,2,76,472,626.45,693.16,107.42,25.14,5.47,0.0405,0.0761, 419, 1,31.70,22.44,95727.48,525397.625000,0
7,846,29.05,26.86,33105,2,76,511,621.59,706.90,103.46,25.14,5.47,0.0404,0.0760, 419, 1,31.70,22.44,95727.48,525397.625000,0
8,845,29.04,26.89,33105,2,76,511,621.59,706.90,103.46,25.14,5.47,0.0404,0.0760, 419, 1,31.71,22.40,95727.99,526207.625000,0
9,845,29.04,26.89,33105,2,66,489,614.06,709.30,105.69,25.14,5.47,0.0404,0.0760, 419, 1,31.71,22.40,95727.99,526207.625000,0
10,845,29.04,26.89,33105,2,66,489,614.06,709.30,105.69,25.14,5.47,0.0406,0.0763, 419, 1,31.71,22.41,95727.66,528652.562500,0
11,845,29.05,26.88,33103,2,74,504,619.49,701.90,104.16,25.14,5.47,0.0406,0.0763, 419, 1,31.71,22.41,95727.66,528652.562500,0
12,845,29.05,26.88,33103,2,74,504,619.49,701.90,104.16,25.14,5.47,0.0405,0.0761, 419, 1,31.72,22.40,95728.26,527427.250000,0
13,845,29.05,26.92,33103,2,77,509,627.51,704.75,103.67,25.14,5.47,0.0405,0.0761, 419, 1,31.72,22.40,95728.26,527427.250000,0
14,845,29.05,26.92,33103,2,77,509,627.51,704.75,103.67,25.14,5.47,0.0406,0.0763, 419, 1,31.72,22.40,95728.26,527427.250000,0
15,846,29.04,26.94,33104,2,68,509,627.51,704.75,103.67,25.14,5.47,0.0406,0.0763, 419, 1,31.72,22.39,95727.43,524993.562500,0
16,846,29.04,26.94,33104,2,68,513,622.01,723.36,103.35,25.14,5.47,0.0405,0.0761, 419, 1,31.72,22.39,95727.43,524993.562500,0
17,847,29.03,26.93,33103,2,68,513,622.01,723.36,103.35,25.14,5.47,0.0405,0.0761, 419, 1,31.73,22.40,95727.77,523785.156250,0
18,847,29.03,26.93,33103,2,67,490,620.33,708.58,105.58,25.14,5.47,0.0405,0.0761, 419, 1,31.73,22.40,95727.77,523785.156250,0
19,847,29.03,26.93,33103,2,67,490,620.33,708.58,105.58,25.14,5.47,0.0405,0.0761, 419, 1,31.73,22.40,95727.70,520589.718750,0
20,847,29.02,26.87,33098,2,80,515,610.54,695.51,103.07,25.14,5.47,0.0405,0.0761, 419, 1,31.73,22.40,95727.70,520589.718750,0
21,847,29.02,26.87,33098,2,80,515,610.54,695.51,103.07,25.14,5.47,0.0405,0.0761, 418, 1,31.73,22.39,95726.98,531948.062500,0
22,847,29.03,26.90,33100,2,82,518,631.77,701.90,102.80,25.14,5.47,0.0405,0.0761, 418, 1,31.73,22.39,95726.98,531948.062500,0
23,847,29.03,26.90,33100,2,82,518,631.77,701.90,102.80,25.14,5.47,0.0405,0.0762, 418, 1,31.73,22.39,95726.98,531948.062500,0
24,847,29.03,26.90,33100,2,80,518,631.77,701.90,102.80,25.14,5.47,0.0405,0.0762, 418, 1,31.74,22.38,95726.53,524993.562500,0
25,847,29.03,26.90,33100,2,80,540,620.54,694.81,100.69,25.14,5.47,0.0408,0.0766, 418, 1,31.74,22.38,95726.53,524993.562500,0
26,848,29.06,26.94,33102,2,80,540,620.54,694.81,100.69,25.14,5.47,0.0408,0.0766, 418, 1,31.74,22.40,95726.28,525802.312500,0
27,848,29.06,26.94,33102,2,88,528,618.44,695.28,101.79,25.14,5.47,0.0408,0.0766, 418, 1,31.74,22.40,95726.28,525802.312500,0
28,848,29.06,26.94,33102,2,88,528,618.44,695.28,101.79,25.14,5.47,0.0409,0.0769, 418, 1,31.74,22.40,95726.53,527020.062500,0
29,848,29.06,26.94,33102,2,77,510,637.79,716.78,103.63,25.14,5.47,0.0409,0.0769, 418, 1,31.74,22.40,95726.53,527020.062500,0
30,848,29.06,26.94,33102,2,77,510,637.79,716.78,103.63,25.14,5.47,0.0410,0.0771, 418, 1,31.74,22.40,95727.21,520987.031250,0
31,848,29.07,26.92,33103,2,71,499,619.28,709.78,104.76,25.14,5.47,0.0410,0.0771, 418, 1,31.74,22.40,95727.21,520987.031250,0
32,848,29.07,26.92,33103,2,71,499,619.28,709.78,104.76,25.14,5.47,0.0413,0.0776, 418, 1,31.74,22.40,95727.21,520987.031250,0
33,848,29.04,26.96,33101,2,69,499,619.28,709.78,104.76,25.14,5.47,0.0413,0.0776, 418, 1,31.73,22.38,95728.26,523383.593750,0
34,848,29.04,26.96,33101,2,69,525,615.73,713.15,102.14,25.14,5.47,0.0414,0.0777, 418, 1,31.73,22.38,95728.26,523383.593750,0
35,847,29.04,26.88,33108,2,69,525,615.73,713.15,102.14,25.14,5.47,0.0414,0.0777, 418, 1,31.73,22.42,95728.23,524993.562500,0
36,847,29.04,26.88,33108,2,73,502,631.34,698.58,104.44,25.14,5.47,0.0414,0.0777, 418, 1,31.73,22.42,95728.23,524993.562500,0
37,847,29.04,26.88,33108,2,73,502,631.34,698.58,104.44,25.14,5.47,0.0414,0.0779, 418, 1,31.73,22.43,95728.51,527835.062500,0
38,848,29.03,26.95,33105,2,76,506,625.39,703.80,103.98,25.14,5.47,0.0414,0.0779, 418, 1,31.73,22.43,95728.51,527835.062500,0
39,848,29.03,26.95,33105,2,76,506,625.39,703.80,103.98,25.14,5.47,0.0415,0.0780, 418, 1,31.73,22.44,95727.20,527020.062500,0
40,847,29.05,26.94,33107,2,84,522,614.48,710.98,102.45,25.14,5.47,0.0415,0.0780, 418, 1,31.73,22.44,95727.20,527020.062500,0
41,847,29.05,26.94,33107,2,84,522,614.48,710.98,102.45,25.14,5.47,0.0417,0.0784, 418, 1,31.73,22.44,95727.20,527020.062500,0
42,848,29.07,26.95,33110,2,84,522,614.48,710.98,102.45,25.14,5.47,0.0417,0.0784, 418, 1,31.72,22.42,95726.41,520987.031250,0
43,848,29.07,26.95,33110,2,84,523,624.54,693.87,102.38,25.14,5.47,0.0422,0.0794, 418, 1,31.72,22.42,95726.41,520987.031250,0
44,849,29.05,26.92,33108,2,84,523,624.54,693.87,102.38,25.14,5.47,0.0422,0.0794, 418, 1,31.72,22.42,95726.88,522582.281250,0
45,849,29.05,26.92,33108,2,72,500,639.30,704.51,104.66,25.14,5.47,0.0422,0.0794, 418, 1,31.72,22.42,95726.88,522582.281250,0
46,849,29.05,26.92,33108,2,72,500,639.30,704.51,104.66,25.14,5.47,0.0422,0.0793, 418, 1,31.72,22.45,95727.98,525397.625000,0
