Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1294,27.07,32.25,31761,3,360,822,384.40,358.88,73.73,25.14,5.37,0.0349,0.0656, 425, 1,29.83,26.62,96800.70,462093.875000,0
2,1294,27.07,32.25,31761,3,360,822,384.40,358.88,73.73,25.14,5.37,0.0340,0.0638, 425, 1,29.83,26.63,96800.36,462406.875000,0
3,1288,27.06,32.21,31762,3,332,819,392.15,354.05,74.15,25.14,5.37,0.0340,0.0638, 425, 1,29.83,26.63,96800.36,462406.875000,0
4,1288,27.06,32.21,31762,3,332,819,392.15,354.05,74.15,25.14,5.37,0.0327,0.0615, 424, 1,29.83,26.63,96800.08,463348.406250,0
5,1282,27.09,32.20,31765,3,338,814,385.05,354.41,75.14,25.14,5.37,0.0327,0.0615, 424, 1,29.83,26.63,96800.08,463348.406250,0
6,1282,27.09,32.20,31765,3,338,814,385.05,354.41,75.14,25.14,5.37,0.0316,0.0594, 423, 1,29.83,26.63,96800.08,463348.406250,0
7,1278,27.04,32.19,31766,3,375,814,385.05,354.41,75.14,25.14,5.37,0.0316,0.0594, 423, 1,29.83,26.59,96799.99,465560.343750,0
8,1278,27.04,32.19,31766,3,375,826,390.56,352.97,72.86,25.14,5.37,0.0307,0.0578, 423, 1,29.83,26.59,96799.99,465560.343750,0
9,1269,27.06,32.14,31769,3,375,826,390.56,352.97,72.86,25.14,5.37,0.0307,0.0578, 423, 1,29.83,26.63,96799.53,462720.281250,0
10,1269,27.06,32.14,31769,3,372,825,380.77,360.70,73.03,25.14,5.37,0.0307,0.0578, 423, 1,29.83,26.63,96799.53,462720.281250,0
11,1269,27.06,32.14,31769,3,372,825,380.77,360.70,73.03,25.14,5.37,0.0294,0.0552, 422, 1,29.83,26.62,96799.09,465878.062500,0
12,1259,27.07,32.09,31769,3,326,810,385.57,361.44,74.66,25.14,5.37,0.0294,0.0552, 422, 1,29.83,26.62,96799.09,465878.062500,0
13,1259,27.07,32.09,31769,3,326,810,385.57,361.44,74.66,25.14,5.37,0.0285,0.0535, 421, 1,29.83,26.63,96799.23,465560.343750,0
14,1252,27.06,32.11,31769,3,339,814,382.97,363.15,75.04,25.14,5.37,0.0285,0.0535, 421, 1,29.83,26.63,96799.23,465560.343750,0
15,1252,27.06,32.11,31769,3,339,814,382.97,363.15,75.04,25.14,5.37,0.0273,0.0513, 421, 1,29.83,26.63,96799.23,465560.343750,0
16,1248,27.06,32.05,31769,3,354,814,382.97,363.15,75.04,25.14,5.37,0.0273,0.0513, 421, 1,29.83,26.63,96798.84,466833.812500,0
17,1248,27.06,32.05,31769,3,354,820,382.58,368.98,74.10,25.14,5.37,0.0268,0.0504, 420, 1,29.83,26.63,96798.84,466833.812500,0
18,1248,27.06,32.05,31776,3,354,820,382.58,368.98,74.10,25.14,5.37,0.0268,0.0504, 420, 1,29.83,26.66,96799.17,467153.281250,0
19,1248,27.06,32.05,31776,3,327,810,388.85,364.38,75.85,25.14,5.37,0.0268,0.0504, 420, 1,29.83,26.66,96799.17,467153.281250,0
20,1248,27.06,32.05,31776,3,327,810,388.85,364.38,75.85,25.14,5.37,0.0261,0.0491, 420, 1,29.82,26.65,96799.25,465243.062500,0
21,1242,27.09,32.09,31770,3,342,809,390.83,358.63,76.14,25.14,5.37,0.0261,0.0491, 420, 1,29.82,26.65,96799.25,465243.062500,0
22,1242,27.09,32.09,31770,3,342,809,390.83,358.63,76.14,25.14,5.37,0.0250,0.0471, 419, 1,29.82,26.68,96799.59,468435.500000,0
23,1236,27.07,32.08,31769,3,338,814,388.85,372.74,75.11,25.14,5.37,0.0250,0.0471, 419, 1,29.82,26.68,96799.59,468435.500000,0
24,1236,27.07,32.08,31769,3,338,814,388.85,372.74,75.11,25.14,5.37,0.0247,0.0464, 418, 1,29.82,26.68,96799.59,468435.500000,0
25,1234,27.10,32.05,31768,3,355,814,388.85,372.74,75.11,25.14,5.37,0.0247,0.0464, 418, 1,29.82,26.66,96800.01,468114.281250,0
26,1234,27.10,32.05,31768,3,355,820,390.70,364.75,74.05,25.14,5.37,0.0241,0.0452, 418, 1,29.82,26.66,96800.01,468114.281250,0
27,1231,27.10,32.03,31766,3,355,820,390.70,364.75,74.05,25.14,5.37,0.0241,0.0452, 418, 1,29.83,26.69,96800.81,469401.781250,0
