Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,934,32.98,26.43,31444,3,308,804,219.91,184.74,77.23,25.14,5.39,0.5183,0.9743, 400, 3,35.78,22.28,97174.02,386488.031250,0
2,949,32.94,26.47,31437,3,360,808,217.40,184.36,76.29,25.14,5.39,0.5183,0.9743, 400, 3,35.78,22.28,97174.02,386488.031250,0
3,949,32.94,26.47,31437,3,360,808,217.40,184.36,76.29,25.14,5.39,0.5179,0.9736, 400, 3,35.78,22.28,97174.02,386488.031250,0
4,949,32.94,26.47,31438,3,335,808,217.40,184.36,76.29,25.14,5.39,0.5179,0.9736, 400, 3,35.77,22.34,97174.48,384312.250000,0
5,949,32.94,26.47,31438,3,335,813,219.62,188.65,75.37,25.14,5.39,0.5176,0.9730, 400, 3,35.77,22.34,97174.48,384312.250000,0
6,986,32.98,26.49,31431,3,335,813,219.62,188.65,75.37,25.14,5.39,0.5176,0.9730, 400, 3,35.76,22.38,97174.83,384962.406250,0
7,986,32.98,26.49,31431,3,364,823,222.23,189.17,73.58,25.14,5.39,0.5176,0.9730, 400, 3,35.76,22.38,97174.83,384962.406250,0
8,986,32.98,26.49,31431,3,364,823,222.23,189.17,73.58,25.14,5.39,0.5169,0.9718, 400, 3,35.75,22.35,97174.91,384745.437500,0
9,1039,32.91,26.53,31436,3,324,809,218.28,187.83,76.14,25.14,5.39,0.5169,0.9718, 400, 3,35.75,22.35,97174.91,384745.437500,0
10,1039,32.91,26.53,31436,3,324,809,218.28,187.83,76.14,25.14,5.39,0.5163,0.9706, 400, 3,35.75,22.35,97175.20,385397.062500,0
11,1083,32.93,26.58,31448,3,309,804,224.65,189.49,77.15,25.14,5.39,0.5163,0.9706, 400, 3,35.75,22.35,97175.20,385397.062500,0
12,1083,32.93,26.58,31448,3,309,804,224.65,189.49,77.15,25.14,5.39,0.5158,0.9697, 400, 3,35.75,22.35,97175.20,385397.062500,0
13,1113,32.90,26.59,31449,3,300,804,224.65,189.49,77.15,25.14,5.39,0.5158,0.9697, 400, 3,35.74,22.35,97175.00,385179.625000,0
14,1113,32.90,26.59,31449,3,300,801,224.58,194.16,77.78,25.14,5.39,0.5153,0.9687, 400, 3,35.74,22.35,97175.00,385179.625000,0
15,1136,32.91,26.58,31451,3,300,801,224.58,194.16,77.78,25.14,5.39,0.5153,0.9687, 400, 3,35.73,22.35,97174.59,385614.750000,0
16,1136,32.91,26.58,31451,3,298,800,224.27,188.53,77.94,25.14,5.39,0.5153,0.9687, 400, 3,35.73,22.35,97174.59,385614.750000,0
17,1136,32.91,26.58,31451,3,298,800,224.27,188.53,77.94,25.14,5.39,0.5146,0.9675, 400, 3,35.72,22.35,97175.36,386706.937500,0
18,1140,32.91,26.59,31455,3,303,802,226.56,192.26,77.59,25.14,5.39,0.5146,0.9675, 400, 3,35.72,22.35,97175.36,386706.937500,0
19,1140,32.91,26.59,31455,3,303,802,226.56,192.26,77.59,25.14,5.39,0.5139,0.9662, 400, 3,35.71,22.37,97175.25,386926.125000,0
20,1142,32.91,26.56,31455,3,332,799,221.33,188.40,78.12,25.14,5.39,0.5139,0.9662, 400, 3,35.71,22.37,97175.25,386926.125000,0
21,1142,32.91,26.56,31455,3,332,799,221.33,188.40,78.12,25.14,5.39,0.5132,0.9648, 400, 3,35.71,22.37,97175.25,386926.125000,0
