Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,942,29.27,29.17,32502,2,146,622,441.02,441.47,92.65,25.14,5.39,0.0153,0.0287, 408, 1,31.95,24.51,95532.16,439484.968750,0
2,942,29.27,29.17,32502,2,146,622,441.02,441.47,92.65,25.14,5.39,0.0151,0.0283, 408, 1,31.94,24.53,95531.79,433898.312500,0
3,942,29.25,29.18,32504,2,181,641,437.01,449.46,90.97,25.14,5.39,0.0151,0.0283, 408, 1,31.94,24.53,95531.79,433898.312500,0
4,942,29.25,29.18,32504,2,181,641,437.01,449.46,90.97,25.14,5.39,0.0149,0.0279, 407, 1,31.94,24.53,95531.79,433898.312500,0
5,943,29.23,29.11,32504,2,160,640,437.01,449.46,90.97,25.14,5.39,0.0149,0.0279, 407, 1,31.93,24.52,95531.48,438074.875000,0
6,943,29.23,29.11,32504,2,160,640,446.28,445.37,91.03,25.14,5.39,0.0149,0.0281, 407, 1,31.93,24.52,95531.48,438074.875000,0
7,943,29.24,29.18,32509,2,160,640,446.28,445.37,91.03,25.14,5.39,0.0149,0.0281, 407, 1,31.93,24.53,95530.55,438074.875000,0
8,943,29.24,29.18,32509,2,150,627,435.24,446.13,92.15,25.14,5.39,0.0149,0.0279, 407, 1,31.93,24.53,95530.55,438074.875000,0
9,943,29.24,29.18,32509,2,150,627,435.24,446.13,92.15,25.14,5.39,0.0149,0.0279, 407, 1,31.92,24.55,95530.60,438074.875000,0
10,943,29.24,29.18,32510,2,172,658,446.43,447.18,89.54,25.14,5.39,0.0149,0.0279, 407, 1,31.92,24.55,95530.60,438074.875000,0
11,943,29.24,29.18,32510,2,172,658,446.43,447.18,89.54,25.14,5.39,0.0148,0.0279, 407, 1,31.91,24.58,95530.23,435559.343750,0
12,943,29.21,29.20,32521,2,128,640,437.60,450.37,91.03,25.14,5.39,0.0148,0.0279, 407, 1,31.91,24.58,95530.23,435559.343750,0
13,943,29.21,29.20,32521,2,128,640,437.60,450.37,91.03,25.14,5.39,0.0147,0.0277, 407, 1,31.91,24.58,95530.23,435559.343750,0
14,942,29.19,29.22,32521,2,160,641,454.97,454.82,90.94,25.14,5.39,0.0147,0.0277, 407, 1,31.91,24.58,95530.16,439768.093750,0
15,942,29.19,29.22,32521,2,160,641,454.97,454.82,90.94,25.14,5.39,0.0147,0.0275, 406, 1,31.91,24.58,95530.16,439768.093750,0
16,943,29.20,29.22,32522,2,160,641,454.97,454.82,90.94,25.14,5.39,0.0147,0.0275, 406, 1,31.90,24.57,95531.14,436115.843750,0
17,943,29.20,29.22,32522,2,167,651,439.08,442.22,90.11,25.14,5.39,0.0143,0.0268, 406, 1,31.90,24.57,95531.14,436115.843750,0
18,943,29.20,29.22,32522,2,167,651,439.08,442.22,90.11,25.14,5.39,0.0143,0.0268, 406, 1,31.90,24.57,95532.19,439768.093750,0
19,944,29.20,29.18,32522,2,176,662,446.58,448.55,89.14,25.14,5.39,0.0143,0.0268, 406, 1,31.90,24.57,95532.19,439768.093750,0
20,944,29.20,29.18,32522,2,176,662,446.58,448.55,89.14,25.14,5.39,0.0142,0.0267, 406, 1,31.89,24.59,95532.26,435837.406250,0
21,945,29.20,29.22,32520,2,181,626,449.46,458.37,92.28,25.14,5.39,0.0142,0.0267, 406, 1,31.89,24.59,95532.26,435837.406250,0
