Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1244,32.03,29.97,31279,3,414,839,249.00,218.73,70.72,25.14,5.40,0.4489,0.8438, 400, 3,34.75,25.42,97148.59,364153.625000,0
2,1244,32.01,29.99,31279,3,405,836,247.91,219.32,71.20,25.14,5.40,0.4489,0.8438, 400, 3,34.75,25.42,97148.59,364153.625000,0
3,1244,32.01,29.99,31279,3,405,836,247.91,219.32,71.20,25.14,5.40,0.4481,0.8424, 400, 3,34.75,25.42,97148.59,364153.625000,0
4,1246,32.01,30.03,31286,3,407,836,247.91,219.32,71.20,25.14,5.40,0.4481,0.8424, 400, 3,34.75,25.42,97148.66,364542.531250,0
5,1246,32.01,30.03,31286,3,407,837,254.28,217.91,71.08,25.14,5.40,0.4473,0.8408, 400, 3,34.75,25.42,97148.66,364542.531250,0
6,1249,31.99,30.04,31290,3,407,837,254.28,217.91,71.08,25.14,5.40,0.4473,0.8408, 400, 3,34.75,25.43,97148.69,365714.281250,0
7,1249,31.99,30.04,31290,3,383,829,250.10,218.43,72.44,25.14,5.40,0.4473,0.8408, 400, 3,34.75,25.43,97148.69,365714.281250,0
8,1249,31.99,30.04,31290,3,383,829,250.10,218.43,72.44,25.14,5.40,0.4467,0.8398, 400, 3,34.75,25.42,97149.05,366499.656250,0
9,1250,32.01,30.05,31296,3,412,839,250.95,222.84,70.82,25.14,5.40,0.4467,0.8398, 400, 3,34.75,25.42,97149.05,366499.656250,0
10,1250,32.01,30.05,31296,3,412,839,250.95,222.84,70.82,25.14,5.40,0.4458,0.8381, 400, 3,34.74,25.45,97149.31,366893.593750,0
11,1252,31.96,30.03,31293,3,375,827,252.56,219.17,72.86,25.14,5.40,0.4458,0.8381, 400, 3,34.74,25.45,97149.31,366893.593750,0
12,1252,31.96,30.03,31293,3,375,827,252.56,219.17,72.86,25.14,5.40,0.4449,0.8363, 400, 3,34.74,25.45,97149.31,366893.593750,0
13,1252,31.96,30.03,31294,3,363,827,252.56,219.17,72.86,25.14,5.40,0.4449,0.8363, 400, 3,34.74,25.44,97149.55,363765.531250,0
14,1252,31.96,30.03,31294,3,363,823,253.51,220.14,73.58,25.14,5.40,0.4443,0.8353, 400, 3,34.74,25.44,97149.55,363765.531250,0
15,1257,31.96,30.10,31300,3,363,823,253.51,220.14,73.58,25.14,5.40,0.4443,0.8353, 400, 3,34.74,25.44,97149.18,366893.593750,0
16,1257,31.96,30.10,31300,3,387,838,253.59,225.42,70.91,25.14,5.40,0.4443,0.8353, 400, 3,34.74,25.44,97149.18,366893.593750,0
17,1257,31.96,30.10,31300,3,387,838,253.59,225.42,70.91,25.14,5.40,0.4435,0.8338, 400, 3,34.74,25.43,97149.34,364542.531250,0
18,1261,31.96,30.08,31301,3,439,847,252.91,226.41,69.46,25.14,5.40,0.4435,0.8338, 400, 3,34.74,25.43,97149.34,364542.531250,0
19,1261,31.96,30.08,31301,3,439,847,252.91,226.41,69.46,25.14,5.40,0.4428,0.8325, 400, 3,34.74,25.44,97149.04,365322.875000,0
20,1266,31.97,30.02,31294,3,374,826,255.92,221.63,72.93,25.14,5.40,0.4428,0.8325, 400, 3,34.74,25.44,97149.04,365322.875000,0
21,1266,31.97,30.02,31294,3,374,826,255.92,221.63,72.93,25.14,5.40,0.4420,0.8309, 400, 3,34.74,25.44,97149.04,365322.875000,0
22,1266,31.99,30.09,31301,3,402,826,255.92,221.63,72.93,25.14,5.40,0.4420,0.8309, 400, 3,34.74,25.43,97148.94,364153.625000,0
23,1266,31.99,30.09,31301,3,402,835,255.83,225.26,71.37,25.14,5.40,0.4408,0.8287, 400, 3,34.74,25.43,97148.94,364153.625000,0
24,1266,32.00,30.07,31303,3,402,835,255.83,225.26,71.37,25.14,5.40,0.4408,0.8287, 400, 3,34.73,25.43,97149.38,364932.281250,0
25,1266,32.00,30.07,31303,3,398,835,257.22,226.18,71.42,25.14,5.40,0.4408,0.8287, 400, 3,34.73,25.43,97149.38,364932.281250,0
26,1266,32.00,30.07,31303,3,398,835,257.22,226.18,71.42,25.14,5.40,0.4403,0.8277, 400, 3,34.73,25.43,97149.34,366106.531250,0
27,1266,31.97,30.07,31302,3,387,831,259.41,228.41,72.17,25.14,5.40,0.4403,0.8277, 400, 3,34.73,25.43,97149.34,366106.531250,0
28,1266,31.97,30.07,31302,3,387,831,259.41,228.41,72.17,25.14,5.40,0.4398,0.8268, 400, 3,34.73,25.43,97149.69,366499.656250,0
29,1266,32.00,30.02,31304,3,394,833,256.18,225.42,71.78,25.14,5.40,0.4398,0.8268, 400, 3,34.73,25.43,97149.69,366499.656250,0
30,1266,32.00,30.02,31304,3,394,833,256.18,225.42,71.78,25.14,5.40,0.4390,0.8254, 400, 3,34.73,25.43,97149.69,366499.656250,0
31,1269,32.00,30.05,31308,3,418,833,256.18,225.42,71.78,25.14,5.40,0.4390,0.8254, 400, 3,34.73,25.42,97149.64,368080.531250,0
32,1269,32.00,30.05,31308,3,418,840,257.22,225.72,70.53,25.14,5.40,0.4383,0.8241, 400, 3,34.73,25.42,97149.64,368080.531250,0
33,1270,32.01,30.01,31309,3,418,840,257.22,225.72,70.53,25.14,5.40,0.4383,0.8241, 400, 3,34.73,25.43,97149.58,364153.625000,0
34,1270,32.01,30.01,31309,3,394,830,250.44,228.57,72.29,25.14,5.40,0.4383,0.8241, 400, 3,34.73,25.43,97149.58,364153.625000,0
35,1270,32.01,30.01,31309,3,394,830,250.44,228.57,72.29,25.14,5.40,0.4376,0.8226, 400, 3,34.73,25.41,97149.19,364542.531250,0
